,race_type,course_len,ground_state,class,winner_pops,place_pops
0,芝,1200,全,all,3.75,5.66
1,芝,1200,良,all,3.75,5.71
2,芝,1200,稍重,all,4.0,4.0
3,芝,1200,重,all,,
4,芝,1200,不良,all,,
5,芝,1200,全,未勝利,3.6,5.61
6,芝,1200,良,未勝利,3.6,5.61
7,芝,1200,稍重,未勝利,,
8,芝,1200,重,未勝利,,
9,芝,1200,不良,未勝利,,
10,芝,1200,全,新馬,5.42,5.05
11,芝,1200,良,新馬,5.78,5.31
12,芝,1200,稍重,新馬,4.0,4.0
13,芝,1200,重,新馬,,
14,芝,1200,不良,新馬,,
15,芝,1200,全,1勝クラス,2.15,5.37
16,芝,1200,良,1勝クラス,2.15,5.37
17,芝,1200,稍重,1勝クラス,,
18,芝,1200,重,1勝クラス,,
19,芝,1200,不良,1勝クラス,,
20,芝,1200,全,2勝クラス,6.58,6.86
21,芝,1200,良,2勝クラス,6.58,6.86
22,芝,1200,稍重,2勝クラス,,
23,芝,1200,重,2勝クラス,,
24,芝,1200,不良,2勝クラス,,
25,芝,1200,全,3勝クラス,2.0,4.0
26,芝,1200,良,3勝クラス,2.0,4.0
27,芝,1200,稍重,3勝クラス,,
28,芝,1200,重,3勝クラス,,
29,芝,1200,不良,3勝クラス,,
30,芝,1200,全,オープン,5.54,8.2
31,芝,1200,良,オープン,5.54,8.2
32,芝,1200,稍重,オープン,,
33,芝,1200,重,オープン,,
34,芝,1200,不良,オープン,,
35,芝,1800,全,all,3.5,5.16
36,芝,1800,良,all,3.52,4.96
37,芝,1800,稍重,all,3.29,7.1
38,芝,1800,重,all,,
39,芝,1800,不良,all,,
40,芝,1800,全,未勝利,3.39,4.53
41,芝,1800,良,未勝利,3.32,4.25
42,芝,1800,稍重,未勝利,4.0,7.33
43,芝,1800,重,未勝利,,
44,芝,1800,不良,未勝利,,
45,芝,1800,全,新馬,2.01,5.02
46,芝,1800,良,新馬,1.72,4.1
47,芝,1800,稍重,新馬,2.57,6.86
48,芝,1800,重,新馬,,
49,芝,1800,不良,新馬,,
50,芝,1800,全,1勝クラス,4.99,6.26
51,芝,1800,良,1勝クラス,4.99,6.26
