,race_type,course_len,ground_state,class,winner_pops,place_pops
0,芝,1200,全,all,4.82,5.87
1,芝,1200,良,all,4.4,5.53
2,芝,1200,稍重,all,6.26,7.39
3,芝,1200,重,all,2.25,6.0
4,芝,1200,不良,all,10.32,6.15
5,芝,1200,全,未勝利,3.99,4.06
6,芝,1200,良,未勝利,3.19,3.88
7,芝,1200,稍重,未勝利,7.2,4.8
8,芝,1200,重,未勝利,,
9,芝,1200,不良,未勝利,,
10,芝,1200,全,新馬,5.25,4.5
11,芝,1200,良,新馬,5.25,4.5
12,芝,1200,稍重,新馬,,
13,芝,1200,重,新馬,,
14,芝,1200,不良,新馬,,
15,芝,1200,全,1勝クラス,4.91,5.57
16,芝,1200,良,1勝クラス,4.43,5.36
17,芝,1200,稍重,1勝クラス,,
18,芝,1200,重,1勝クラス,4.5,7.5
19,芝,1200,不良,1勝クラス,8.18,4.91
20,芝,1200,全,2勝クラス,4.77,6.04
21,芝,1200,良,2勝クラス,3.11,4.85
22,芝,1200,稍重,2勝クラス,9.0,9.6
23,芝,1200,重,2勝クラス,1.12,7.12
24,芝,1200,不良,2勝クラス,12.46,7.38
25,芝,1200,全,3勝クラス,6.05,9.02
26,芝,1200,良,3勝クラス,7.22,8.73
27,芝,1200,稍重,3勝クラス,1.38,10.15
28,芝,1200,重,3勝クラス,,
29,芝,1200,不良,3勝クラス,,
30,芝,1200,全,オープン,4.23,5.62
31,芝,1200,良,オープン,3.51,6.0
32,芝,1200,稍重,オープン,6.86,6.19
33,芝,1200,重,オープン,1.12,3.38
34,芝,1200,不良,オープン,,
35,芝,1600,全,all,4.25,5.27
36,芝,1600,良,all,4.18,5.21
37,芝,1600,稍重,all,3.38,6.19
38,芝,1600,重,all,4.98,4.84
39,芝,1600,不良,all,5.62,6.19
40,芝,1600,全,未勝利,3.85,4.31
41,芝,1600,良,未勝利,3.6,3.84
42,芝,1600,稍重,未勝利,1.12,5.25
43,芝,1600,重,未勝利,4.88,5.0
44,芝,1600,不良,未勝利,9.0,5.62
45,芝,1600,全,新馬,2.42,4.52
46,芝,1600,良,新馬,2.32,4.65
47,芝,1600,稍重,新馬,,
48,芝,1600,重,新馬,3.38,3.38
49,芝,1600,不良,新馬,,
50,芝,1600,全,1勝クラス,5.16,6.26
51,芝,1600,良,1勝クラス,4.4,6.01
52,芝,1600,稍重,1勝クラス,9.0,9.0
53,芝,1600,重,1勝クラス,10.5,6.5
54,芝,1600,不良,1勝クラス,,
55,芝,1600,全,2勝クラス,5.56,5.41
56,芝,1600,良,2勝クラス,6.08,5.57
57,芝,1600,稍重,2勝クラス,,
58,芝,1600,重,2勝クラス,1.38,4.15
59,芝,1600,不良,2勝クラス,,
60,芝,1600,全,3勝クラス,4.58,5.7
61,芝,1600,良,3勝クラス,5.16,5.44
62,芝,1600,稍重,3勝クラス,,
63,芝,1600,重,3勝クラス,,
64,芝,1600,不良,3勝クラス,2.25,6.75
65,芝,1600,全,オープン,4.14,6.0
66,芝,1600,良,オープン,4.37,6.09
67,芝,1600,稍重,オープン,2.25,5.25
68,芝,1600,重,オープン,,
69,芝,1600,不良,オープン,,
70,芝,1800,全,all,4.58,5.32
71,芝,1800,良,all,4.93,5.2
72,芝,1800,稍重,all,3.65,5.65
73,芝,1800,重,all,2.25,4.69
74,芝,1800,不良,all,4.54,6.0
75,芝,1800,全,未勝利,4.02,3.64
76,芝,1800,良,未勝利,3.36,3.16
77,芝,1800,稍重,未勝利,3.0,3.0
78,芝,1800,重,未勝利,,
79,芝,1800,不良,未勝利,9.0,7.12
80,芝,1800,全,新馬,4.15,4.62
81,芝,1800,良,新馬,4.15,4.62
82,芝,1800,稍重,新馬,,
83,芝,1800,重,新馬,,
84,芝,1800,不良,新馬,,
85,芝,1800,全,1勝クラス,4.69,5.84
86,芝,1800,良,1勝クラス,4.56,5.31
87,芝,1800,稍重,1勝クラス,4.9,7.1
88,芝,1800,重,1勝クラス,,
89,芝,1800,不良,1勝クラス,4.91,6.0
90,芝,1800,全,2勝クラス,5.27,6.82
91,芝,1800,良,2勝クラス,6.62,7.27
92,芝,1800,稍重,2勝クラス,1.8,5.4
93,芝,1800,重,2勝クラス,,
94,芝,1800,不良,2勝クラス,2.0,6.0
95,芝,1800,全,3勝クラス,5.15,4.83
96,芝,1800,良,3勝クラス,6.6,5.0
97,芝,1800,稍重,3勝クラス,,
98,芝,1800,重,3勝クラス,2.25,4.5
99,芝,1800,不良,3勝クラス,,
100,芝,1800,全,オープン,4.36,5.89
101,芝,1800,良,オープン,5.77,6.56
102,芝,1800,稍重,オープン,,
103,芝,1800,重,オープン,2.25,4.88
104,芝,1800,不良,オープン,2.25,4.88
105,芝,2000,全,all,3.8,5.18
106,芝,2000,良,all,3.85,5.15
107,芝,2000,稍重,all,3.18,4.59
108,芝,2000,重,all,4.35,5.26
109,芝,2000,不良,all,4.09,7.91
110,芝,2000,全,未勝利,2.85,4.15
111,芝,2000,良,未勝利,2.78,4.35
112,芝,2000,稍重,未勝利,3.09,3.49
113,芝,2000,重,未勝利,,
114,芝,2000,不良,未勝利,,
115,芝,2000,全,新馬,3.34,5.35
116,芝,2000,良,新馬,3.4,5.0
117,芝,2000,稍重,新馬,3.15,6.38
118,芝,2000,重,新馬,,
119,芝,2000,不良,新馬,,
120,芝,2000,全,1勝クラス,5.6,6.64
121,芝,2000,良,1勝クラス,5.41,6.43
122,芝,2000,稍重,1勝クラス,,
123,芝,2000,重,1勝クラス,6.21,6.37
124,芝,2000,不良,1勝クラス,4.91,8.73
125,芝,2000,全,2勝クラス,2.94,5.2
126,芝,2000,良,2勝クラス,3.24,4.97
127,芝,2000,稍重,2勝クラス,,
128,芝,2000,重,2勝クラス,1.12,4.5
129,芝,2000,不良,2勝クラス,3.27,7.09
130,芝,2000,全,3勝クラス,8.21,6.51
131,芝,2000,良,3勝クラス,13.85,8.31
132,芝,2000,稍重,3勝クラス,2.57,4.71
133,芝,2000,重,3勝クラス,,
134,芝,2000,不良,3勝クラス,,
135,芝,2000,全,オープン,3.67,5.01
136,芝,2000,良,オープン,3.89,5.43
137,芝,2000,稍重,オープン,4.24,5.29
138,芝,2000,重,オープン,2.0,2.67
139,芝,2000,不良,オープン,,
140,芝,2200,全,all,4.69,5.14
