,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
0,芝,1200,全,all,34.25,5.61,5.4,,
1,芝,1200,良,all,33.85,5.77,5.58,,
2,芝,1200,稍重,all,34.8,6.38,6.38,,
3,芝,1200,重,all,34.93,3.07,2.74,,
4,芝,1200,不良,all,35.65,7.5,7.0,,
5,芝,1200,全,未勝利,34.56,7.75,6.75,,
6,芝,1200,良,未勝利,34.13,9.0,7.67,,
7,芝,1200,稍重,未勝利,35.0,6.75,6.75,,
8,芝,1200,重,未勝利,35.4,5.0,4.0,,
9,芝,1200,不良,未勝利,,,,,
10,芝,1200,全,新馬,34.3,3.29,3.29,,
11,芝,1200,良,新馬,34.1,4.0,4.0,,
12,芝,1200,稍重,新馬,,,,,
13,芝,1200,重,新馬,34.5,2.57,2.57,,
14,芝,1200,不良,新馬,,,,,
15,芝,1200,全,1勝クラス,34.62,4.62,4.82,,
16,芝,1200,良,1勝クラス,34.33,3.77,3.77,,
17,芝,1200,稍重,1勝クラス,,,,,
18,芝,1200,重,1勝クラス,,,,,
19,芝,1200,不良,1勝クラス,35.8,8.0,9.0,,
20,芝,1200,全,2勝クラス,34.15,4.15,4.15,,
21,芝,1200,良,2勝クラス,33.9,4.99,4.99,,
22,芝,1200,稍重,2勝クラス,,,,,
23,芝,1200,重,2勝クラス,34.9,1.64,1.64,,
24,芝,1200,不良,2勝クラス,,,,,
25,芝,1200,全,3勝クラス,32.9,6.0,6.0,,
26,芝,1200,良,3勝クラス,32.9,6.0,6.0,,
27,芝,1200,稍重,3勝クラス,,,,,
28,芝,1200,重,3勝クラス,,,,,
29,芝,1200,不良,3勝クラス,,,,,
30,芝,1200,全,オープン,33.9,6.5,6.34,,
31,芝,1200,良,オープン,33.13,6.5,6.9,,
32,芝,1200,稍重,オープン,34.6,6.0,6.0,,
33,芝,1200,重,オープン,,,,,
34,芝,1200,不良,オープン,35.5,7.0,5.0,,
35,芝,1400,全,all,34.77,7.87,7.45,,
36,芝,1400,良,all,34.48,9.32,8.73,,
37,芝,1400,稍重,all,34.85,6.47,6.17,,
38,芝,1400,重,all,35.58,3.54,3.54,,
39,芝,1400,不良,all,36.3,7.71,7.71,,
40,芝,1400,全,未勝利,35.28,6.26,6.0,,
41,芝,1400,良,未勝利,34.67,8.59,8.06,,
42,芝,1400,稍重,未勝利,35.9,1.0,1.0,,
43,芝,1400,重,未勝利,35.65,3.5,3.5,,
44,芝,1400,不良,未勝利,36.3,7.71,7.71,,
45,芝,1400,全,新馬,34.63,7.77,7.1,,
46,芝,1400,良,新馬,34.63,7.77,7.1,,
47,芝,1400,稍重,新馬,,,,,
48,芝,1400,重,新馬,,,,,
49,芝,1400,不良,新馬,,,,,
50,芝,1400,全,1勝クラス,34.69,7.0,6.63,,
51,芝,1400,良,1勝クラス,34.33,10.24,9.6,,
52,芝,1400,稍重,1勝クラス,35.0,3.0,3.0,,
53,芝,1400,重,1勝クラス,35.5,2.0,2.0,,
54,芝,1400,不良,1勝クラス,,,,,
55,芝,1400,全,2勝クラス,34.26,11.22,10.36,,
56,芝,1400,良,2勝クラス,34.4,9.89,9.07,,
57,芝,1400,稍重,2勝クラス,34.05,13.2,12.3,,
58,芝,1400,重,2勝クラス,,,,,
59,芝,1400,不良,2勝クラス,,,,,
60,芝,1400,全,3勝クラス,34.4,9.84,9.5,,
61,芝,1400,良,3勝クラス,34.4,9.84,9.5,,
62,芝,1400,稍重,3勝クラス,,,,,
63,芝,1400,重,3勝クラス,,,,,
64,芝,1400,不良,3勝クラス,,,,,
65,芝,1400,全,オープン,35.3,5.27,5.27,,
66,芝,1400,良,オープン,,,,,
67,芝,1400,稍重,オープン,35.1,5.4,5.4,,
68,芝,1400,重,オープン,35.5,5.14,5.14,,
69,芝,1400,不良,オープン,,,,,
70,芝,1600,全,all,34.7,4.98,4.97,4.61,
71,芝,1600,良,all,34.63,4.83,4.89,4.56,
72,芝,1600,稍重,all,34.93,3.84,3.68,3.68,
73,芝,1600,重,all,34.84,7.7,7.37,6.26,
74,芝,1600,不良,all,,,,,
75,芝,1600,全,未勝利,34.9,4.17,4.4,4.4,
76,芝,1600,良,未勝利,34.73,4.17,4.62,4.62,
77,芝,1600,稍重,未勝利,35.23,5.1,4.72,4.72,
78,芝,1600,重,未勝利,35.25,2.81,2.81,2.81,
79,芝,1600,不良,未勝利,,,,,
80,芝,1600,全,新馬,34.57,4.26,3.94,3.61,
81,芝,1600,良,新馬,34.48,4.67,4.3,3.91,
82,芝,1600,稍重,新馬,35.1,1.8,1.8,1.8,
83,芝,1600,重,新馬,,,,,
84,芝,1600,不良,新馬,,,,,
85,芝,1600,全,1勝クラス,34.71,4.79,4.39,4.04,
86,芝,1600,良,1勝クラス,34.78,4.56,3.95,3.51,
87,芝,1600,稍重,1勝クラス,34.55,3.38,3.38,3.38,
88,芝,1600,重,1勝クラス,34.2,10.12,11.25,11.25,
89,芝,1600,不良,1勝クラス,,,,,
90,芝,1600,全,2勝クラス,34.44,5.68,7.06,6.5,
91,芝,1600,良,2勝クラス,34.4,6.35,8.07,7.38,
92,芝,1600,稍重,2勝クラス,34.6,3.0,3.0,3.0,
93,芝,1600,重,2勝クラス,,,,,
94,芝,1600,不良,2勝クラス,,,,,
95,芝,1600,全,3勝クラス,34.57,8.78,7.85,6.01,
96,芝,1600,良,3勝クラス,34.2,3.6,3.6,3.6,
97,芝,1600,稍重,3勝クラス,,,,,
98,芝,1600,重,3勝クラス,34.75,11.37,9.98,7.21,
99,芝,1600,不良,3勝クラス,,,,,
100,芝,1600,全,オープン,34.56,5.95,5.95,5.5,
101,芝,1600,良,オープン,34.56,5.95,5.95,5.5,
102,芝,1600,稍重,オープン,,,,,
103,芝,1600,重,オープン,,,,,
104,芝,1600,不良,オープン,,,,,
