,race_type,course_len,ground_state,class,上り,通過1,通過2,通過3,通過4
0,芝,1200,全,all,33.5,4.8,5.1,,
1,芝,1200,良,all,33.5,4.8,5.1,,
2,芝,1200,稍重,all,,,,,
3,芝,1200,重,all,,,,,
4,芝,1200,不良,all,,,,,
5,芝,1200,全,未勝利,,,,,
6,芝,1200,良,未勝利,,,,,
7,芝,1200,稍重,未勝利,,,,,
8,芝,1200,重,未勝利,,,,,
9,芝,1200,不良,未勝利,,,,,
10,芝,1200,全,新馬,,,,,
11,芝,1200,良,新馬,,,,,
12,芝,1200,稍重,新馬,,,,,
13,芝,1200,重,新馬,,,,,
14,芝,1200,不良,新馬,,,,,
15,芝,1200,全,1勝クラス,,,,,
16,芝,1200,良,1勝クラス,,,,,
17,芝,1200,稍重,1勝クラス,,,,,
18,芝,1200,重,1勝クラス,,,,,
19,芝,1200,不良,1勝クラス,,,,,
20,芝,1200,全,2勝クラス,33.7,1.0,1.0,,
21,芝,1200,良,2勝クラス,33.7,1.0,1.0,,
22,芝,1200,稍重,2勝クラス,,,,,
23,芝,1200,重,2勝クラス,,,,,
24,芝,1200,不良,2勝クラス,,,,,
25,芝,1200,全,3勝クラス,,,,,
26,芝,1200,良,3勝クラス,,,,,
27,芝,1200,稍重,3勝クラス,,,,,
28,芝,1200,重,3勝クラス,,,,,
29,芝,1200,不良,3勝クラス,,,,,
30,芝,1200,全,オープン,33.4,6.7,7.2,,
31,芝,1200,良,オープン,33.4,6.7,7.2,,
32,芝,1200,稍重,オープン,,,,,
33,芝,1200,重,オープン,,,,,
34,芝,1200,不良,オープン,,,,,
35,芝,1400,全,all,34.2,6.8,5.9,,
36,芝,1400,良,all,34.2,6.8,5.9,,
37,芝,1400,稍重,all,,,,,
38,芝,1400,重,all,,,,,
39,芝,1400,不良,all,,,,,
40,芝,1400,全,未勝利,35.3,3.1,3.1,,
41,芝,1400,良,未勝利,35.3,3.1,3.1,,
42,芝,1400,稍重,未勝利,,,,,
43,芝,1400,重,未勝利,,,,,
44,芝,1400,不良,未勝利,,,,,
45,芝,1400,全,新馬,,,,,
46,芝,1400,良,新馬,,,,,
47,芝,1400,稍重,新馬,,,,,
48,芝,1400,重,新馬,,,,,
49,芝,1400,不良,新馬,,,,,
50,芝,1400,全,1勝クラス,34.4,3.0,2.0,,
51,芝,1400,良,1勝クラス,34.4,3.0,2.0,,
52,芝,1400,稍重,1勝クラス,,,,,
53,芝,1400,重,1勝クラス,,,,,
54,芝,1400,不良,1勝クラス,,,,,
55,芝,1400,全,2勝クラス,33.2,13.4,11.0,,
56,芝,1400,良,2勝クラス,33.2,13.4,11.0,,
57,芝,1400,稍重,2勝クラス,,,,,
58,芝,1400,重,2勝クラス,,,,,
59,芝,1400,不良,2勝クラス,,,,,
60,芝,1400,全,3勝クラス,33.7,10.0,9.0,,
61,芝,1400,良,3勝クラス,33.7,10.0,9.0,,
62,芝,1400,稍重,3勝クラス,,,,,
63,芝,1400,重,3勝クラス,,,,,
64,芝,1400,不良,3勝クラス,,,,,
65,芝,1400,全,オープン,34.2,2.0,2.0,,
66,芝,1400,良,オープン,34.2,2.0,2.0,,
67,芝,1400,稍重,オープン,,,,,
68,芝,1400,重,オープン,,,,,
69,芝,1400,不良,オープン,,,,,
70,芝,1600,全,all,34.7,5.3,5.1,,
71,芝,1600,良,all,34.7,5.3,5.1,,
72,芝,1600,稍重,all,,,,,
73,芝,1600,重,all,,,,,
74,芝,1600,不良,all,,,,,
75,芝,1600,全,未勝利,35.7,3.6,3.3,,
76,芝,1600,良,未勝利,35.7,3.6,3.3,,
77,芝,1600,稍重,未勝利,,,,,
78,芝,1600,重,未勝利,,,,,
79,芝,1600,不良,未勝利,,,,,
80,芝,1600,全,新馬,35.0,2.0,2.0,,
81,芝,1600,良,新馬,35.0,2.0,2.0,,
82,芝,1600,稍重,新馬,,,,,
83,芝,1600,重,新馬,,,,,
84,芝,1600,不良,新馬,,,,,
85,芝,1600,全,1勝クラス,34.5,8.3,7.7,,
86,芝,1600,良,1勝クラス,34.5,8.3,7.7,,
87,芝,1600,稍重,1勝クラス,,,,,
88,芝,1600,重,1勝クラス,,,,,
89,芝,1600,不良,1勝クラス,,,,,
90,芝,1600,全,2勝クラス,33.8,8.4,8.7,,
91,芝,1600,良,2勝クラス,33.8,8.4,8.7,,
92,芝,1600,稍重,2勝クラス,,,,,
93,芝,1600,重,2勝クラス,,,,,
94,芝,1600,不良,2勝クラス,,,,,
95,芝,1600,全,3勝クラス,34.0,3.6,3.6,,
96,芝,1600,良,3勝クラス,34.0,3.6,3.6,,
97,芝,1600,稍重,3勝クラス,,,,,
98,芝,1600,重,3勝クラス,,,,,
99,芝,1600,不良,3勝クラス,,,,,
100,芝,1600,全,オープン,34.3,4.0,4.0,,
101,芝,1600,良,オープン,34.3,4.0,4.0,,
102,芝,1600,稍重,オープン,,,,,
103,芝,1600,重,オープン,,,,,
104,芝,1600,不良,オープン,,,,,
105,芝,1800,全,all,35.0,2.9,2.9,,
106,芝,1800,良,all,35.0,2.9,2.9,,
107,芝,1800,稍重,all,,,,,
108,芝,1800,重,all,,,,,
109,芝,1800,不良,all,,,,,
110,芝,1800,全,未勝利,34.9,1.0,1.0,,
111,芝,1800,良,未勝利,34.9,1.0,1.0,,
112,芝,1800,稍重,未勝利,,,,,
113,芝,1800,重,未勝利,,,,,
114,芝,1800,不良,未勝利,,,,,
115,芝,1800,全,新馬,34.5,2.0,2.0,,
116,芝,1800,良,新馬,34.5,2.0,2.0,,
117,芝,1800,稍重,新馬,,,,,
118,芝,1800,重,新馬,,,,,
119,芝,1800,不良,新馬,,,,,
120,芝,1800,全,1勝クラス,35.1,2.0,2.0,,
121,芝,1800,良,1勝クラス,35.1,2.0,2.0,,
122,芝,1800,稍重,1勝クラス,,,,,
123,芝,1800,重,1勝クラス,,,,,
124,芝,1800,不良,1勝クラス,,,,,
125,芝,1800,全,2勝クラス,35.3,6.6,6.6,,
126,芝,1800,良,2勝クラス,35.3,6.6,6.6,,
127,芝,1800,稍重,2勝クラス,,,,,
128,芝,1800,重,2勝クラス,,,,,
129,芝,1800,不良,2勝クラス,,,,,
130,芝,1800,全,3勝クラス,,,,,
131,芝,1800,良,3勝クラス,,,,,
132,芝,1800,稍重,3勝クラス,,,,,
133,芝,1800,重,3勝クラス,,,,,
134,芝,1800,不良,3勝クラス,,,,,
135,芝,1800,全,オープン,,,,,
136,芝,1800,良,オープン,,,,,
137,芝,1800,稍重,オープン,,,,,
138,芝,1800,重,オープン,,,,,
139,芝,1800,不良,オープン,,,,,
140,芝,2000,全,all,34.8,7.3,7.0,6.6,5.6
141,芝,2000,良,all,34.8,7.3,7.0,6.6,5.6
142,芝,2000,稍重,all,,,,,
143,芝,2000,重,all,,,,,
144,芝,2000,不良,all,,,,,
145,芝,2000,全,未勝利,35.5,8.0,7.3,6.4,5.1
146,芝,2000,良,未勝利,35.5,8.0,7.3,6.4,5.1
147,芝,2000,稍重,未勝利,,,,,
148,芝,2000,重,未勝利,,,,,
149,芝,2000,不良,未勝利,,,,,
150,芝,2000,全,新馬,34.8,4.1,3.5,4.7,4.7
151,芝,2000,良,新馬,34.8,4.1,3.5,4.7,4.7
152,芝,2000,稍重,新馬,,,,,
153,芝,2000,重,新馬,,,,,
154,芝,2000,不良,新馬,,,,,
155,芝,2000,全,1勝クラス,34.4,5.8,5.8,5.8,5.8
156,芝,2000,良,1勝クラス,34.4,5.8,5.8,5.8,5.8
157,芝,2000,稍重,1勝クラス,,,,,
158,芝,2000,重,1勝クラス,,,,,
159,芝,2000,不良,1勝クラス,,,,,
160,芝,2000,全,2勝クラス,34.7,6.3,6.3,5.4,5.4
161,芝,2000,良,2勝クラス,34.7,6.3,6.3,5.4,5.4
162,芝,2000,稍重,2勝クラス,,,,,
163,芝,2000,重,2勝クラス,,,,,
164,芝,2000,不良,2勝クラス,,,,,
165,芝,2000,全,3勝クラス,33.6,12.0,10.0,8.0,6.0
166,芝,2000,良,3勝クラス,33.6,12.0,10.0,8.0,6.0
167,芝,2000,稍重,3勝クラス,,,,,
168,芝,2000,重,3勝クラス,,,,,
169,芝,2000,不良,3勝クラス,,,,,
170,芝,2000,全,オープン,34.5,12.5,13.8,13.8,8.3
171,芝,2000,良,オープン,34.5,12.5,13.8,13.8,8.3
172,芝,2000,稍重,オープン,,,,,
173,芝,2000,重,オープン,,,,,
174,芝,2000,不良,オープン,,,,,
175,芝,2200,全,all,34.4,3.2,3.2,2.1,2.1
176,芝,2200,良,all,34.4,3.2,3.2,2.1,2.1
