,日付,開催,天 気,R,レース名,頭 数,枠 番,馬 番,オ ッ ズ,人 気,着 順,騎手,斤 量,距離,馬 場,タイム,着差,通過,ペース,上り,馬体重,勝ち馬 (2着馬)
0,2023/09/10,金沢,晴,3,C24,7,3,3,6.2,4.0,4,藤田弘治,56,ダ1500,良,1:40.3,1.9,4-3-3-2,0.0-39.6,40.9,486(+4),ブッカープライズ
1,2023/08/14,金沢,晴,7,ニューウェーブ結成1,9,2,2,8.6,4.0,9,沖静男,56,ダ1400,良,1:35.4,4.9,8-8-8-9,0.0-38.6,42.4,482(-3),ウインドアリエル
2,2023/06/11,金沢,雨,4,ご当地乳製品ギフトプ,7,7,7,9.3,3.0,6,藤田弘治,56,ダ1500,重,1:38.9,3.1,6-5-4-6,0.0-37.9,39.9,485(-1),ノーブルアトラス
3,2023/05/23,金沢,晴,6,C25,10,8,9,6.8,3.0,1,藤田弘治,56,ダ1400,良,1:31.9,-0.6,5-5-4-1,0.0-40.0,39.0,486(0),(プレストマジック)
4,2023/05/07,金沢,雨,6,今村ともえ誕生日記念,9,1,1,16.9,6.0,6,甲賀弘隆,56,ダ1500,不,1:38.7,1.2,9-9-9-6,0.0-39.2,39.3,486(-2),レイ
5,2023/04/23,金沢,晴,4,てゆーか最尖ティーン,10,8,10,53.4,8.0,2,甲賀弘隆,56,ダ1500,良,1:40.0,0.0,6-6-6-5,0.0-41.8,39.8,488(+2),セイカアーナンダイ
6,2023/03/25,金沢,曇,4,柊汰・美月祝結婚記念,9,5,5,3.1,2.0,9,甲賀弘隆,56,ダ1500,重,1:46.8,8.1,3-3-4-9,0.0-39.6,45.3,486(-20),ヤイバ
7,2023/01/31,高知,晴,3,C3ー3,12,2,2,27.4,5.0,12,西森将司,56,ダ1300,重,1:32.4,6.7,8-6-8-11,0.0-40.2,45.9,506(+2),ジュヴゼーム
8,2023/01/17,高知,曇,10,ファイナルレース,12,7,10,6.4,5.0,11,西森将司,56,ダ1400,不,1:34.3,1.4,10-11-9-10,0.0-41.3,41.7,504(-7),インペリアス
9,2022/12/29,高知,晴,3,C3ー3,12,8,12,21.3,5.0,6,西森将司,56,ダ1400,不,1:34.0,3.0,7-5-4-5,0.0-40.3,41.9,511(+3),ガンスリンガー
10,2022/12/11,高知,晴,2,C3ー4,12,4,4,45.0,8.0,3,西森将司,56,ダ1300,重,1:25.5,0.2,9-7-7-5,0.0-40.0,39.4,508(-7),メイショウワダイコ
11,2022/11/27,高知,晴,1,西川騎手お疲れ様特別,9,8,8,3.5,2.0,2,西森将司,56,ダ1300,不,1:25.3,0.0,3-3-3-3,0.0-40.3,40.0,515(+10),トラストベル
12,2022/11/05,高知,晴,8,山急百周年記念特別,12,1,1,56.2,7.0,4,西森将司,56,ダ1300,重,1:25.7,1.4,5-5-5-3,0.0-39.0,40.0,505(-7),ヴィジャーヤ
13,2022/10/22,高知,晴,8,C3ー8,11,4,4,64.1,8.0,4,倉兼育康,56,ダ1400,稍,1:33.4,1.6,6-6-7-5,0.0-40.4,40.7,512(-4),シンギングロード
14,2022/10/09,高知,雨,9,10・22はOP特別,12,1,1,226.6,9.0,4,妹尾浩一,56,ダ1300,不,1:26.3,2.1,4-4-4-2,0.0-40.6,42.0,516(+22),ヒカリオーソ
15,2022/06/26,高知,晴,2,喜元竜夫退職記念特別,11,7,8,19.6,5.0,10,西森将司,56,ダ1300,不,1:32.3,8.5,7-7-8-10,0.0-39.2,47.0,494(0),ヴァイスブリッツ
