,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202508030211,2025/10/05,京都,曇,11,京都大賞典,オープン,18,5,9,235.1,17.0,17,斎藤新,57.0,芝,2400,稍重,0:2:25.3,1.4,11-9-11-11,35.5,434,ディープモンスター
1,202505021212,2025/06/01,東京,曇,12,目黒記念,オープン,18,3,6,159.8,17.0,14,菅原明良,57.0,芝,2500,良,0:2:34.6,1.7,12-12-15-15,35.5,444,アドマイヤテラ
2,202406050111,2024/11/30,中山,晴,11,ステイヤーズS,オープン,14,4,6,6.9,4.0,13,西村淳也,57.0,芝,3600,良,0:3:48.3,1.6,2-2-2-2,36.8,440,シュヴァリエローズ
3,202405050211,2024/11/03,東京,晴,11,アルゼンチン共和国杯,オープン,16,1,1,16.5,7.0,16,三浦皇成,58.0,芝,2500,良,0:2:32.8,3.8,8-9-9-10,38.9,448,ハヤヤッコ
4,202406040711,2024/09/22,中山,曇,11,オールカマー,オープン,15,8,15,28.7,5.0,11,菅原明良,57.0,芝,2200,良,0:2:12.6,0.8,11-13-13-14,34.1,444,レーベンスティール
5,202305010711,2023/02/18,東京,晴,11,,オープン,16,2,4,3.7,2.0,1,西村淳也,56.0,芝,3400,良,0:3:29.1,-0.1,7-9-9-10,35.4,434,(ヒュミドール)
6,202307010110,2023/01/05,中京,晴,10,,オープン,16,8,15,3.0,1.0,1,西村淳也,53.0,芝,3000,良,0:3:03.4,-0.3,6-6-5-4,35.9,436,(タイセイモナーク)
7,202209050408,2022/11/13,阪神,雨,08,,2勝クラス,14,2,2,4.0,1.0,1,ムーア,55.0,芝,2200,重,0:2:15.0,-0.5,7-7-9-8,36.2,434,(ダークエクリプス)
8,202204040509,2022/10/29,新潟,晴,09,,1勝クラス,15,6,10,3.0,1.0,1,西村淳也,54.0,芝,2400,良,0:2:27.0,-0.2,4-4-4-4,35.5,434,(エニシノウタ)
9,202207050708,2022/09/25,中京,晴,08,,1勝クラス,13,5,7,16.3,5.0,3,坂井瑠星,54.0,芝,2000,良,0:1:59.3,0.1,7-7-9-10,34.6,432,ヴェールランス
10,202209030408,2022/06/26,阪神,晴,08,,1勝クラス,11,2,2,41.7,8.0,6,西村淳也,54.0,芝,1800,良,0:1:47.0,0.8,9-10,34.1,428,アルナシーム
11,202204010705,2022/05/28,新潟,曇,05,,未勝利,16,6,12,2.3,1.0,1,西村淳也,56.0,芝,1800,稍重,0:1:48.6,-0.1,9-8,35.6,430,(メイショウブレゲ)
12,202210010505,2022/01/29,小倉,曇,05,,未勝利,13,5,7,3.4,1.0,2,坂井瑠星,56.0,芝,2000,良,0:2:01.4,0.1,7-7-6-5,34.9,428,ブルーゲート
13,202207010305,2022/01/09,中京,晴,05,,未勝利,16,5,10,43.2,10.0,4,吉田隼人,56.0,芝,1600,良,0:1:35.5,0.8,14-15-13,34.7,426,エンペザー
14,202109040305,2021/10/16,阪神,晴,05,,新馬,15,5,9,87.8,11.0,5,吉田隼人,55.0,芝,1800,良,0:1:50.2,0.5,10-8,34.4,412,フォースクエア
