race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
202509040810,2025/09/27,阪神,晴,10,道頓堀S,3勝クラス,16,2,3,10.6,5.0,6,鮫島克駿,58.0,芝,1200,良,0:1:08.6,0.3,13-12,32.9,490,シュタールヴィント
202507040211,2025/08/24,中京,晴,11,長篠S,3勝クラス,9,6,6,3.6,2.0,4,角田大和,58.0,芝,1200,良,0:1:07.8,0.6,6-7,33.5,488,ワンダーキサラ
202508021212,2025/06/01,京都,晴,12,渡月橋S,3勝クラス,14,4,6,6.9,4.0,9,鮫島克駿,58.0,芝,1400,良,0:1:21.4,0.6,10-10,33.7,486,ガロンヌ
202508020410,2025/05/04,京都,晴,10,淀S,3勝クラス,13,6,9,15.8,5.0,2,丹内祐次,58.0,芝,1200,良,0:1:08.4,0.2,10-9,33.4,482,ヤマニンアルリフラ
202509020408,2025/04/06,阪神,晴,08,4歳以上2勝クラス,2勝クラス,10,7,8,3.8,2.0,1,鮫島克駿,58.0,芝,1200,良,0:1:08.6,-0.1,8-7,33.3,482,(イツモニコニコ)
202509010312,2025/03/08,阪神,曇,12,4歳以上2勝クラス,2勝クラス,11,4,4,4.7,3.0,5,鮫島克駿,58.0,芝,1200,良,0:1:08.9,0.2,11-11,33.3,482,アムールリーベ
202507010912,2025/01/26,中京,晴,12,,2勝クラス,13,8,12,4.0,2.0,8,松山弘平,57.0,芝,1400,良,0:1:22.1,0.7,12-11,34.7,478,マサノカナリア
202408060712,2024/11/23,京都,曇,12,3歳以上2勝クラス,2勝クラス,15,8,15,2.9,1.0,8,Ｃ．デム,57.0,芝,1200,良,0:1:08.8,0.6,9-10,33.4,480,アンクルクロス
202408050312,2024/10/12,京都,晴,12,3歳以上2勝クラス,2勝クラス,17,4,7,4.9,3,2,ルメール,57,芝,1200,良,1:08.0,0.1,17-16,32.9,482,オックスリップ
202410030810,2024/07/21,小倉,曇,10,九州スポーツ杯,2勝クラス,18,5,9,6.3,3,6,松山弘平,55,芝,1200,良,1:09.1,0.8,11-10,34.7,478,ミルテンベルク
202408040412,2024/06/09,京都,曇,12,3歳以上1勝クラス,1勝クラス,13,6,9,2.1,1,1,松山弘平,55,芝,1200,稍,1:08.7,-0.2,10-9,33.9,470,(イツモニコニコ)
202409020506,2024/04/06,阪神,晴,6,3歳1勝クラス,1勝クラス,10,4,4,2.3,1,2,モレイラ,57,芝,1200,良,1:08.8,0.2,4-4,33.9,474,モンシュマン
202409010706,2024/03/16,阪神,晴,6,3歳1勝クラス,1勝クラス,10,2,2,2.8,1,4,鮫島克駿,57,芝,1200,良,1:09.0,0.3,7-7,34.3,476,トーラスシャイン
202309050611,2023/12/17,阪神,晴,11,朝日フューチュリティ(GI),オープン,17,5,10,114.8,12,12,池添謙一,56,芝,1600,良,1:34.7,0.9,5-4,35.7,464,ジャンタルマンタル
202305050111,2023/11/04,東京,晴,11,京王杯2歳S(GII),オープン,12,7,9,15.9,7,4,菅原明良,56,芝,1400,良,1:21.2,0.6,3-4,34.1,460,コラソンビート
202308020304,2023/10/09,京都,曇,4,2歳新馬,新馬,17,7,14,14.7,4,1,菅原明良,56,芝,1400,重,1:22.7,0.0,8-9,35.6,458,(サリュエ)
