クラス,血統,1着,2着,3着,着外
all,ヨハネスブルグ Johannesburg(米),1,0,0,0
all,ヴァンセンヌ,1,0,0,0
all,Shamardal,0,1,0,0
all,エイシンフラッシュ,0,1,0,0
all,ディープインパクト,0,0,1,0
all,バトルプラン Battle Plan(米),0,0,1,0
all,Fastnet Rock (豪),0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アルデバランII Aldebaran(米),0,0,0,1
all,エピファネイア,0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,サクラバクシンオー,0,0,0,1
all,シンボリクリスエス,0,0,0,1
all,ジャングルポケット,0,0,0,1
all,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,2
all,ダイワメジャー,0,0,0,2
all,ダノンバラード,0,0,0,1
all,トゥザワールド,0,0,0,1
all,トーセンファントム,0,0,0,1
all,フレンチデピュティ French Deputy(米),0,0,0,1
all,ベーカバド Behkabad(仏),0,0,0,1
all,マジェスティックウォリアー Majestic Warrior(米),0,0,0,1
all,マンハッタンカフェ,0,0,0,1
all,モンテロッソ Monterosso(英),0,0,0,1
all,ルーラーシップ,0,0,0,1
all,ロードカナロア,0,0,0,5
1勝クラス,ヴァンセンヌ,1,0,0,0
1勝クラス,エイシンフラッシュ,0,1,0,0
1勝クラス,バトルプラン Battle Plan(米),0,0,1,0
1勝クラス,エピファネイア,0,0,0,1
1勝クラス,シンボリクリスエス,0,0,0,1
1勝クラス,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,2
1勝クラス,ダイワメジャー,0,0,0,1
1勝クラス,ダノンバラード,0,0,0,1
1勝クラス,トゥザワールド,0,0,0,1
1勝クラス,トーセンファントム,0,0,0,1
1勝クラス,ベーカバド Behkabad(仏),0,0,0,1
1勝クラス,マジェスティックウォリアー Majestic Warrior(米),0,0,0,1
1勝クラス,マンハッタンカフェ,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,1
1勝クラス,ロードカナロア,0,0,0,1
オープン,ヨハネスブルグ Johannesburg(米),1,0,0,0
オープン,Shamardal,0,1,0,0
オープン,ディープインパクト,0,0,1,0
オープン,Fastnet Rock (豪),0,0,0,1
オープン,アグネスデジタル,0,0,0,1
オープン,アルデバランII Aldebaran(米),0,0,0,1
オープン,キンシャサノキセキ,0,0,0,1
オープン,サクラバクシンオー,0,0,0,1
オープン,ジャングルポケット,0,0,0,1
オープン,ダイワメジャー,0,0,0,1
オープン,フレンチデピュティ French Deputy(米),0,0,0,1
オープン,モンテロッソ Monterosso(英),0,0,0,1
オープン,ロードカナロア,0,0,0,4
