クラス,血統,1着,2着,3着,着外
all,サンダースノー,1,0,0,0
all,シニスターミニスター,1,0,0,0
all,エスポワールシチー,0,1,0,0
all,モーリス,0,1,0,0
all,パイロ,0,0,1,1
all,マインドユアビスケッツ,0,0,1,1
all,Constitution,0,0,0,1
all,イスラボニータ,0,0,0,1
all,カリフォルニアクローム,0,0,0,1
all,クリソベリル,0,0,0,2
all,コントレイル,0,0,0,1
all,シャンハイボビー,0,0,0,1
all,ダノンバラード,0,0,0,1
all,テーオーヘリオス,0,0,0,1
all,トビーズコーナー,0,0,0,1
all,トーセンラー,0,0,0,1
all,ドレフォン,0,0,0,2
all,ヘニーヒューズ,0,0,0,1
all,ホッコータルマエ,0,0,0,1
all,レッドファルクス,0,0,0,1
1勝クラス,シニスターミニスター,1,0,0,0
1勝クラス,モーリス,0,1,0,0
1勝クラス,マインドユアビスケッツ,0,0,1,0
1勝クラス,Constitution,0,0,0,1
1勝クラス,カリフォルニアクローム,0,0,0,1
1勝クラス,クリソベリル,0,0,0,1
1勝クラス,テーオーヘリオス,0,0,0,1
1勝クラス,トーセンラー,0,0,0,1
1勝クラス,ドレフォン,0,0,0,2
1勝クラス,ホッコータルマエ,0,0,0,1
1勝クラス,レッドファルクス,0,0,0,1
未勝利,サンダースノー,1,0,0,0
未勝利,エスポワールシチー,0,1,0,0
未勝利,パイロ,0,0,1,1
未勝利,イスラボニータ,0,0,0,1
未勝利,クリソベリル,0,0,0,1
未勝利,コントレイル,0,0,0,1
未勝利,シャンハイボビー,0,0,0,1
未勝利,ダノンバラード,0,0,0,1
未勝利,トビーズコーナー,0,0,0,1
未勝利,ヘニーヒューズ,0,0,0,1
未勝利,マインドユアビスケッツ,0,0,0,1
