クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ Henny Hughes(米),3,3,4,20
all,ロードカナロア,3,0,1,15
all,イスラボニータ,2,1,1,8
all,アイファーソング,2,0,0,1
all,カレンブラックヒル,1,2,2,2
all,シャンハイボビー Shanghai Bobby(米),1,2,1,5
all,ハーツクライ,1,2,0,2
all,アジアエクスプレス,1,1,3,8
all,パイロ Pyro(米),1,1,3,8
all,ハードスパン Hard Spun(米),1,1,1,1
all,Shackleford,1,1,0,1
all,ベストウォーリア,1,0,1,2
all,ミッキーアイル,1,0,1,16
all,モーニン,1,0,1,1
all,Ghostzapper,1,0,0,0
all,Mohaymen,1,0,0,0
all,アスカクリチャン,1,0,0,1
all,インカンテーション,1,0,0,2
all,コパノリッキー,1,0,0,14
all,ゴールドアリュール,1,0,0,2
all,スクリーンヒーロー,1,0,0,3
all,スズカコーズウェイ,1,0,0,1
all,スワーヴリチャード,1,0,0,1
all,ディープブリランテ,1,0,0,4
all,ドゥラメンテ,1,0,0,3
all,ドレフォン Drefong(米),1,0,0,8
all,ハクサンムーン,1,0,0,3
all,バトルプラン Battle Plan(米),1,0,0,3
all,ファインニードル,1,0,0,4
all,プリサイスエンド Precise End(米),1,0,0,3
all,リアルスティール,1,0,0,3
all,リオンディーズ,0,3,1,9
all,キンシャサノキセキ,0,3,0,13
all,ビッグアーサー,0,2,0,7
all,レーヴミストラル,0,2,0,1
all,ロゴタイプ,0,2,0,3
all,American Pharoah (米),0,1,1,0
all,ジャスタウェイ,0,1,1,3
all,ストロングリターン,0,1,1,6
all,Free Drop Billy,0,1,0,1
all,Quality Road,0,1,0,0
all,アポロキングダム,0,1,0,1
all,キズナ,0,1,0,2
all,キングカメハメハ,0,1,0,3
all,ディスクリートキャット Discreet Cat(米),0,1,0,5
all,パドトロワ,0,1,0,2
all,ローエングリン,0,1,0,0
all,トビーズコーナー Toby's Corner(米),0,0,2,4
all,エスポワールシチー,0,0,1,4
all,カリフォルニアクローム California Chrome(米),0,0,1,1
all,ガルボ,0,0,1,0
all,ケイムホーム Came Home(米),0,0,1,0
all,シンボリクリスエス,0,0,1,1
all,ディーマジェスティ,0,0,1,1
all,デクラレーションオブウォー,0,0,1,3
