クラス,血統,1着,2着,3着,着外
all,シニスターミニスター Sinister Minister(米),4,3,2,12
all,シャンハイボビー Shanghai Bobby(米),4,3,2,2
all,ルーラーシップ,3,1,1,17
all,マインドユアビスケッツ Mind Your Biscuits(米),3,0,0,16
all,ホッコータルマエ,2,2,0,17
all,モーリス,2,0,0,4
all,ドレフォン Drefong(米),1,3,2,21
all,パイロ Pyro(米),1,2,2,12
all,ロードカナロア,1,2,0,12
all,エスケンデレヤ,1,1,1,0
all,スクリーンヒーロー,1,1,1,5
all,ドゥラメンテ,1,1,1,12
all,アイファーソング,1,1,0,3
all,エピカリス,1,1,0,3
all,ラブリーデイ,1,1,0,3
all,ロゴタイプ,1,1,0,4
all,コパノリッキー,1,0,2,3
all,Omaha Beach (),1,0,1,0
all,ディスクリートキャット Discreet Cat(米),1,0,1,4
all,ロージズインメイ Roses in May(米),1,0,1,3
all,Into Mischief,1,0,0,0
all,Kantharos,1,0,0,0
all,Kitten's Joy (米),1,0,0,0
all,Uncle Mo (米),1,0,0,2
all,エイシンフラッシュ,1,0,0,4
all,エスポワールシチー,1,0,0,3
all,カリフォルニアクローム California Chrome(米),1,0,0,6
all,キタサンブラック,1,0,0,4
all,グレーターロンドン,1,0,0,0
all,ゴールドドリーム,1,0,0,1
all,ダノンバラード,1,0,0,3
all,ダンカーク Dunkirk(米),1,0,0,7
all,ニホンピロアワーズ,1,0,0,1
all,ブラックタイド,1,0,0,2
all,ベストウォーリア,1,0,0,4
all,リアルインパクト,1,0,0,7
all,リオンディーズ,0,2,1,12
all,レッドファルクス,0,2,1,4
all,アジアエクスプレス,0,2,0,6
all,ヘニーヒューズ Henny Hughes(米),0,1,2,9
all,レイデオロ,0,1,2,5
all,キズナ,0,1,1,7
all,サトノアラジン,0,1,1,6
all,シュヴァルグラン,0,1,1,7
all,リアルスティール,0,1,1,9
all,Mendelssohn,0,1,0,0
all,Yoshida (安平町),0,1,0,1
all,オルフェーヴル,0,1,0,9
all,サートゥルナーリア,0,1,0,0
all,ザファクター,0,1,0,2
all,ジャスタウェイ,0,1,0,12
all,ジョーカプチーノ,0,1,0,1
all,ダイワメジャー,0,1,0,4
all,ディーマジェスティ,0,1,0,2
all,デクラレーションオブウォー,0,1,0,8
all,パレスマリス,0,1,0,0
all,マジェスティックウォリアー Majestic Warrior(米),0,1,0,11
all,ミュゼスルタン,0,1,0,0
all,トビーズコーナー Toby's Corner(米),0,0,2,0
all,ニューイヤーズデイ,0,0,2,6
all,マクフィ,0,0,2,5
all,Catalina Cruiser (米),0,0,1,0
all,Curlin (米),0,0,1,1
all,Justify (米),0,0,1,0
all,Showcasing,0,0,1,0
all,アドミラブル,0,0,1,5
all,アメリカンペイトリオット,0,0,1,5
all,カレンブラックヒル,0,0,1,5
all,キングカメハメハ,0,0,1,4
all,キンシャサノキセキ,0,0,1,3
all,サトノダイヤモンド,0,0,1,2
all,シルバーステート,0,0,1,2
all,ダノンレジェンド,0,0,1,7
all,ハービンジャー Harbinger(英),0,0,1,3
all,ミッキーグローリー,0,0,1,1
all,ルヴァンスレーヴ,0,0,1,4
all,American Pharoah (米),0,0,0,2
all,Arrogate (米),0,0,0,1
all,Catholic Boy,0,0,0,1
all,Collected,0,0,0,1
all,Fort Larned,0,0,0,1
all,Frankel,0,0,0,1
all,Gun Runner (米),0,0,0,3
all,Khozan,0,0,0,1
all,Medaglia d'Oro,0,0,0,1
all,Mitole,0,0,0,1
all,Not This Time,0,0,0,1
all,Tapit (米),0,0,0,1
all,アドマイヤマーズ,0,0,0,1
all,アドマイヤムーン,0,0,0,2
all,アニマルキングダム Animal Kingdom(米),0,0,0,2
all,アポロケンタッキー,0,0,0,2
all,アルアイン,0,0,0,5
all,アンライバルド,0,0,0,1
all,イスラボニータ,0,0,0,5
all,インカンテーション,0,0,0,1
