クラス,血統,1着,2着,3着,着外
all,ディープインパクト,4,3,1,19
all,ハーツクライ,3,1,1,8
all,ノヴェリスト Novellist(愛),2,1,0,3
all,ロードカナロア,2,0,1,12
all,ステイゴールド,1,1,1,5
all,ダイワメジャー,1,1,1,11
all,シンボリクリスエス,1,1,0,2
all,Fastnet Rock (豪),1,0,0,0
all,Frankel,1,0,0,0
all,キンシャサノキセキ,1,0,0,5
all,ジャスタウェイ,1,0,0,5
all,ジョーカプチーノ,1,0,0,2
all,ゼンノロブロイ,1,0,0,1
all,タートルボウル Turtle Bowl(愛),1,0,0,5
all,マンハッタンカフェ,1,0,0,3
all,スクリーンヒーロー,0,3,0,8
all,ルーラーシップ,0,2,2,11
all,オルフェーヴル,0,1,2,5
all,ディープブリランテ,0,1,2,12
all,キングカメハメハ,0,1,1,7
all,Goldencents,0,1,0,0
all,アイルハヴアナザー I'll Have Another(米),0,1,0,3
all,キズナ,0,1,0,6
all,ストロングリターン,0,1,0,4
all,ブラックタイド,0,1,0,4
all,ワークフォース Workforce(英),0,1,0,0
all,ジャングルポケット,0,0,2,1
all,Malibu Moon,0,0,1,0
all,アンライバルド,0,0,1,0
all,キングズベスト King's Best(米),0,0,1,3
all,クロフネ,0,0,1,5
all,タイキシャトル,0,0,1,1
all,ドリームジャーニー,0,0,1,0
all,ヴァンセンヌ,0,0,1,0
all,ヴィクトワールピサ,0,0,1,5
all,Bullet Train,0,0,0,1
all,Dawn Approach (愛),0,0,0,0
all,Mastercraftsman,0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アサクサキングス,0,0,0,2
all,アドマイヤジャパン,0,0,0,1
all,アドマイヤムーン,0,0,0,8
all,アーネストリー,0,0,0,1
all,ウインバリアシオン,0,0,0,2
all,エイシンフラッシュ,0,0,0,2
all,エスケンデレヤ,0,0,0,2
all,エピファネイア,0,0,0,4
all,エンパイアメーカー Empire Maker(米),0,0,0,1
all,カジノドライヴ,0,0,0,0
all,カネヒキリ,0,0,0,1
all,カレンブラックヒル,0,0,0,2
all,カンパニー,0,0,0,1
all,キングヘイロー,0,0,0,2
all,クリストワイニング,0,0,0,1
all,グラスワンダー,0,0,0,2
all,グランプリボス,0,0,0,2
all,コンデュイット Conduit(愛),0,0,0,1
all,ゴールドシップ,0,0,0,1
all,サウンドボルケーノ,0,0,0,1
all,サダムパテック,0,0,0,1
all,シベリアンホーク,0,0,0,1
all,ショウナンカンプ,0,0,0,1
all,スニッツェル Snitzel(豪),0,0,0,1
all,スピルバーグ,0,0,0,2
all,スマートファルコン,0,0,0,1
all,タニノギムレット,0,0,0,2
all,ダノンシャンティ,0,0,0,3
all,ダンカーク Dunkirk(米),0,0,0,2
all,トゥザグローリー,0,0,0,3
all,トーセンジョーダン,0,0,0,1
all,トーセンホマレボシ,0,0,0,2
all,トーセンラー,0,0,0,2
all,ナカヤマフェスタ,0,0,0,2
all,ネオユニヴァース,0,0,0,2
all,ハードスパン Hard Spun(米),0,0,0,1
all,ハービンジャー Harbinger(英),0,0,0,9
all,バゴ Bago(仏),0,0,0,2
all,バトルプラン Battle Plan(米),0,0,0,2
all,フェノーメノ,0,0,0,5
all,フリオーソ,0,0,0,1
all,フレンチデピュティ French Deputy(米),0,0,0,1
all,プリサイスエンド Precise End(米),0,0,0,1
all,ヘニーヒューズ Henny Hughes(米),0,0,0,1
all,ベーカバド Behkabad(仏),0,0,0,1
all,マジェスティックウォリアー Majestic Warrior(米),0,0,0,3
all,マツリダゴッホ,0,0,0,4
all,メイショウボーラー,0,0,0,1
all,モンテロッソ Monterosso(英),0,0,0,3
all,ヨハネスブルグ Johannesburg(米),0,0,0,1
