クラス,血統,1着,2着,3着,着外
all,キングカメハメハ,2,1,2,2
all,ゴールドアリュール,2,1,0,3
all,ステイゴールド,1,2,0,3
all,ハーツクライ,1,1,2,5
all,ゼンノロブロイ,1,1,1,0
all,ダノンシャンティ,1,0,1,2
all,Stormy Atlantic,1,0,0,0
all,クロフネ,1,0,0,3
all,タイキシャトル,1,0,0,0
all,タートルボウル Turtle Bowl(愛),1,0,0,0
all,テイエムオペラオー,1,0,0,0
all,ベーカバド Behkabad(仏),1,0,0,1
all,ディープインパクト,0,2,0,6
all,オペラハウス Opera House(英),0,1,1,1
all,Smart Strike (加),0,1,0,0
all,アサクサキングス,0,1,0,1
all,アドマイヤムーン,0,1,0,2
all,ネオユニヴァース,0,1,0,0
all,モンテロッソ Monterosso(英),0,1,0,3
all,ニューイングランド,0,0,2,0
all,エイシンフラッシュ,0,0,1,1
all,ストリートセンス Street Sense(米),0,0,1,0
all,マーベラスサンデー,0,0,1,1
all,メイショウボーラー,0,0,1,0
all,リーチザクラウン,0,0,1,3
all,Intense Focus,0,0,0,1
all,Kitten's Joy (米),0,0,0,1
all,Point of Entry,0,0,0,1
all,Take Charge Indy (米),0,0,0,1
all,アイルハヴアナザー I'll Have Another(米),0,0,0,1
all,アッミラーレ,0,0,0,1
all,アドマイヤオーラ,0,0,0,1
all,アポロキングダム,0,0,0,3
all,アンライバルド,0,0,0,3
all,オルフェーヴル,0,0,0,1
all,カジノドライヴ,0,0,0,1
all,キャプテントゥーレ,0,0,0,1
all,キングズベスト King's Best(米),0,0,0,3
all,キングヘイロー,0,0,0,4
all,キンシャサノキセキ,0,0,0,3
all,ケイムホーム Came Home(米),0,0,0,1
all,コンデュイット Conduit(愛),0,0,0,2
all,サムライハート,0,0,0,3
all,ザサンデーフサイチ,0,0,0,1
all,シングンオペラ,0,0,0,1
all,シンボリクリスエス,0,0,0,2
all,ジャイアントレッカー Giant Wrecker(米),0,0,0,2
all,ジャングルポケット,0,0,0,1
all,ジークエンブレム,0,0,0,1
