クラス,血統,1着,2着,3着,着外
all,Medaglia d'Oro,1,0,0,0
all,ノヴェリスト Novellist(愛),1,0,0,1
all,ヘニーヒューズ Henny Hughes(米),1,0,0,3
all,キングズベスト King's Best(米),0,1,0,0
all,ゴールドアリュール,0,1,0,0
all,スマートファルコン,0,1,0,0
all,ノボジャック,0,0,1,0
all,メイショウボーラー,0,0,1,0
all,ロードカナロア,0,0,1,1
all,Graydar,0,0,0,1
all,Leroidesanimaux,0,0,0,1
all,Speightstown (米),0,0,0,1
all,Unbridled's Song (米),0,0,0,1
all,アドマイヤジャパン,0,0,0,1
all,オルフェーヴル,0,0,0,0
all,カレンブラックヒル,0,0,0,1
all,キンシャサノキセキ,0,0,0,2
all,クロフネ,0,0,0,1
all,グランプリボス,0,0,0,1
all,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,2
all,ストロングリターン,0,0,0,1
all,タイムパラドックス,0,0,0,1
all,ダノンシャンティ,0,0,0,1
all,ダンカーク Dunkirk(米),0,0,0,1
all,トゥザワールド,0,0,0,1
all,トランセンド,0,0,0,1
all,パイロ Pyro(米),0,0,0,1
all,プリサイスエンド Precise End(米),0,0,0,1
all,メイショウサムソン,0,0,0,1
all,ヨハネスブルグ Johannesburg(米),0,0,0,1
all,リアルインパクト,0,0,0,1
all,リヤンドファミユ,0,0,0,1
1勝クラス,ノヴェリスト Novellist(愛),1,0,0,0
1勝クラス,キングズベスト King's Best(米),0,1,0,0
1勝クラス,ロードカナロア,0,0,1,0
1勝クラス,Graydar,0,0,0,1
1勝クラス,Speightstown (米),0,0,0,1
1勝クラス,Unbridled's Song (米),0,0,0,1
1勝クラス,カレンブラックヒル,0,0,0,1
1勝クラス,キンシャサノキセキ,0,0,0,1
1勝クラス,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,1
1勝クラス,タイムパラドックス,0,0,0,1
1勝クラス,ダンカーク Dunkirk(米),0,0,0,1
1勝クラス,トランセンド,0,0,0,1
1勝クラス,プリサイスエンド Precise End(米),0,0,0,1
1勝クラス,メイショウサムソン,0,0,0,1
1勝クラス,ヨハネスブルグ Johannesburg(米),0,0,0,1
2勝クラス,ヘニーヒューズ Henny Hughes(米),1,0,0,3
2勝クラス,ゴールドアリュール,0,1,0,0
2勝クラス,メイショウボーラー,0,0,1,0
2勝クラス,Leroidesanimaux,0,0,0,1
2勝クラス,アドマイヤジャパン,0,0,0,1
2勝クラス,オルフェーヴル,0,0,0,0
2勝クラス,キンシャサノキセキ,0,0,0,1
2勝クラス,クロフネ,0,0,0,1
2勝クラス,グランプリボス,0,0,0,1
2勝クラス,ストロングリターン,0,0,0,1
2勝クラス,ノヴェリスト Novellist(愛),0,0,0,1
2勝クラス,ロードカナロア,0,0,0,1
未勝利,Medaglia d'Oro,1,0,0,0
未勝利,スマートファルコン,0,1,0,0
未勝利,ノボジャック,0,0,1,0
未勝利,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,1
未勝利,ダノンシャンティ,0,0,0,1
未勝利,トゥザワールド,0,0,0,1
未勝利,パイロ Pyro(米),0,0,0,1
未勝利,リアルインパクト,0,0,0,1
未勝利,リヤンドファミユ,0,0,0,1
