クラス,血統,1着,2着,3着,着外
all,ステイゴールド,1,0,1,0
all,マンハッタンカフェ,0,1,0,0
all,エイシンフラッシュ,0,0,0,2
all,ケイムホーム Came Home(米),0,0,0,1
all,ゴールドアリュール,0,0,0,1
all,ジャングルポケット,0,0,0,0
all,スクリーンヒーロー,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,テイエムオペラオー,0,0,0,1
all,バトルプラン Battle Plan(米),0,0,0,1
all,ベーカバド Behkabad(仏),0,0,0,1
all,ルーラーシップ,0,0,0,1
オープン,ステイゴールド,1,0,1,0
オープン,マンハッタンカフェ,0,1,0,0
オープン,エイシンフラッシュ,0,0,0,2
オープン,ケイムホーム Came Home(米),0,0,0,1
オープン,ゴールドアリュール,0,0,0,1
オープン,ジャングルポケット,0,0,0,0
オープン,スクリーンヒーロー,0,0,0,1
オープン,ダイワメジャー,0,0,0,1
オープン,テイエムオペラオー,0,0,0,1
オープン,バトルプラン Battle Plan(米),0,0,0,1
オープン,ベーカバド Behkabad(仏),0,0,0,1
オープン,ルーラーシップ,0,0,0,1
