クラス,血統,1着,2着,3着,着外
all,ハーツクライ,19,13,12,100
all,オルフェーヴル,16,13,9,102
all,キズナ,15,11,9,81
all,キングカメハメハ,15,5,6,72
all,ヘニーヒューズ Henny Hughes(米),13,20,7,111
all,シニスターミニスター Sinister Minister(米),11,13,14,107
all,ドゥラメンテ,11,8,7,66
all,ルーラーシップ,9,15,16,162
all,ホッコータルマエ,9,14,7,87
all,パイロ Pyro(米),9,11,12,79
all,ゴールドアリュール,9,10,9,74
all,アイルハヴアナザー I'll Have Another(米),9,9,7,79
all,ブラックタイド,9,4,4,59
all,モーリス,8,7,4,36
all,ドレフォン Drefong(米),8,7,3,50
all,キンシャサノキセキ,8,2,6,60
all,ジャスタウェイ,7,13,6,109
all,スクリーンヒーロー,7,9,12,54
all,ロードカナロア,7,6,7,100
all,マジェスティックウォリアー Majestic Warrior(米),7,6,4,73
all,ダイワメジャー,6,8,2,58
all,ネオユニヴァース,6,3,0,21
all,エスケンデレヤ,6,1,4,48
all,ロージズインメイ Roses in May(米),5,6,5,40
all,アジアエクスプレス,5,4,4,44
all,キタサンブラック,5,3,6,10
all,エスポワールシチー,5,3,0,49
all,マクフィ,5,2,3,37
all,リーチザクラウン,5,2,2,21
all,ディープインパクト,5,1,3,50
all,クロフネ,4,12,5,62
all,ゴールドシップ,4,6,4,47
all,コパノリッキー,4,5,4,51
all,トビーズコーナー Toby's Corner(米),4,4,2,9
all,リアルインパクト,4,3,6,27
all,ハービンジャー Harbinger(英),4,3,2,58
all,ワールドエース,4,2,6,34
all,エピファネイア,4,2,3,53
all,フリオーソ,4,2,3,57
all,シンボリクリスエス,4,1,5,40
all,トーセンジョーダン,4,1,2,21
all,ヴィクトワールピサ,3,8,1,56
all,エイシンフラッシュ,3,5,5,55
all,トゥザグローリー,3,5,3,42
all,メイショウサムソン,3,4,5,26
all,カジノドライヴ,3,3,4,32
all,ラブリーデイ,3,2,3,29
all,ヴァンセンヌ,3,2,3,9
