クラス,血統,1着,2着,3着,着外
all,ディープインパクト,7,4,8,33
all,ヴィクトワールピサ,4,2,0,10
all,オルフェーヴル,3,3,4,12
all,キングカメハメハ,3,1,0,10
all,エピファネイア,2,3,2,3
all,エイシンフラッシュ,2,2,0,8
all,ロードカナロア,2,2,0,3
all,ハービンジャー Harbinger(英),2,1,3,20
all,ノヴェリスト Novellist(愛),2,0,0,4
all,ワークフォース Workforce(英),2,0,0,6
all,ハーツクライ,1,7,3,26
all,ステイゴールド,1,3,0,11
all,ルーラーシップ,1,2,2,9
all,スクリーンヒーロー,1,1,0,8
all,ゴールドシップ,1,0,1,1
all,タニノギムレット,1,0,1,2
all,Dawn Approach (愛),1,0,0,0
all,キンシャサノキセキ,1,0,0,4
all,ダノンバラード,1,0,0,1
all,トーセンラー,1,0,0,0
all,ネオユニヴァース,1,0,0,3
all,モンテロッソ Monterosso(英),1,0,0,7
all,ダノンシャンティ,0,2,0,2
all,トーセンホマレボシ,0,1,3,3
all,ダイワメジャー,0,1,1,3
all,キズナ,0,1,0,8
all,ストリートセンス Street Sense(米),0,1,0,0
all,タートルボウル Turtle Bowl(愛),0,1,0,5
all,ダンカーク Dunkirk(米),0,1,0,3
all,ディープブリランテ,0,1,0,3
all,ロジユニヴァース,0,0,2,1
all,Sea The Stars Sea the Stars(愛),0,0,1,1
all,クロフネ,0,0,1,0
all,ジャングルポケット,0,0,1,7
all,タイキシャトル,0,0,1,0
all,ドリームジャーニー,0,0,1,2
all,ナカヤマフェスタ,0,0,1,7
all,ベーカバド Behkabad(仏),0,0,1,3
all,マツリダゴッホ,0,0,1,3
all,マンハッタンカフェ,0,0,1,9
all,マーベラスサンデー,0,0,1,0
all,ローズキングダム,0,0,1,3
all,Camelot (英),0,0,0,2
all,Constitution (米),0,0,0,1
all,Dubawi,0,0,0,1
all,Sea The Moon (独),0,0,0,1
all,アイルハヴアナザー I'll Have Another(米),0,0,0,8
all,アドマイヤムーン,0,0,0,2
all,ウインバリアシオン,0,0,0,1
all,エイシンサンディ,0,0,0,1
all,オーシャンブルー,0,0,0,1
all,キングズベスト King's Best(米),0,0,0,1
all,キングヘイロー,0,0,0,4
all,グラスワンダー,0,0,0,2
all,グランプリボス,0,0,0,1
all,ケープブランコ Cape Blanco(英),0,0,0,1
all,ゴールドヘイロー,0,0,0,1
all,サウスヴィグラス,0,0,0,1
all,サクラプレジデント,0,0,0,1
all,サムライハート,0,0,0,1
all,サンカルロ,0,0,0,1
all,シビルウォー,0,0,0,1
all,ショウナンカンプ,0,0,0,1
all,シンボリクリスエス,0,0,0,2
all,ジャスタウェイ,0,0,0,5
all,スウィフトカレント,0,0,0,1
all,スズカフェニックス,0,0,0,1
all,スズカマンボ,0,0,0,1
all,ストロングリターン,0,0,0,1
all,スピルバーグ,0,0,0,1
all,ゼンノロブロイ,0,0,0,3
all,ディープスカイ,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,トゥザグローリー,0,0,0,2
all,トーセンジョーダン,0,0,0,1
all,バトルプラン Battle Plan(米),0,0,0,1
all,フェノーメノ,0,0,0,4
all,フサイチセブン,0,0,0,1
all,ブラックタイド,0,0,0,5
all,ヘニーヒューズ Henny Hughes(米),0,0,0,1
all,ベルシャザール,0,0,0,1
all,ホワイトマズル White Muzzle(英),0,0,0,1
all,メイショウサムソン,0,0,0,3
all,メイショウボーラー,0,0,0,1
all,リアルインパクト,0,0,0,1
all,ローエングリン,0,0,0,2
all,ロードアルティマ,0,0,0,1
all,ローレルゲレイロ,0,0,0,1
all,ワールドエース,0,0,0,1
all,ヴァーミリアン,0,0,0,2
1勝クラス,ヴィクトワールピサ,1,1,0,0
1勝クラス,ディープインパクト,1,0,1,3
1勝クラス,オルフェーヴル,1,0,0,0
1勝クラス,ハービンジャー Harbinger(英),1,0,0,3
1勝クラス,ハーツクライ,0,1,1,3
1勝クラス,キズナ,0,1,0,0
1勝クラス,ルーラーシップ,0,1,0,1
1勝クラス,トーセンホマレボシ,0,0,1,0
1勝クラス,ロジユニヴァース,0,0,1,0
1勝クラス,キングヘイロー,0,0,0,2
1勝クラス,キンシャサノキセキ,0,0,0,1
1勝クラス,グラスワンダー,0,0,0,1
1勝クラス,ジャングルポケット,0,0,0,1
1勝クラス,スウィフトカレント,0,0,0,1
1勝クラス,スズカマンボ,0,0,0,1
1勝クラス,ステイゴールド,0,0,0,1
1勝クラス,ゼンノロブロイ,0,0,0,1
1勝クラス,タートルボウル Turtle Bowl(愛),0,0,0,1
1勝クラス,トゥザグローリー,0,0,0,1
1勝クラス,ブラックタイド,0,0,0,1
1勝クラス,ロードカナロア,0,0,0,1
2勝クラス,ディープインパクト,1,0,1,2
2勝クラス,ノヴェリスト Novellist(愛),1,0,0,0
2勝クラス,ワークフォース Workforce(英),1,0,0,0
2勝クラス,ヴィクトワールピサ,1,0,0,0
2勝クラス,エイシンフラッシュ,0,1,0,0
2勝クラス,ストリートセンス Street Sense(米),0,1,0,0
2勝クラス,ダイワメジャー,0,1,0,0
2勝クラス,ハーツクライ,0,1,0,1
2勝クラス,オルフェーヴル,0,0,2,1
2勝クラス,ジャングルポケット,0,0,1,0
2勝クラス,Camelot (英),0,0,0,1
2勝クラス,エイシンサンディ,0,0,0,1
2勝クラス,キングカメハメハ,0,0,0,1
2勝クラス,シンボリクリスエス,0,0,0,1
2勝クラス,スクリーンヒーロー,0,0,0,3
2勝クラス,ステイゴールド,0,0,0,3
2勝クラス,タートルボウル Turtle Bowl(愛),0,0,0,1
2勝クラス,ダンカーク Dunkirk(米),0,0,0,1
2勝クラス,ディープブリランテ,0,0,0,1
2勝クラス,ナカヤマフェスタ,0,0,0,1
2勝クラス,ハービンジャー Harbinger(英),0,0,0,3
2勝クラス,メイショウサムソン,0,0,0,1
2勝クラス,モンテロッソ Monterosso(英),0,0,0,1
2勝クラス,ヴァーミリアン,0,0,0,1
3勝クラス,ディープインパクト,2,0,2,2
3勝クラス,オルフェーヴル,0,1,0,0
3勝クラス,ダノンシャンティ,0,1,0,0
3勝クラス,アドマイヤムーン,0,0,0,1
3勝クラス,ハーツクライ,0,0,0,2
3勝クラス,ハービンジャー Harbinger(英),0,0,0,1
3勝クラス,ブラックタイド,0,0,0,1
3勝クラス,マンハッタンカフェ,0,0,0,3
3勝クラス,ルーラーシップ,0,0,0,1
3勝クラス,ローエングリン,0,0,0,1
オープン,キングカメハメハ,1,0,0,3
オープン,タニノギムレット,1,0,0,0
オープン,トーセンラー,1,0,0,0
オープン,ロードカナロア,1,0,0,2
オープン,ヴィクトワールピサ,1,0,0,2
オープン,ステイゴールド,0,2,0,4
オープン,ディープインパクト,0,1,1,8
オープン,オルフェーヴル,0,1,0,1
オープン,ハーツクライ,0,1,0,8
オープン,クロフネ,0,0,1,0
オープン,ダイワメジャー,0,0,1,0
オープン,ベーカバド Behkabad(仏),0,0,1,1
オープン,ルーラーシップ,0,0,1,2
オープン,Camelot (英),0,0,0,1
オープン,Dubawi,0,0,0,1
オープン,Sea The Stars Sea the Stars(愛),0,0,0,1
オープン,アイルハヴアナザー I'll Have Another(米),0,0,0,2
オープン,エイシンフラッシュ,0,0,0,1
オープン,ゴールドヘイロー,0,0,0,1
オープン,スクリーンヒーロー,0,0,0,2
オープン,タートルボウル Turtle Bowl(愛),0,0,0,1
オープン,ダンカーク Dunkirk(米),0,0,0,1
オープン,ディープスカイ,0,0,0,1
オープン,ディープブリランテ,0,0,0,1
オープン,デクラレーションオブウォー,0,0,0,1
オープン,ノヴェリスト Novellist(愛),0,0,0,1
オープン,ハービンジャー Harbinger(英),0,0,0,6
オープン,バトルプラン Battle Plan(米),0,0,0,1
オープン,メイショウサムソン,0,0,0,1
オープン,ワークフォース Workforce(英),0,0,0,1
新馬,エピファネイア,2,0,0,0
新馬,キンシャサノキセキ,1,0,0,1
新馬,ディープインパクト,1,0,0,3
新馬,ネオユニヴァース,1,0,0,0
新馬,トーセンホマレボシ,0,1,1,0
新馬,キングカメハメハ,0,1,0,2
新馬,ダンカーク Dunkirk(米),0,1,0,0
新馬,ルーラーシップ,0,1,0,1
新馬,Sea The Stars Sea the Stars(愛),0,0,1,0
新馬,オルフェーヴル,0,0,1,3
新馬,タニノギムレット,0,0,1,0
新馬,マツリダゴッホ,0,0,1,0
新馬,Constitution (米),0,0,0,1
新馬,アイルハヴアナザー I'll Have Another(米),0,0,0,2
新馬,エイシンフラッシュ,0,0,0,4
新馬,キズナ,0,0,0,4
新馬,グラスワンダー,0,0,0,1
新馬,ゴールドシップ,0,0,0,1
新馬,ジャングルポケット,0,0,0,2
新馬,スクリーンヒーロー,0,0,0,2
新馬,ストロングリターン,0,0,0,1
新馬,ダノンシャンティ,0,0,0,1
新馬,ダノンバラード,0,0,0,1
新馬,ノヴェリスト Novellist(愛),0,0,0,1
新馬,ハーツクライ,0,0,0,3
新馬,ハービンジャー Harbinger(英),0,0,0,2
新馬,フェノーメノ,0,0,0,1
新馬,ベーカバド Behkabad(仏),0,0,0,1
新馬,モンテロッソ Monterosso(英),0,0,0,1
新馬,ロジユニヴァース,0,0,0,1
新馬,ヴィクトワールピサ,0,0,0,2
未勝利,ディープインパクト,2,1,2,4
未勝利,オルフェーヴル,2,1,1,7
未勝利,ハーツクライ,1,2,0,1
未勝利,エイシンフラッシュ,1,1,0,3
未勝利,ヴィクトワールピサ,1,1,0,3
未勝利,ハービンジャー Harbinger(英),1,0,3,4
未勝利,ゴールドシップ,1,0,1,0
未勝利,ルーラーシップ,1,0,1,2
未勝利,ダノンバラード,1,0,0,0
未勝利,ロードカナロア,1,0,0,0
未勝利,エピファネイア,0,3,2,3
