クラス,血統,1着,2着,3着,着外
all,エスケンデレヤ,1,0,0,0
all,ヴィクトワールピサ,1,0,0,0
all,クロフネ,0,1,0,0
all,ディスクリートキャット Discreet Cat(米),0,1,0,1
all,Galileo (愛),0,0,1,0
all,シルバーステート,0,0,1,0
all,アメリカンペイトリオット,0,0,0,1
all,オウケンブルースリ,0,0,0,1
all,カネヒキリ,0,0,0,0
all,サトノアラジン,0,0,0,1
all,シニスターミニスター Sinister Minister(米),0,0,0,1
all,ストロングリターン,0,0,0,1
all,ディープブリランテ,0,0,0,1
all,ルーラーシップ,0,0,0,1
未勝利,エスケンデレヤ,1,0,0,0
未勝利,ヴィクトワールピサ,1,0,0,0
未勝利,クロフネ,0,1,0,0
未勝利,ディスクリートキャット Discreet Cat(米),0,1,0,1
未勝利,Galileo (愛),0,0,1,0
未勝利,シルバーステート,0,0,1,0
未勝利,アメリカンペイトリオット,0,0,0,1
未勝利,オウケンブルースリ,0,0,0,1
未勝利,カネヒキリ,0,0,0,0
未勝利,サトノアラジン,0,0,0,1
未勝利,シニスターミニスター Sinister Minister(米),0,0,0,1
未勝利,ストロングリターン,0,0,0,1
未勝利,ディープブリランテ,0,0,0,1
未勝利,ルーラーシップ,0,0,0,1
