クラス,血統,1着,2着,3着,着外
all,モズアスコット,2,0,0,1
all,シニスターミニスター,1,1,0,1
all,カレンブラックヒル,1,0,1,2
all,ロードカナロア,1,0,1,8
all,Exceedance,1,0,0,0
all,Mendelssohn,1,0,0,1
all,ゴールドドリーム,1,0,0,3
all,サンダースノー,1,0,0,4
all,シャンハイボビー,1,0,0,1
all,ダノンレジェンド,1,0,0,1
all,フィレンツェファイア,1,0,0,1
all,アルアイン,0,2,0,1
all,アジアエクスプレス,0,1,0,1
all,イスラボニータ,0,1,0,3
all,キズナ,0,1,0,3
all,シスキン,0,1,0,0
all,スワーヴリチャード,0,1,0,0
all,ドレフォン,0,1,0,6
all,フィエールマン,0,1,0,1
all,マインドユアビスケッツ,0,1,0,7
all,レッドファルクス,0,1,0,0
all,Into Mischief,0,0,1,0
all,Kantharos,0,0,1,0
all,エスポワールシチー,0,0,1,2
all,キンシャサノキセキ,0,0,1,1
all,ゴールドシップ,0,0,1,0
all,ドゥラメンテ,0,0,1,1
all,ナダル,0,0,1,1
all,ハーツクライ,0,0,1,0
all,パイロ,0,0,1,3
all,リーチザクラウン,0,0,1,0
all,Australia,0,0,0,1
all,Essential Quality,0,0,0,1
all,Gun Runner,0,0,0,1
all,Liam's Map,0,0,0,1
all,Maclean's Music,0,0,0,1
all,Palace Pier,0,0,0,1
all,Tapit,0,0,0,1
all,Vekoma ヴェコマ,0,0,0,1
all,Victor Ludorum,0,0,0,1
all,アドマイヤマーズ,0,0,0,1
all,アメリカンペイトリオット,0,0,0,2
all,エピカリス,0,0,0,1
all,エピファネイア,0,0,0,2
all,エポカドーロ,0,0,0,1
all,オルフェーヴル,0,0,0,2
all,カジノドライヴ,0,0,0,1
all,カリフォルニアクローム,0,0,0,3
all,キセキ,0,0,0,1
all,キタサンブラック,0,0,0,1
all,クリソベリル,0,0,0,1
all,コパノリッキー,0,0,0,2
all,サトノアラジン,0,0,0,2
all,サトノダイヤモンド,0,0,0,2
all,サートゥルナーリア,0,0,0,1
all,ザファクター,0,0,0,1
all,シュヴァルグラン,0,0,0,2
all,シルバーステート,0,0,0,3
all,ジャスタウェイ,0,0,0,2
all,スズカコーズウェイ,0,0,0,1
all,セイウンコウセイ,0,0,0,1
all,タワーオブロンドン,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,ダノンキングリー,0,0,0,1
all,ダノンスマッシュ,0,0,0,1
all,ダンカーク,0,0,0,1
all,ディープスカイ,0,0,0,1
all,ディーマジェスティ,0,0,0,3
all,トビーズコーナー,0,0,0,1
all,トーセンジョーダン,0,0,0,1
all,ニューイヤーズデイ,0,0,0,2
all,ノーブルミッション,0,0,0,1
all,バゴ,0,0,0,1
all,パレスマリス,0,0,0,2
all,ファインニードル,0,0,0,2
all,フォーウィールドライブ,0,0,0,3
all,ブラックタイド,0,0,0,1
all,ヘニーヒューズ,0,0,0,3
all,ホッコータルマエ,0,0,0,3
all,マクフィ,0,0,0,2
all,マジェスティックウォリアー,0,0,0,2
all,ミスターメロディ,0,0,0,3
all,ミッキーアイル,0,0,0,4
all,ミッキーロケット,0,0,0,2
all,モーリス,0,0,0,2
all,ラニ,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,リアルスティール,0,0,0,3
all,リオンディーズ,0,0,0,2
all,ルヴァンスレーヴ,0,0,0,2
all,ルーラーシップ,0,0,0,2
all,ロゴタイプ,0,0,0,2
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,Exceedance,1,0,0,0
1勝クラス,モズアスコット,1,0,0,0
1勝クラス,フィエールマン,0,1,0,1
1勝クラス,レッドファルクス,0,1,0,0
1勝クラス,パイロ,0,0,1,1
1勝クラス,ロードカナロア,0,0,1,1
1勝クラス,アメリカンペイトリオット,0,0,0,1
1勝クラス,オルフェーヴル,0,0,0,1
1勝クラス,カレンブラックヒル,0,0,0,1
1勝クラス,キズナ,0,0,0,1
1勝クラス,ゴールドドリーム,0,0,0,1
1勝クラス,サンダースノー,0,0,0,1
1勝クラス,サートゥルナーリア,0,0,0,1
1勝クラス,シャンハイボビー,0,0,0,1
1勝クラス,シュヴァルグラン,0,0,0,1
1勝クラス,シルバーステート,0,0,0,1
1勝クラス,ジャスタウェイ,0,0,0,1
1勝クラス,ダノンレジェンド,0,0,0,1
1勝クラス,ディープスカイ,0,0,0,1
1勝クラス,ディーマジェスティ,0,0,0,2
1勝クラス,ナダル,0,0,0,0
1勝クラス,バゴ,0,0,0,1
1勝クラス,フォーウィールドライブ,0,0,0,1
1勝クラス,ホッコータルマエ,0,0,0,2
1勝クラス,マインドユアビスケッツ,0,0,0,1
1勝クラス,ルヴァンスレーヴ,0,0,0,1
1勝クラス,ヴィクトワールピサ,0,0,0,1
2勝クラス,カレンブラックヒル,1,0,0,0
2勝クラス,シャンハイボビー,1,0,0,0
2勝クラス,キズナ,0,1,0,1
2勝クラス,マインドユアビスケッツ,0,1,0,2
2勝クラス,Kantharos,0,0,1,0
2勝クラス,ドゥラメンテ,0,0,1,1
2勝クラス,Tapit,0,0,0,1
2勝クラス,Vekoma ヴェコマ,0,0,0,1
2勝クラス,カリフォルニアクローム,0,0,0,2
2勝クラス,コパノリッキー,0,0,0,1
2勝クラス,サトノアラジン,0,0,0,1
2勝クラス,シニスターミニスター,0,0,0,1
2勝クラス,ジャスタウェイ,0,0,0,1
2勝クラス,ダンカーク,0,0,0,1
2勝クラス,トビーズコーナー,0,0,0,1
2勝クラス,ドレフォン,0,0,0,2
2勝クラス,ニューイヤーズデイ,0,0,0,1
2勝クラス,ヘニーヒューズ,0,0,0,1
2勝クラス,ホッコータルマエ,0,0,0,1
2勝クラス,マクフィ,0,0,0,1
2勝クラス,ミッキーアイル,0,0,0,1
2勝クラス,モーリス,0,0,0,1
2勝クラス,ラブリーデイ,0,0,0,1
2勝クラス,リアルスティール,0,0,0,0
2勝クラス,ロードカナロア,0,0,0,2
3勝クラス,シニスターミニスター,1,1,0,0
3勝クラス,キンシャサノキセキ,0,0,1,0
3勝クラス,Gun Runner,0,0,0,1
3勝クラス,アドマイヤマーズ,0,0,0,1
3勝クラス,エピファネイア,0,0,0,1
3勝クラス,サンダースノー,0,0,0,1
3勝クラス,ザファクター,0,0,0,1
3勝クラス,トーセンジョーダン,0,0,0,1
3勝クラス,パイロ,0,0,0,1
3勝クラス,ブラックタイド,0,0,0,1
3勝クラス,ヘニーヒューズ,0,0,0,1
3勝クラス,ミッキーアイル,0,0,0,1
3勝クラス,ロードカナロア,0,0,0,3
オープン,Mendelssohn,1,0,0,0
オープン,ロードカナロア,1,0,0,1
オープン,アジアエクスプレス,0,1,0,0
オープン,イスラボニータ,0,1,0,1
オープン,Into Mischief,0,0,1,0
オープン,ハーツクライ,0,0,1,0
オープン,Maclean's Music,0,0,0,1
オープン,エスポワールシチー,0,0,0,1
オープン,エピカリス,0,0,0,1
オープン,エピファネイア,0,0,0,1
オープン,カジノドライヴ,0,0,0,1
オープン,カレンブラックヒル,0,0,0,1
オープン,キズナ,0,0,0,1
オープン,キタサンブラック,0,0,0,1
オープン,キンシャサノキセキ,0,0,0,1
オープン,コパノリッキー,0,0,0,1
オープン,サトノアラジン,0,0,0,1
オープン,ドレフォン,0,0,0,1
オープン,パイロ,0,0,0,1
オープン,パレスマリス,0,0,0,2
オープン,マインドユアビスケッツ,0,0,0,2
オープン,マジェスティックウォリアー,0,0,0,1
オープン,ラニ,0,0,0,1
オープン,リアルスティール,0,0,0,2
オープン,リオンディーズ,0,0,0,1
オープン,ルーラーシップ,0,0,0,1
オープン,ロゴタイプ,0,0,0,1
新馬,サンダースノー,1,0,0,0
新馬,ダノンレジェンド,1,0,0,0
新馬,シスキン,0,1,0,0
新馬,スワーヴリチャード,0,1,0,0
新馬,カレンブラックヒル,0,0,1,0
新馬,ゴールドシップ,0,0,1,0
新馬,Australia,0,0,0,1
新馬,Essential Quality,0,0,0,1
新馬,Liam's Map,0,0,0,1
新馬,Victor Ludorum,0,0,0,1
新馬,アメリカンペイトリオット,0,0,0,1
新馬,イスラボニータ,0,0,0,1
新馬,エポカドーロ,0,0,0,1
新馬,カリフォルニアクローム,0,0,0,1
新馬,キセキ,0,0,0,1
新馬,シュヴァルグラン,0,0,0,1
新馬,タワーオブロンドン,0,0,0,1
新馬,ダノンスマッシュ,0,0,0,1
新馬,ナダル,0,0,0,1
新馬,ノーブルミッション,0,0,0,1
新馬,ファインニードル,0,0,0,1
新馬,フォーウィールドライブ,0,0,0,1
新馬,マインドユアビスケッツ,0,0,0,1
新馬,マジェスティックウォリアー,0,0,0,1
新馬,ミスターメロディ,0,0,0,2
新馬,ミッキーロケット,0,0,0,1
新馬,モズアスコット,0,0,0,1
新馬,リアルスティール,0,0,0,1
新馬,ルーラーシップ,0,0,0,1
新馬,ロゴタイプ,0,0,0,1
未勝利,ゴールドドリーム,1,0,0,2
未勝利,フィレンツェファイア,1,0,0,1
未勝利,モズアスコット,1,0,0,0
未勝利,アルアイン,0,2,0,1
未勝利,ドレフォン,0,1,0,3
未勝利,エスポワールシチー,0,0,1,1
未勝利,ナダル,0,0,1,0
未勝利,リーチザクラウン,0,0,1,0
未勝利,Mendelssohn,0,0,0,1
未勝利,Palace Pier,0,0,0,1
未勝利,アジアエクスプレス,0,0,0,1
未勝利,イスラボニータ,0,0,0,1
未勝利,オルフェーヴル,0,0,0,1
未勝利,クリソベリル,0,0,0,1
未勝利,サトノダイヤモンド,0,0,0,2
未勝利,サンダースノー,0,0,0,2
未勝利,シルバーステート,0,0,0,2
未勝利,スズカコーズウェイ,0,0,0,1
未勝利,セイウンコウセイ,0,0,0,1
未勝利,ダイワメジャー,0,0,0,1
未勝利,ダノンキングリー,0,0,0,1
未勝利,ディーマジェスティ,0,0,0,1
未勝利,ニューイヤーズデイ,0,0,0,1
未勝利,ファインニードル,0,0,0,1
未勝利,フォーウィールドライブ,0,0,0,1
未勝利,ヘニーヒューズ,0,0,0,1
未勝利,マインドユアビスケッツ,0,0,0,1
未勝利,マクフィ,0,0,0,1
未勝利,ミスターメロディ,0,0,0,1
未勝利,ミッキーアイル,0,0,0,2
未勝利,ミッキーロケット,0,0,0,1
未勝利,モーリス,0,0,0,1
未勝利,リオンディーズ,0,0,0,1
未勝利,ルヴァンスレーヴ,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
