クラス,血統,1着,2着,3着,着外
all,ナダル,1,0,2,1
all,Gun Runner,1,0,0,0
all,カリフォルニアクローム,1,0,0,1
all,キズナ,1,0,0,1
all,シニスターミニスター,1,0,0,1
all,マインドユアビスケッツ,1,0,0,2
all,レイデオロ,1,0,0,0
all,ドレフォン,0,2,1,1
all,エスポワールシチー,0,1,0,0
all,クリソベリル,0,1,0,2
all,ダノンプレミアム,0,1,0,1
all,ヘニーヒューズ,0,1,0,0
all,リオンディーズ,0,1,0,1
all,インディチャンプ,0,0,1,0
all,シュヴァルグラン,0,0,1,0
all,ディーマジェスティ,0,0,1,0
all,ルヴァンスレーヴ,0,0,1,4
all,Justify,0,0,0,1
all,Kitten's Joy,0,0,0,1
all,Magna Grecia,0,0,0,1
all,Sottsass,0,0,0,1
all,アジアエクスプレス,0,0,0,1
all,アドマイヤマーズ,0,0,0,1
all,アメリカンペイトリオット,0,0,0,4
all,イスラボニータ,0,0,0,2
all,ウインブライト,0,0,0,1
all,オルフェーヴル,0,0,0,3
all,キセキ,0,0,0,1
all,クラウンレガーロ,0,0,0,1
all,クリエイター,0,0,0,1
all,コパノリッキー,0,0,0,2
all,ゴールドアクター,0,0,0,1
all,ゴールドシップ,0,0,0,1
all,ゴールドドリーム,0,0,0,1
all,サトノジェネシス,0,0,0,1
all,サトノダイヤモンド,0,0,0,1
all,サンダースノー,0,0,0,1
all,シャンハイボビー,0,0,0,1
all,シルバーステート,0,0,0,3
all,スクリーンヒーロー,0,0,0,1
all,ストーミーシー,0,0,0,1
all,タリスマニック,0,0,0,1
all,ダノンキングリー,0,0,0,1
all,ダノンスマッシュ,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,トゥザワールド,0,0,0,1
all,トーセンレーヴ,0,0,0,1
all,ニューイヤーズデイ,0,0,0,2
all,ブリックスアンドモルタル,0,0,0,1
all,マクフィ,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,ミスターメロディ,0,0,0,1
all,モーニン,0,0,0,1
all,リーチザクラウン,0,0,0,2
all,ルーラーシップ,0,0,0,2
all,レッドファルクス,0,0,0,3
all,ロゴタイプ,0,0,0,1
all,ロジャーバローズ,0,0,0,1
all,ロードカナロア,0,0,0,1
1勝クラス,ナダル,1,0,0,0
1勝クラス,ドレフォン,0,1,0,0
1勝クラス,ディーマジェスティ,0,0,1,0
1勝クラス,キズナ,0,0,0,1
1勝クラス,サトノダイヤモンド,0,0,0,1
1勝クラス,シルバーステート,0,0,0,2
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,タリスマニック,0,0,0,1
1勝クラス,デクラレーションオブウォー,0,0,0,1
1勝クラス,ブリックスアンドモルタル,0,0,0,1
1勝クラス,ミスターメロディ,0,0,0,1
1勝クラス,モーニン,0,0,0,1
1勝クラス,ルヴァンスレーヴ,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,1
1勝クラス,ロジャーバローズ,0,0,0,1
2勝クラス,シニスターミニスター,1,0,0,0
2勝クラス,ヘニーヒューズ,0,1,0,0
2勝クラス,ドレフォン,0,0,1,1
2勝クラス,Kitten's Joy,0,0,0,1
2勝クラス,アジアエクスプレス,0,0,0,1
2勝クラス,コパノリッキー,0,0,0,1
2勝クラス,トゥザワールド,0,0,0,1
2勝クラス,リーチザクラウン,0,0,0,1
2勝クラス,ルヴァンスレーヴ,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,レッドファルクス,0,0,0,1
