クラス,血統,1着,2着,3着,着外
all,ルヴァンスレーヴ,1,1,1,3
all,ジャスタウェイ,1,0,0,1
all,ミッキーグローリー,1,0,0,0
all,オルフェーヴル,0,1,0,0
all,ハーツクライ,0,1,0,2
all,ドレフォン,0,0,1,2
all,ブリックスアンドモルタル,0,0,1,1
all,Liam's Map,0,0,0,2
all,Tapit,0,0,0,1
all,カリフォルニアクローム,0,0,0,1
all,キズナ,0,0,0,1
all,サンダースノー,0,0,0,2
all,シニスターミニスター,0,0,0,2
all,タリスマニック,0,0,0,2
all,ダノンレジェンド,0,0,0,1
all,ナダル,0,0,0,1
all,ニューイヤーズデイ,0,0,0,1
all,ホッコータルマエ,0,0,0,3
all,マインドユアビスケッツ,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,ラニ,0,0,0,2
all,ルーラーシップ,0,0,0,1
1勝クラス,ルヴァンスレーヴ,1,0,0,2
1勝クラス,オルフェーヴル,0,1,0,0
1勝クラス,ドレフォン,0,0,1,0
1勝クラス,キズナ,0,0,0,1
1勝クラス,サンダースノー,0,0,0,1
1勝クラス,ダノンレジェンド,0,0,0,1
1勝クラス,ナダル,0,0,0,1
1勝クラス,ブリックスアンドモルタル,0,0,0,1
1勝クラス,マインドユアビスケッツ,0,0,0,1
1勝クラス,ラニ,0,0,0,2
2勝クラス,ジャスタウェイ,1,0,0,1
2勝クラス,ミッキーグローリー,1,0,0,0
2勝クラス,ルヴァンスレーヴ,0,1,1,1
2勝クラス,ハーツクライ,0,1,0,2
2勝クラス,ブリックスアンドモルタル,0,0,1,0
2勝クラス,Liam's Map,0,0,0,2
2勝クラス,Tapit,0,0,0,1
2勝クラス,カリフォルニアクローム,0,0,0,1
2勝クラス,サンダースノー,0,0,0,1
2勝クラス,シニスターミニスター,0,0,0,2
2勝クラス,タリスマニック,0,0,0,2
2勝クラス,ドレフォン,0,0,0,2
2勝クラス,ニューイヤーズデイ,0,0,0,1
2勝クラス,ホッコータルマエ,0,0,0,3
2勝クラス,マジェスティックウォリアー,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,1
