クラス,血統,1着,2着,3着,着外
all,ハーツクライ,1,0,0,1
all,ダンカーク Dunkirk(米),0,1,0,0
all,ダイワメジャー,0,0,1,0
all,アルデバランII Aldebaran(米),0,0,0,1
all,オルフェーヴル,0,0,0,1
all,クレスコグランド,0,0,0,1
all,クロフネ,0,0,0,1
all,ディープインパクト,0,0,0,1
all,ノヴェリスト Novellist(愛),0,0,0,1
all,ハービンジャー Harbinger(英),0,0,0,1
all,ロードカナロア,0,0,0,1
未勝利,ハーツクライ,1,0,0,1
未勝利,ダンカーク Dunkirk(米),0,1,0,0
未勝利,ダイワメジャー,0,0,1,0
未勝利,アルデバランII Aldebaran(米),0,0,0,1
未勝利,オルフェーヴル,0,0,0,1
未勝利,クレスコグランド,0,0,0,1
未勝利,クロフネ,0,0,0,1
未勝利,ディープインパクト,0,0,0,1
未勝利,ノヴェリスト Novellist(愛),0,0,0,1
未勝利,ハービンジャー Harbinger(英),0,0,0,1
未勝利,ロードカナロア,0,0,0,1
