クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ Henny Hughes(米),2,2,1,6
all,キンシャサノキセキ,1,1,0,5
all,ダイワメジャー,1,1,0,6
all,Constitution (米),1,0,0,0
all,Uncle Mo (米),1,0,0,0
all,Violence,1,0,0,0
all,アイルハヴアナザー I'll Have Another(米),1,0,0,1
all,アグネスデジタル,1,0,0,0
all,オルフェーヴル,1,0,0,1
all,ハーツクライ,1,0,0,2
all,ミッキーアイル,1,0,0,0
all,メイショウボーラー,1,0,0,4
all,リオンディーズ,1,0,0,1
all,ルーラーシップ,1,0,0,4
all,ゴールドアリュール,0,2,2,6
all,キングカメハメハ,0,1,1,2
all,ハードスパン Hard Spun(米),0,1,1,0
all,Jimmy Creed (米),0,1,0,0
all,Speightstown (米),0,1,0,0
all,クロフネ,0,1,0,3
all,シニスターミニスター Sinister Minister(米),0,1,0,5
all,トゥザグローリー,0,1,0,1
all,マジェスティックウォリアー Majestic Warrior(米),0,1,0,1
all,ヴァーミリアン,0,1,0,2
all,グランプリボス,0,0,2,0
all,Carpe Diem,0,0,1,2
all,Malibu Moon,0,0,1,0
all,サウスヴィグラス,0,0,1,1
all,ストリートセンス Street Sense(米),0,0,1,1
all,ディスクリートキャット Discreet Cat(米),0,0,1,2
all,ディープインパクト,0,0,1,2
all,パイロ Pyro(米),0,0,1,4
all,ロードカナロア,0,0,1,2
all,Curlin (米),0,0,0,1
all,Dark Angel,0,0,0,1
all,Flatter,0,0,0,2
all,Into Mischief,0,0,0,1
all,Night of Thunder,0,0,0,1
all,Oasis Dream (英),0,0,0,1
all,Uncaptured,0,0,0,1
all,Zoffany,0,0,0,1
all,アサクサキングス,0,0,0,1
all,アジアエクスプレス,0,0,0,1
all,アドマイヤマックス,0,0,0,1
all,エイシンフラッシュ,0,0,0,3
all,エピファネイア,0,0,0,1
all,エンパイアメーカー Empire Maker(米),0,0,0,3
all,オレハマッテルゼ,0,0,0,1
all,カジノドライヴ,0,0,0,2
all,カレンブラックヒル,0,0,0,2
all,キズナ,0,0,0,2
all,キャプテントゥーレ,0,0,0,1
all,キングズベスト King's Best(米),0,0,0,2
all,ケープブランコ Cape Blanco(英),0,0,0,1
all,ゴールドヘイロー,0,0,0,1
all,サマーバード Summer Bird(米),0,0,0,1
all,シビルウォー,0,0,0,1
all,ジャスタウェイ,0,0,0,2
all,ジョーカプチーノ,0,0,0,1
all,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,3
all,スクリーンヒーロー,0,0,0,1
all,スズカコーズウェイ,0,0,0,1
all,スズカフェニックス,0,0,0,1
all,スパイキュール,0,0,0,1
all,スマートファルコン,0,0,0,7
all,ソングオブウインド,0,0,0,1
all,タイムパラドックス,0,0,0,1
all,タートルボウル Turtle Bowl(愛),0,0,0,2
all,ダノンシャンティ,0,0,0,2
all,ダノンレジェンド,0,0,0,2
all,ダンカーク Dunkirk(米),0,0,0,1
all,ディープスカイ,0,0,0,1
all,ディープブリランテ,0,0,0,1
all,トビーズコーナー Toby's Corner(米),0,0,0,2
all,トランセンド,0,0,0,2
all,トーセンホマレボシ,0,0,0,1
all,ネオユニヴァース,0,0,0,4
all,ノヴェリスト Novellist(愛),0,0,0,2
all,バトルプラン Battle Plan(米),0,0,0,1
all,ファルブラヴ Falbrav(愛),0,0,0,1
all,フェノーメノ,0,0,0,1
all,フリオーソ,0,0,0,3
all,フレンチデピュティ French Deputy(米),0,0,0,1
all,ブラックタイド,0,0,0,4
all,プリサイスエンド Precise End(米),0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,メイショウサムソン,0,0,0,3
all,モーリス,0,0,0,1
all,ヨハネスブルグ Johannesburg(米),0,0,0,2
all,ローエングリン,0,0,0,1
all,ローズキングダム,0,0,0,1
all,ワイルドワンダー,0,0,0,1
all,ヴィクトワールピサ,0,0,0,4
1勝クラス,ヘニーヒューズ Henny Hughes(米),2,1,1,3
1勝クラス,Constitution (米),1,0,0,0
1勝クラス,Uncle Mo (米),1,0,0,0
1勝クラス,ダイワメジャー,1,0,0,0
1勝クラス,ハーツクライ,1,0,0,1
1勝クラス,ミッキーアイル,1,0,0,0
1勝クラス,Jimmy Creed (米),0,1,0,0
1勝クラス,ゴールドアリュール,0,1,0,2
1勝クラス,トゥザグローリー,0,1,0,1
1勝クラス,ハードスパン Hard Spun(米),0,1,0,0
1勝クラス,マジェスティックウォリアー Majestic Warrior(米),0,1,0,1
1勝クラス,ヴァーミリアン,0,1,0,0
1勝クラス,グランプリボス,0,0,2,0
1勝クラス,サウスヴィグラス,0,0,1,1
1勝クラス,ディープインパクト,0,0,1,1
1勝クラス,パイロ Pyro(米),0,0,1,2
1勝クラス,ロードカナロア,0,0,1,0
1勝クラス,Carpe Diem,0,0,0,1
1勝クラス,Dark Angel,0,0,0,1
1勝クラス,Flatter,0,0,0,1
1勝クラス,Oasis Dream (英),0,0,0,1
1勝クラス,Uncaptured,0,0,0,1
1勝クラス,アイルハヴアナザー I'll Have Another(米),0,0,0,1
1勝クラス,アサクサキングス,0,0,0,1
1勝クラス,アジアエクスプレス,0,0,0,1
1勝クラス,エイシンフラッシュ,0,0,0,1
1勝クラス,エンパイアメーカー Empire Maker(米),0,0,0,3
1勝クラス,カレンブラックヒル,0,0,0,2
1勝クラス,キズナ,0,0,0,2
1勝クラス,キングカメハメハ,0,0,0,2
1勝クラス,キンシャサノキセキ,0,0,0,2
1勝クラス,クロフネ,0,0,0,1
1勝クラス,ゴールドヘイロー,0,0,0,1
1勝クラス,サマーバード Summer Bird(米),0,0,0,1
1勝クラス,シニスターミニスター Sinister Minister(米),0,0,0,3
1勝クラス,ジャスタウェイ,0,0,0,1
1勝クラス,ジョーカプチーノ,0,0,0,1
1勝クラス,スウェプトオーヴァーボード Swept Overboard(米),0,0,0,3
1勝クラス,スクリーンヒーロー,0,0,0,1
1勝クラス,スズカフェニックス,0,0,0,1
1勝クラス,スマートファルコン,0,0,0,2
1勝クラス,ダノンシャンティ,0,0,0,1
1勝クラス,ダノンレジェンド,0,0,0,1
1勝クラス,ダンカーク Dunkirk(米),0,0,0,1
1勝クラス,ディスクリートキャット Discreet Cat(米),0,0,0,1
1勝クラス,ディープスカイ,0,0,0,1
1勝クラス,ディープブリランテ,0,0,0,1
1勝クラス,トランセンド,0,0,0,2
1勝クラス,ネオユニヴァース,0,0,0,1
1勝クラス,ノヴェリスト Novellist(愛),0,0,0,1
1勝クラス,フリオーソ,0,0,0,1
1勝クラス,ブラックタイド,0,0,0,2
