クラス,血統,1着,2着,3着,着外
all,アイルハヴアナザー I'll Have Another(米),1,0,0,0
all,ロードカナロア,1,0,0,0
all,ハービンジャー Harbinger(英),0,1,1,0
all,ノヴェリスト Novellist(愛),0,1,0,1
all,ハーツクライ,0,0,1,2
all,エイシンフラッシュ,0,0,0,2
all,スズカフェニックス,0,0,0,1
all,スズカマンボ,0,0,0,1
all,タートルボウル Turtle Bowl(愛),0,0,0,1
all,ダンカーク Dunkirk(米),0,0,0,1
all,ディープインパクト,0,0,0,2
all,ディープブリランテ,0,0,0,1
all,トゥザグローリー,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ロジユニヴァース,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,アイルハヴアナザー I'll Have Another(米),1,0,0,0
1勝クラス,ハービンジャー Harbinger(英),0,1,0,0
1勝クラス,ハーツクライ,0,0,1,1
1勝クラス,エイシンフラッシュ,0,0,0,2
1勝クラス,タートルボウル Turtle Bowl(愛),0,0,0,1
1勝クラス,ダンカーク Dunkirk(米),0,0,0,1
1勝クラス,トゥザグローリー,0,0,0,1
1勝クラス,ヴィクトワールピサ,0,0,0,1
2勝クラス,ロードカナロア,1,0,0,0
2勝クラス,ノヴェリスト Novellist(愛),0,1,0,1
2勝クラス,ハービンジャー Harbinger(英),0,0,1,0
2勝クラス,スズカフェニックス,0,0,0,1
2勝クラス,スズカマンボ,0,0,0,1
2勝クラス,ディープインパクト,0,0,0,2
2勝クラス,ディープブリランテ,0,0,0,1
2勝クラス,ドリームジャーニー,0,0,0,1
2勝クラス,ハーツクライ,0,0,0,1
2勝クラス,ロジユニヴァース,0,0,0,1
