クラス,血統,1着,2着,3着,着外
all,ロードカナロア,17,16,6,118
all,キズナ,15,8,8,66
all,モーリス,11,5,6,60
all,ディープインパクト,8,7,13,77
all,オルフェーヴル,8,3,4,29
all,ダイワメジャー,6,11,13,97
all,ハーツクライ,5,7,4,47
all,ドゥラメンテ,5,2,1,33
all,ルーラーシップ,4,7,5,47
all,Frankel,4,5,2,11
all,エピファネイア,4,4,8,63
all,キンシャサノキセキ,4,0,6,39
all,リオンディーズ,3,4,6,41
all,ハービンジャー Harbinger(英),3,3,4,55
all,リアルインパクト,3,3,1,9
all,エイシンフラッシュ,3,2,2,28
all,キタサンブラック,3,2,1,19
all,ノヴェリスト Novellist(愛),3,1,6,18
all,ヴィクトワールピサ,2,7,1,36
all,シルバーステート,2,5,2,29
all,ミッキーアイル,2,5,1,24
all,ジャスタウェイ,2,4,0,31
all,イスラボニータ,2,3,4,34
all,ワールドエース,2,3,3,21
all,スクリーンヒーロー,2,2,4,24
all,エイシンヒカリ,2,2,1,17
all,ドレフォン Drefong(米),2,2,1,23
all,アドマイヤマーズ,2,2,0,5
all,アメリカンペイトリオット,2,1,0,16
all,デクラレーションオブウォー,2,1,0,11
all,Invincible Spirit (愛),2,0,1,2
all,ディスクリートキャット Discreet Cat(米),2,0,1,9
all,Shamardal,2,0,0,3
all,ザファクター,2,0,0,7
all,ブリックスアンドモルタル Bricks and Mortar(米),2,0,0,9
all,ディープブリランテ,1,2,1,23
all,タートルボウル Turtle Bowl(愛),1,2,0,4
all,ヘニーヒューズ Henny Hughes(米),1,2,0,10
all,メイショウボーラー,1,2,0,20
all,アドマイヤムーン,1,1,2,28
all,Dark Angel,1,1,1,9
all,ニシケンモノノフ,1,1,1,0
all,レッドスパーダ,1,1,1,10
all,シャンハイボビー Shanghai Bobby(米),1,1,0,10
all,スズカフェニックス,1,1,0,5
all,スニッツェル Snitzel(豪),1,1,0,0
all,マンハッタンカフェ,1,1,0,4
all,カレンブラックヒル,1,0,2,8
all,タリスマニック Talismanic(英),1,0,2,3
all,Night of Thunder,1,0,1,0
all,アルアイン,1,0,1,4
all,サトノアラジン,1,0,1,19
all,サトノダイヤモンド,1,0,1,8
all,ミスターメロディ,1,0,1,0
all,Dubawi,1,0,0,3
all,Kingman (英),1,0,0,2
all,Optimizer,1,0,0,0
all,Raven's Pass,1,0,0,8
all,アイルハヴアナザー I'll Have Another(米),1,0,0,10
all,アサクサキングス,1,0,0,4
all,エンパイアメーカー Empire Maker(米),1,0,0,6
all,グランプリボス,1,0,0,4
all,サンダースノー Thunder Snow(愛),1,0,0,2
all,サートゥルナーリア,1,0,0,4
all,ショウナンバッハ,1,0,0,0
all,タイキシャトル,1,0,0,1
all,トランセンド,1,0,0,5
all,トーセンホマレボシ,1,0,0,2
all,ナダル Nadal(米),1,0,0,0
all,ミッキーロケット,1,0,0,5
all,レッドベルジュール,1,0,0,0
all,ロゴタイプ,1,0,0,4
all,ロージズインメイ Roses in May(米),1,0,0,4
all,マクフィ,0,3,2,20
all,サトノクラウン,0,2,1,15
all,ニューイヤーズデイ,0,2,0,5
all,ビッグアーサー,0,1,4,26
all,リアルスティール,0,1,4,12
all,Speightstown (米),0,1,2,4
all,ゴールドシップ,0,1,2,5
all,ジョーカプチーノ,0,1,2,16
all,タニノギムレット,0,1,2,6
all,ブラックタイド,0,1,2,34
all,ドリームジャーニー,0,1,1,8
all,ファインニードル,0,1,1,8
all,マインドユアビスケッツ Mind Your Biscuits(米),0,1,1,9
all,ラブリーデイ,0,1,1,11
all,ロジャーバローズ,0,1,1,0
all,Carpe Diem,0,1,0,2
all,First Samurai,0,1,0,1
all,Frosted (米),0,1,0,0
all,War Front,0,1,0,0
all,アジアエクスプレス,0,1,0,5
all,キングカメハメハ,0,1,0,15
all,キングズベスト King's Best(米),0,1,0,7
all,ケープブランコ Cape Blanco(英),0,1,0,0
all,コパノリッキー,0,1,0,3
all,ゴールドヘイロー,0,1,0,4
all,スタチューオブリバティ Statue of Liberty(米),0,1,0,2
all,ストロングリターン,0,1,0,11
all,タワーオブロンドン,0,1,0,2
all,ディーマジェスティ,0,1,0,2
all,トーセンラー,0,1,0,14
all,パイロ Pyro(米),0,1,0,8
all,モンテロッソ Monterosso(英),0,1,0,4
all,ヤングマンパワー,0,1,0,0
all,レイデオロ,0,1,0,4
all,トゥザグローリー,0,0,2,4
