クラス,血統,1着,2着,3着,着外
all,キズナ,9,8,3,46
all,ロードカナロア,8,13,6,87
all,モーリス,8,5,6,50
all,ディープインパクト,7,5,8,62
all,オルフェーヴル,6,3,2,25
all,ハーツクライ,5,4,1,32
all,ルーラーシップ,4,5,3,41
all,キンシャサノキセキ,4,0,5,30
all,ダイワメジャー,3,10,10,66
all,エピファネイア,3,3,7,51
all,リオンディーズ,3,3,5,33
all,ハービンジャー Harbinger(英),3,1,4,42
all,ドゥラメンテ,3,1,1,27
all,Frankel,2,5,2,7
all,ミッキーアイル,2,5,1,20
all,ヴィクトワールピサ,2,5,0,28
all,シルバーステート,2,3,2,21
all,スクリーンヒーロー,2,2,4,21
all,ドレフォン Drefong(米),2,2,1,18
all,アドマイヤマーズ,2,2,0,4
all,ノヴェリスト Novellist(愛),2,1,3,14
all,エイシンヒカリ,2,1,1,12
all,アメリカンペイトリオット,2,1,0,11
all,キタサンブラック,2,1,0,18
all,ディスクリートキャット Discreet Cat(米),2,0,1,6
all,Invincible Spirit (愛),2,0,0,1
all,Shamardal,2,0,0,2
all,ブリックスアンドモルタル Bricks and Mortar(米),2,0,0,8
all,ジャスタウェイ,1,4,0,19
all,イスラボニータ,1,3,3,29
all,Dark Angel,1,1,1,9
all,シャンハイボビー Shanghai Bobby(米),1,1,0,7
all,スニッツェル Snitzel(豪),1,1,0,0
all,タートルボウル Turtle Bowl(愛),1,1,0,2
all,デクラレーションオブウォー,1,1,0,6
all,ニシケンモノノフ,1,1,0,0
all,ヘニーヒューズ Henny Hughes(米),1,1,0,8
all,マンハッタンカフェ,1,1,0,2
all,アドマイヤムーン,1,0,2,21
all,Night of Thunder,1,0,1,0
all,アルアイン,1,0,1,3
all,カレンブラックヒル,1,0,1,7
all,タリスマニック Talismanic(英),1,0,1,2
all,ミスターメロディ,1,0,1,0
all,リアルインパクト,1,0,1,5
all,レッドスパーダ,1,0,1,5
all,Dubawi,1,0,0,2
all,Optimizer,1,0,0,0
all,Raven's Pass,1,0,0,6
all,アイルハヴアナザー I'll Have Another(米),1,0,0,8
all,アサクサキングス,1,0,0,3
all,エンパイアメーカー Empire Maker(米),1,0,0,3
all,グランプリボス,1,0,0,3
all,サトノアラジン,1,0,0,13
all,サンダースノー Thunder Snow(愛),1,0,0,1
all,サートゥルナーリア,1,0,0,3
all,ザファクター,1,0,0,7
all,ショウナンバッハ,1,0,0,0
all,スズカフェニックス,1,0,0,3
all,トランセンド,1,0,0,4
all,トーセンホマレボシ,1,0,0,1
all,ミッキーロケット,1,0,0,1
all,メイショウボーラー,1,0,0,17
all,レッドベルジュール,1,0,0,0
all,ロゴタイプ,1,0,0,4
all,ロージズインメイ Roses in May(米),1,0,0,2
all,マクフィ,0,3,1,18
all,ワールドエース,0,2,2,15
all,ニューイヤーズデイ,0,2,0,4
all,ビッグアーサー,0,1,4,20
all,リアルスティール,0,1,3,9
all,ジョーカプチーノ,0,1,2,9
all,タニノギムレット,0,1,2,5
all,エイシンフラッシュ,0,1,1,24
all,ディープブリランテ,0,1,1,17
all,マインドユアビスケッツ Mind Your Biscuits(米),0,1,1,9
all,ロジャーバローズ,0,1,1,0
all,Carpe Diem,0,1,0,1
all,First Samurai,0,1,0,1
all,Frosted (米),0,1,0,0
all,War Front,0,1,0,0
all,アジアエクスプレス,0,1,0,5
all,キングカメハメハ,0,1,0,13
all,ケープブランコ Cape Blanco(英),0,1,0,0
all,コパノリッキー,0,1,0,2
all,サトノクラウン,0,1,0,11
all,ストロングリターン,0,1,0,7
all,タワーオブロンドン,0,1,0,1
all,ディーマジェスティ,0,1,0,1
all,トーセンラー,0,1,0,13
all,モンテロッソ Monterosso(英),0,1,0,4
all,ヤングマンパワー,0,1,0,0
all,Speightstown (米),0,0,2,3
all,トゥザグローリー,0,0,2,3
all,トーホウジャッカル,0,0,2,7
