クラス,血統,1着,2着,3着,着外
all,ドレフォン Drefong(米),3,1,0,5
all,アジアエクスプレス,2,0,0,4
all,ホッコータルマエ,2,0,0,3
all,ジョーカプチーノ,1,1,0,0
all,Practical Joke (米),1,0,1,0
all,モズアスコット,1,0,1,6
all,American Pharoah (米),1,0,0,1
all,Bernardini (米),1,0,0,0
all,Frosted (米),1,0,0,0
all,Liam's Map,1,0,0,0
all,Too Darn Hot (英),1,0,0,0
all,グァンチャーレ,1,0,0,0
all,コパノリッキー,1,0,0,6
all,シルバーステート,1,0,0,2
all,フィレンツェファイア,1,0,0,1
all,ベストウォーリア,1,0,0,1
all,マジェスティックウォリアー Majestic Warrior(米),1,0,0,2
all,シニスターミニスター Sinister Minister(米),0,3,0,7
all,サトノアラジン,0,2,0,7
all,ロードカナロア,0,1,2,3
all,カリフォルニアクローム California Chrome(米),0,1,1,1
all,ストロングリターン,0,1,1,1
all,ディスクリートキャット Discreet Cat(米),0,1,1,9
all,Dubawi,0,1,0,0
all,Mitole,0,1,0,1
all,トランセンド,0,1,0,1
all,ドレフォン  Drefong(米),0,1,0,0
all,パレスマリス,0,1,0,0
all,マテラスカイ,0,1,0,1
all,ミッキーアイル,0,1,0,4
all,モーニン,0,1,0,1
all,リオンディーズ,0,1,0,5
all,ロジャーバローズ,0,1,0,3
all,エイシンヒカリ,0,0,1,0
all,キンシャサノキセキ,0,0,1,7
all,スワーヴリチャード,0,0,1,2
all,タリスマニック Talismanic(英),0,0,1,2
all,ダイワメジャー,0,0,1,2
all,ダノンレジェンド,0,0,1,5
all,デクラレーションオブウォー,0,0,1,2
all,ナダル Nadal(米),0,0,1,1
all,パイロ Pyro(米),0,0,1,4
all,ファインニードル,0,0,1,0
all,ヘニーヒューズ Henny Hughes(米),0,0,1,10
all,マクフィ,0,0,1,3
all,ミスターメロディ,0,0,1,0
all,ルヴァンスレーヴ,0,0,1,3
all,Collected,0,0,0,1
all,Dutch Art (英),0,0,0,1
all,Gun Runner (米),0,0,0,1
all,Into Mischief,0,0,0,1
all,Justify (米),0,0,0,1
all,No Nay Never,0,0,0,1
all,Shackleford,0,0,0,1
all,Shalaa,0,0,0,1
all,Speightstown (米),0,0,0,2
all,Study of Man (愛),0,0,0,1
all,Twirling Candy,0,0,0,1
all,Zoustar,0,0,0,1
all,アドマイヤマーズ,0,0,0,3
all,アルアイン,0,0,0,2
all,イスラボニータ,0,0,0,2
all,インディチャンプ,0,0,0,1
all,エスポワールシチー,0,0,0,7
all,エピファネイア,0,0,0,4
all,オルフェーヴル,0,0,0,4
all,カレンブラックヒル,0,0,0,1
all,キズナ,0,0,0,2
