クラス,血統,1着,2着,3着,着外
all,カリフォルニアクローム,1,0,0,0
all,Saxon Warrior,0,1,0,0
all,ラブリーデイ,0,0,1,1
all,エイシンヒカリ,0,0,0,1
all,キングカメハメハ,0,0,0,1
all,サトノダイヤモンド,0,0,0,1
all,ディスクリートキャット,0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,ブリックスアンドモルタル,0,0,0,1
all,マジェスティックウォリアー,0,0,0,1
all,ロードカナロア,0,0,0,1
2勝クラス,カリフォルニアクローム,1,0,0,0
2勝クラス,Saxon Warrior,0,1,0,0
2勝クラス,ラブリーデイ,0,0,1,1
2勝クラス,エイシンヒカリ,0,0,0,1
2勝クラス,キングカメハメハ,0,0,0,1
2勝クラス,サトノダイヤモンド,0,0,0,1
2勝クラス,ディスクリートキャット,0,0,0,1
2勝クラス,ドゥラメンテ,0,0,0,1
2勝クラス,ブリックスアンドモルタル,0,0,0,1
2勝クラス,マジェスティックウォリアー,0,0,0,1
2勝クラス,ロードカナロア,0,0,0,1
