クラス,血統,1着,2着,3着,着外
all,サウスヴィグラス,16,7,8,100
all,ロードカナロア,13,16,7,88
all,シニスターミニスター Sinister Minister(米),11,7,4,75
all,ヘニーヒューズ Henny Hughes(米),10,19,12,124
all,パイロ Pyro(米),7,6,11,55
all,アジアエクスプレス,7,6,5,43
all,ダノンレジェンド,7,3,0,17
all,ドレフォン Drefong(米),6,8,7,49
all,キンシャサノキセキ,5,8,14,89
all,ダイワメジャー,5,5,2,44
all,マジェスティックウォリアー Majestic Warrior(米),5,3,2,24
all,メイショウボーラー,4,5,6,59
all,エスポワールシチー,4,3,3,25
all,クロフネ,4,3,2,41
all,ネオユニヴァース,4,2,4,22
all,モーリス,4,2,3,26
all,オルフェーヴル,4,2,1,29
all,デクラレーションオブウォー,4,2,1,21
all,トランセンド,4,2,1,14
all,American Pharoah (米),4,1,0,7
all,ディスクリートキャット Discreet Cat(米),3,3,3,19
all,エイシンフラッシュ,3,2,2,24
all,カレンブラックヒル,3,2,2,27
all,Into Mischief,3,1,0,4
all,パレスマリス,3,0,0,0
all,ゴールドアリュール,2,9,5,68
all,マクフィ,2,4,3,23
all,ニューイヤーズデイ,2,4,0,13
all,タイキシャトル,2,3,1,11
all,スマートファルコン,2,2,3,25
all,コパノリッキー,2,2,2,39
all,Speightstown (米),2,2,1,9
all,スズカコーズウェイ,2,2,1,12
all,ベストウォーリア,2,2,1,15
all,マインドユアビスケッツ Mind Your Biscuits(米),2,2,1,18
all,フェノーメノ,2,2,0,10
all,キングヘイロー,2,1,3,8
all,エピファネイア,2,1,2,14
all,ノヴェリスト Novellist(愛),2,1,2,16
all,グレーターロンドン,2,1,1,2
all,キングカメハメハ,2,1,0,18
all,グランプリボス,2,0,3,26
all,Cairo Prince,2,0,0,1
all,Harlan's Holiday,2,0,0,0
all,スウェプトオーヴァーボード Swept Overboard(米),2,0,0,12
all,ナダル Nadal(米),2,0,0,4
all,パドトロワ,2,0,0,12
all,スクリーンヒーロー,1,5,3,21
all,ストロングリターン,1,3,3,19
all,ビッグアーサー,1,2,8,15
all,リオンディーズ,1,2,3,26
all,イスラボニータ,1,2,1,16
all,プリサイスエンド Precise End(米),1,2,1,17
all,ヨハネスブルグ Johannesburg(米),1,2,1,28
all,ヴァーミリアン,1,2,1,10
all,ドゥラメンテ,1,2,0,14
all,フォーウィールドライブ Four Wheel Drive(米),1,2,0,2
all,キズナ,1,1,4,14
all,カリフォルニアクローム California Chrome(米),1,1,2,12
all,ディープブリランテ,1,1,2,20
all,ホッコータルマエ,1,1,2,27
all,ルーラーシップ,1,1,2,14
all,バトルプラン Battle Plan(米),1,1,1,6
all,レインボーライン,1,1,1,2
all,Jimmy Creed (米),1,1,0,1
all,Kitten's Joy (米),1,1,0,0
all,グァンチャーレ,1,1,0,3
all,ダンカーク Dunkirk(米),1,1,0,15
all,フリオーソ,1,1,0,14
all,マツリダゴッホ,1,1,0,13
all,リアルインパクト,1,1,0,17
all,トゥザグローリー,1,0,3,17
all,シャンハイボビー Shanghai Bobby(米),1,0,2,18
all,ミッキーアイル,1,0,2,32
all,Mineshaft (米),1,0,1,2
all,オーヴァルエース,1,0,1,2
all,ジョーカプチーノ,1,0,1,6
all,バゴ Bago(仏),1,0,1,3
all,ファインニードル,1,0,1,15
all,ブラックタイド,1,0,1,14
all,ヴィクトワールピサ,1,0,1,13
all,Cajun Breeze,1,0,0,0
all,Gleneagles (愛),1,0,0,0
all,Race Day,1,0,0,0
all,Take Charge Indy (米),1,0,0,1
all,Tapit (米),1,0,0,3
all,Twirling Candy,1,0,0,0
all,Volatile,1,0,0,0
all,アーネストリー,1,0,0,3
all,エイシンアポロン,1,0,0,1
all,キングズベスト King's Best(米),1,0,0,18
all,コパノリチャード,1,0,0,4
all,ショウナンバッハ,1,0,0,1
all,ストーミングホーム Storming Home(英),1,0,0,2
all,ルヴァンスレーヴ,1,0,0,6
all,ロジャーバローズ,1,0,0,1
all,ロードアルティマ,1,0,0,1
all,ワークフォース Workforce(英),1,0,0,7
all,カジノドライヴ,0,2,4,22
all,ハードスパン Hard Spun(米),0,2,2,7
all,サトノアラジン,0,2,1,19
all,Gun Runner (米),0,2,0,1
all,アルデバランII Aldebaran(米),0,2,0,4
all,ハーツクライ,0,1,4,18
all,トゥザワールド,0,1,3,7
all,モズアスコット,0,1,3,8
all,アイルハヴアナザー I'll Have Another(米),0,1,2,17
all,スワーヴリチャード,0,1,2,4
all,バンブーエール,0,1,2,2
all,メイショウサムソン,0,1,2,21
all,ショウナンカンプ,0,1,1,5
all,ジャスタウェイ,0,1,1,30
all,スピルバーグ,0,1,1,6
all,ディープインパクト,0,1,1,7
all,モンテロッソ Monterosso(英),0,1,1,6
all,モーニン,0,1,1,7
all,Bernardini (米),0,1,0,3
all,Central Banker,0,1,0,4
all,Frosted (米),0,1,0,2
all,Mastercraftsman,0,1,0,0
all,Siyouni,0,1,0,1
all,Summer Front,0,1,0,0
all,アドマイヤマックス,0,1,0,1
all,エンパイアメーカー Empire Maker(米),0,1,0,18
all,グラスワンダー,0,1,0,10
all,サトノダイヤモンド,0,1,0,7
all,サンダースノー Thunder Snow(愛),0,1,0,11
all,タリスマニック Talismanic(英),0,1,0,7
all,ダノンシャンティ,0,1,0,10
all,ディーマジェスティ,0,1,0,9
all,ノボジャック,0,1,0,1
all,ブリックスアンドモルタル Bricks and Mortar(米),0,1,0,6
all,マンハッタンカフェ,0,1,0,8
all,ラニ,0,1,0,2
all,ワールドエース,0,1,0,15
all,レッドファルクス,0,0,3,9
all,Justify (米),0,0,2,3
all,アグネスデジタル,0,0,2,19
all,エイシンヒカリ,0,0,2,5
all,Bobby's Kitten,0,0,1,1
all,Fusaichi Pegasus,0,0,1,1
all,Mendelssohn,0,0,1,0
all,Pioneerof the Nile,0,0,1,1
all,Shackleford,0,0,1,4
all,Violence,0,0,1,1
all,アドマイヤマーズ,0,0,1,0
all,アニマルキングダム Animal Kingdom(米),0,0,1,7
all,ウォータービルド,0,0,1,2
all,サウンドボルケーノ,0,0,1,2
all,サンライズペガサス,0,0,1,2
all,ザファクター,0,0,1,15
all,シュヴァルグラン,0,0,1,7
all,タートルボウル Turtle Bowl(愛),0,0,1,9
all,ベルシャザール,0,0,1,5
all,ベーカバド Behkabad(仏),0,0,1,10
all,ミッキーロケット,0,0,1,3
all,リヤンドファミユ,0,0,1,1
all,リーチザクラウン,0,0,1,6
all,ローズキングダム,0,0,1,1
all,Adios Charlie,0,0,0,3
all,Archarcharch,0,0,0,4
all,Bodemeister,0,0,0,1
all,Carpe Diem,0,0,0,1
all,Congrats (米),0,0,0,2
all,Creative Cause,0,0,0,1
all,Dark Angel,0,0,0,1
all,Distorted Humor (米),0,0,0,3
all,Dutch Art (英),0,0,0,1
all,English Channel,0,0,0,1
all,Fed Biz,0,0,0,1
all,First Samurai,0,0,0,1
all,Fort Larned,0,0,0,2
all,Frankel,0,0,0,2
all,Free Drop Billy,0,0,0,1
all,Ghostzapper,0,0,0,1
all,Giant's Causeway (米),0,0,0,1
all,Golden Horn (英),0,0,0,1
all,Goldencents,0,0,0,1
all,Graydar,0,0,0,1
all,Haynesfield,0,0,0,1
all,Iffraaj,0,0,0,1
all,Invincible Army,0,0,0,2
all,Invincible Spirit (愛),0,0,0,2
all,Itsmyluckyday,0,0,0,2
all,Justin Phillip,0,0,0,1
all,Khozan,0,0,0,1
all,Klimt,0,0,0,1
all,Lookin At Lucky,0,0,0,1
all,Maclean's Music,0,0,0,3
all,Majesticperfection,0,0,0,1
all,Midnight Lute,0,0,0,2
all,Mitole,0,0,0,1
all,More Than Ready,0,0,0,1
all,New Approach,0,0,0,2
all,No Nay Never,0,0,0,1
all,Oasis Dream (英),0,0,0,1
all,Orb,0,0,0,1
all,Overdriven,0,0,0,1
all,Parading,0,0,0,2
all,Pivotal,0,0,0,4
all,Practical Joke (米),0,0,0,3
all,Roman Ruler,0,0,0,1
all,Scat Daddy (米),0,0,0,1
all,Shakin It Up,0,0,0,1
all,Shalaa,0,0,0,2
all,Showcasing,0,0,0,1
all,St Patrick's Day (米),0,0,0,1
all,Street Boss,0,0,0,2
all,Tapiture,0,0,0,1
all,Tapizar,0,0,0,2
all,Tiz Wonderful,0,0,0,2
all,To Honor and Serve (米),0,0,0,1
all,Too Darn Hot (英),0,0,0,1
all,Trappe Shot,0,0,0,1
all,U S Navy Flag,0,0,0,1
all,Uncle Mo (米),0,0,0,1
all,Unified,0,0,0,1
all,Vino Rosso (米),0,0,0,1
all,War Front,0,0,0,3
all,Wilburn,0,0,0,1
all,Zoffany,0,0,0,1
all,アサクサキングス,0,0,0,2
all,アスカクリチャン,0,0,0,3
all,アッミラーレ,0,0,0,1
all,アドマイヤオーラ,0,0,0,2
all,アドマイヤコジーン,0,0,0,1
all,アドマイヤムーン,0,0,0,14
all,アドミラブル,0,0,0,2
all,アポロキングダム,0,0,0,6
all,アポロケンタッキー,0,0,0,4
all,アメリカンペイトリオット,0,0,0,12
all,アルアイン,0,0,0,9
all,アンライバルド,0,0,0,9
all,インカンテーション,0,0,0,2
all,ウインバリアシオン,0,0,0,1
all,ウォーターリーグ,0,0,0,2
all,エスケンデレヤ,0,0,0,4
all,エピカリス,0,0,0,1
all,エーシンフォワード,0,0,0,2
all,オウケンブルースリ,0,0,0,3
all,オレハマッテルゼ,0,0,0,2
all,オーシャンブルー,0,0,0,1
all,カネヒキリ,0,0,0,11
all,キタサンブラック,0,0,0,3
all,キタサンミカヅキ,0,0,0,2
all,キャプテントゥーレ,0,0,0,8
all,クリエイターII,0,0,0,1
all,クリストワイニング,0,0,0,1
all,クレスコグランド,0,0,0,1
all,ケイムホーム Came Home(米),0,0,0,7
all,ケープブランコ Cape Blanco(英),0,0,0,4
all,ゴールドアクター,0,0,0,1
all,ゴールドシップ,0,0,0,1
all,ゴールドドリーム,0,0,0,2
all,ゴールドヘイロー,0,0,0,1
all,サクラバクシンオー,0,0,0,1
all,サクラプレジデント,0,0,0,2
all,サトノクラウン,0,0,0,5
all,サマーバード Summer Bird(米),0,0,0,1
all,サムライハート,0,0,0,3
all,サートゥルナーリア,0,0,0,3
all,シゲルカガ,0,0,0,3
all,シビルウォー,0,0,0,3
all,シャープアステカ Sharp Azteca(米),0,0,0,1
all,シルバーステート,0,0,0,17
all,シルポート,0,0,0,2
all,シンボリクリスエス,0,0,0,5
all,ジャングルポケット,0,0,0,8
all,スクワートルスクワート Squirtle Squirt(米),0,0,0,2
all,スズカフェニックス,0,0,0,2
all,スズカマンボ,0,0,0,5
all,スタチューオブリバティ Statue of Liberty(米),0,0,0,3
all,スターリングローズ,0,0,0,1
all,ステイゴールド,0,0,0,1
all,ストリートセンス Street Sense(米),0,0,0,4
all,スパイキュール,0,0,0,1
all,スーパーホーネット,0,0,0,0
all,セレスハント,0,0,0,3
all,ゼンノロブロイ,0,0,0,6
all,タイセイレジェンド,0,0,0,3
all,タイムパラドックス,0,0,0,5
all,タニノギムレット,0,0,0,6
all,ダノンバラード,0,0,0,3
all,ティンバーカントリー Timber Country(米),0,0,0,1
all,テイエムジンソク,0,0,0,1
all,ディープスカイ,0,0,0,5
all,トウケイヘイロー,0,0,0,1
all,トビーズコーナー Toby's Corner(米),0,0,0,11
all,トーセンジョーダン,0,0,0,7
all,トーセンホマレボシ,0,0,0,3
all,トーセンラー,0,0,0,1
all,トーホウジャッカル,0,0,0,1
all,ナカヤマフェスタ,0,0,0,7
all,ナムラタイタン,0,0,0,1
all,ニシケンモノノフ,0,0,0,2
all,ニホンピロアワーズ,0,0,0,6
all,ネロ,0,0,0,4
all,ノーブルミッション Noble Mission(英),0,0,0,1
all,ハクサンムーン,0,0,0,1
all,ハービンジャー Harbinger(英),0,0,0,7
all,バロズハート,0,0,0,1
all,ヒルノダムール,0,0,0,1
all,ビーチパトロール Beach Patrol(米),0,0,0,3
all,ファスリエフ Fasliyev(米),0,0,0,3
all,ファルブラヴ Falbrav(愛),0,0,0,1
all,フォーティナイナーズサン Fourty Niners Son(米),0,0,0,2
all,フサイチセブン,0,0,0,2
all,フレンチデピュティ French Deputy(米),0,0,0,3
all,ブルドッグボス,0,0,0,6
all,ホークビル Hawkbill(米),0,0,0,1
all,ポアゾンブラック,0,0,0,1
all,マクフィ Makfi(英),0,0,0,2
all,マコトスパルビエロ,0,0,0,1
all,ミスターメロディ,0,0,0,3
all,ミッキーグローリー,0,0,0,1
all,ヤマカツエース,0,0,0,1
all,ユアーズトゥルーリ,0,0,0,1
all,ラブリーデイ,0,0,0,5
all,リアルスティール,0,0,0,12
all,レイデオロ,0,0,0,5
all,レッドスパーダ,0,0,0,3
all,ロゴタイプ,0,0,0,1
all,ローエングリン,0,0,0,5
all,ロージズインメイ Roses in May(米),0,0,0,13
all,ワイルドワンダー,0,0,0,1
all,ワンアンドオンリー,0,0,0,1
all,ヴァンセンヌ,0,0,0,3
未勝利,ヘニーヒューズ Henny Hughes(米),9,10,7,29
未勝利,サウスヴィグラス,5,2,1,18
未勝利,ロードカナロア,3,6,0,24
未勝利,マジェスティックウォリアー Majestic Warrior(米),3,3,2,13
未勝利,ドレフォン Drefong(米),3,2,3,12
未勝利,クロフネ,3,2,2,4
未勝利,デクラレーションオブウォー,3,1,1,13
未勝利,ネオユニヴァース,3,0,2,8
未勝利,パイロ Pyro(米),2,3,6,18
未勝利,シニスターミニスター Sinister Minister(米),2,2,1,27
未勝利,キンシャサノキセキ,2,1,5,19
未勝利,Into Mischief,2,1,0,1
未勝利,ダノンレジェンド,2,1,0,4
未勝利,American Pharoah (米),2,0,0,1
未勝利,Speightstown (米),2,0,0,2
未勝利,スクリーンヒーロー,1,3,0,7
未勝利,ビッグアーサー,1,2,2,6
未勝利,タイキシャトル,1,2,0,4
未勝利,フェノーメノ,1,2,0,9
未勝利,ベストウォーリア,1,2,0,7
未勝利,メイショウボーラー,1,1,5,26
未勝利,ストロングリターン,1,1,3,7
未勝利,レインボーライン,1,1,1,1
未勝利,オルフェーヴル,1,1,0,17
未勝利,カレンブラックヒル,1,1,0,9
未勝利,スマートファルコン,1,1,0,18
未勝利,フォーウィールドライブ Four Wheel Drive(米),1,1,0,2
未勝利,トゥザグローリー,1,0,2,8
未勝利,ノヴェリスト Novellist(愛),1,0,2,10
未勝利,グレーターロンドン,1,0,1,1
未勝利,シャンハイボビー Shanghai Bobby(米),1,0,1,4
未勝利,ホッコータルマエ,1,0,1,10
未勝利,マインドユアビスケッツ Mind Your Biscuits(米),1,0,1,11
未勝利,Cajun Breeze,1,0,0,0
未勝利,Twirling Candy,1,0,0,0
未勝利,Volatile,1,0,0,0
未勝利,アーネストリー,1,0,0,2
未勝利,エイシンフラッシュ,1,0,0,10
未勝利,エピファネイア,1,0,0,7
未勝利,キングズベスト King's Best(米),1,0,0,13
未勝利,キングヘイロー,1,0,0,3
未勝利,グァンチャーレ,1,0,0,0
未勝利,グランプリボス,1,0,0,16
未勝利,コパノリチャード,1,0,0,3
未勝利,ショウナンバッハ,1,0,0,1
未勝利,スウェプトオーヴァーボード Swept Overboard(米),1,0,0,5
未勝利,ナダル Nadal(米),1,0,0,1
未勝利,ニューイヤーズデイ,1,0,0,4
未勝利,パレスマリス,1,0,0,0
未勝利,モーリス,1,0,0,5
未勝利,ヨハネスブルグ Johannesburg(米),1,0,0,11
未勝利,リアルインパクト,1,0,0,8
未勝利,ルヴァンスレーヴ,1,0,0,4
未勝利,ロジャーバローズ,1,0,0,1
未勝利,ヴィクトワールピサ,1,0,0,4
未勝利,ゴールドアリュール,0,4,0,9
未勝利,アジアエクスプレス,0,2,0,14
未勝利,アルデバランII Aldebaran(米),0,2,0,2
未勝利,イスラボニータ,0,2,0,7
未勝利,コパノリッキー,0,2,0,14
未勝利,サトノアラジン,0,2,0,9
未勝利,モズアスコット,0,1,3,6
未勝利,スワーヴリチャード,0,1,2,4
