クラス,血統,1着,2着,3着,着外
all,ヘニーヒューズ Henny Hughes(米),3,6,1,22
all,サウスヴィグラス,3,2,1,15
all,ロードカナロア,2,3,1,9
all,マジェスティックウォリアー Majestic Warrior(米),2,0,1,4
all,マインドユアビスケッツ Mind Your Biscuits(米),2,0,0,2
all,ダノンレジェンド,1,1,0,4
all,トランセンド,1,1,0,2
all,マツリダゴッホ,1,1,0,3
all,メイショウボーラー,1,1,0,6
all,パイロ Pyro(米),1,0,3,9
all,シニスターミニスター Sinister Minister(米),1,0,1,13
all,トゥザグローリー,1,0,1,1
all,マクフィ,1,0,1,3
all,Kitten's Joy (米),1,0,0,0
all,Race Day,1,0,0,0
all,Speightstown (米),1,0,0,3
all,スウェプトオーヴァーボード Swept Overboard(米),1,0,0,3
all,スズカコーズウェイ,1,0,0,1
all,バトルプラン Battle Plan(米),1,0,0,1
all,パドトロワ,1,0,0,1
all,モーリス,1,0,0,2
all,ヨハネスブルグ Johannesburg(米),1,0,0,6
all,アジアエクスプレス,0,2,2,2
all,カジノドライヴ,0,1,1,1
all,クロフネ,0,1,1,5
all,ゴールドアリュール,0,1,1,18
all,Into Mischief,0,1,0,2
all,エンパイアメーカー Empire Maker(米),0,1,0,2
all,キンシャサノキセキ,0,1,0,11
all,サトノダイヤモンド,0,1,0,0
all,スマートファルコン,0,1,0,2
all,ディスクリートキャット Discreet Cat(米),0,1,0,4
all,フェノーメノ,0,1,0,3
all,マクフィ Makfi(英),0,1,0,0
all,ヴァーミリアン,0,1,0,0
all,グレーターロンドン,0,0,2,0
all,Fusaichi Pegasus,0,0,1,0
all,Shackleford,0,0,1,1
all,アイルハヴアナザー I'll Have Another(米),0,0,1,2
all,アグネスデジタル,0,0,1,4
all,キズナ,0,0,1,1
all,サンライズペガサス,0,0,1,1
all,タイキシャトル,0,0,1,0
all,ネオユニヴァース,0,0,1,3
all,ハーツクライ,0,0,1,5
all,ファインニードル,0,0,1,2
all,ベストウォーリア,0,0,1,1
all,レッドファルクス,0,0,1,2
all,American Pharoah (米),0,0,0,1
all,Cairo Prince,0,0,0,1
all,Creative Cause,0,0,0,1
all,First Samurai,0,0,0,1
all,Gun Runner (米),0,0,0,1
all,Iffraaj,0,0,0,1
all,Klimt,0,0,0,1
all,Liam's Map,0,0,0,1
all,Maclean's Music,0,0,0,1
all,Mastercraftsman,0,0,0,1
all,Mitole,0,0,0,1
all,Munnings,0,0,0,1
all,Pivotal,0,0,0,1
all,Siyouni,0,0,0,1
all,Tapit (米),0,0,0,1
all,War Front,0,0,0,1
all,アスカクリチャン,0,0,0,1
all,アドマイヤオーラ,0,0,0,1
all,アポロキングダム,0,0,0,1
all,アメリカンペイトリオット,0,0,0,1
all,アンライバルド,0,0,0,1
all,アーネストリー,0,0,0,1
all,イスラボニータ,0,0,0,2
all,エイシンフラッシュ,0,0,0,4
all,エスポワールシチー,0,0,0,6
all,エピファネイア,0,0,0,1
all,オルフェーヴル,0,0,0,4
all,オレハマッテルゼ,0,0,0,1
all,カネヒキリ,0,0,0,2
all,カレンブラックヒル,0,0,0,3
all,キャプテントゥーレ,0,0,0,1
all,キングカメハメハ,0,0,0,1
all,キングヘイロー,0,0,0,2
all,グラスワンダー,0,0,0,2
all,グランプリボス,0,0,0,3
all,ケイムホーム Came Home(米),0,0,0,2
all,コパノリチャード,0,0,0,1
all,コパノリッキー,0,0,0,1
all,サクラバクシンオー,0,0,0,1
all,サトノアラジン,0,0,0,1
all,ザファクター,0,0,0,1
all,シゲルカガ,0,0,0,1
all,シャンハイボビー Shanghai Bobby(米),0,0,0,2
all,シャープアステカ Sharp Azteca(米),0,0,0,1
all,ショウナンカンプ,0,0,0,1
all,ショウナンバッハ,0,0,0,1
all,シルバーステート,0,0,0,2
all,シンボリクリスエス,0,0,0,1
all,ジャスタウェイ,0,0,0,2
all,ジャングルポケット,0,0,0,1
all,ジョーカプチーノ,0,0,0,1
all,スクリーンヒーロー,0,0,0,4
all,スズカマンボ,0,0,0,1
all,ストリートセンス Street Sense(米),0,0,0,1
all,ストロングリターン,0,0,0,1
all,スパイキュール,0,0,0,1
all,スピルバーグ,0,0,0,1
all,ゼンノロブロイ,0,0,0,1
all,タイムパラドックス,0,0,0,1
all,タートルボウル Turtle Bowl(愛),0,0,0,1
all,ダイワメジャー,0,0,0,6
all,ダノンシャンティ,0,0,0,2
all,ディープインパクト,0,0,0,1
all,ディープスカイ,0,0,0,1
all,トゥザワールド,0,0,0,1
all,トビーズコーナー Toby's Corner(米),0,0,0,1
all,トーセンジョーダン,0,0,0,1
all,トーホウジャッカル,0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,ドレフォン Drefong(米),0,0,0,2
all,ナダル Nadal(米),0,0,0,1
all,ネロ,0,0,0,2
all,ノヴェリスト Novellist(愛),0,0,0,1
all,ビッグアーサー,0,0,0,1
all,フリオーソ,0,0,0,1
all,ブラックタイド,0,0,0,1
all,ベルシャザール,0,0,0,1
all,ベーカバド Behkabad(仏),0,0,0,2
all,ホッコータルマエ,0,0,0,3
all,マスタリー,0,0,0,1
all,マンハッタンカフェ,0,0,0,1
all,ミスターメロディ,0,0,0,1
all,ミッキーアイル,0,0,0,3
all,メイショウサムソン,0,0,0,2
all,モンテロッソ Monterosso(英),0,0,0,1
all,ラニ,0,0,0,1
all,リアルインパクト,0,0,0,1
all,リオンディーズ,0,0,0,1
all,リヤンドファミユ,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,レッドスパーダ,0,0,0,2
all,ロージズインメイ Roses in May(米),0,0,0,1
all,ワールドエース,0,0,0,2
all,ヴィクトワールピサ,0,0,0,1
未勝利,ヘニーヒューズ Henny Hughes(米),3,1,0,5
未勝利,マジェスティックウォリアー Majestic Warrior(米),1,0,1,4
未勝利,Speightstown (米),1,0,0,0
未勝利,スウェプトオーヴァーボード Swept Overboard(米),1,0,0,0
未勝利,トゥザグローリー,1,0,0,0
未勝利,マインドユアビスケッツ Mind Your Biscuits(米),1,0,0,2
未勝利,ヨハネスブルグ Johannesburg(米),1,0,0,2
未勝利,クロフネ,0,1,1,1
未勝利,アジアエクスプレス,0,1,0,1
未勝利,ゴールドアリュール,0,1,0,2
未勝利,スマートファルコン,0,1,0,1
