クラス,血統,1着,2着,3着,着外
all,ディープインパクト,25,19,17,80
all,キズナ,16,14,9,86
all,ロードカナロア,14,15,3,89
all,エピファネイア,12,14,9,68
all,ハーツクライ,8,7,5,67
all,キタサンブラック,8,6,7,33
all,サトノダイヤモンド,7,2,6,29
all,ドゥラメンテ,6,5,13,41
all,オルフェーヴル,6,5,8,45
all,キングカメハメハ,6,4,7,23
all,ジャスタウェイ,5,4,5,36
all,レイデオロ,5,1,7,24
all,モーリス,4,8,4,37
all,ルーラーシップ,4,4,13,74
all,サートゥルナーリア,4,4,1,15
all,スワーヴリチャード,4,3,4,14
all,ダイワメジャー,4,3,3,39
all,ヴィクトワールピサ,4,1,4,27
all,ブリックスアンドモルタル Bricks and Mortar(米),3,4,3,23
all,リオンディーズ,3,2,0,20
all,コントレイル,3,0,0,6
all,ゴールドシップ,2,6,3,26
all,ワークフォース Workforce(英),2,4,1,14
all,ディープブリランテ,2,4,0,16
all,シルバーステート,2,3,2,21
all,モンテロッソ Monterosso(英),2,1,0,5
all,ステイゴールド,2,0,2,15
all,デクラレーションオブウォー,2,0,2,16
all,Saxon Warrior (安平町),2,0,1,3
all,Oscar Performance (米),2,0,0,1
all,シンボリクリスエス,2,0,0,5
all,ネオユニヴァース,2,0,0,6
all,フェノーメノ,1,6,1,8
all,リアルスティール,1,5,5,29
all,ハービンジャー Harbinger(英),1,3,3,77
all,スクリーンヒーロー,1,2,2,19
all,ダノンシャンティ,1,2,2,7
all,グレーターロンドン,1,2,1,6
all,ノヴェリスト Novellist(愛),1,2,1,16
all,Teofilo,1,2,0,1
all,ブラックタイド,1,1,5,28
all,イスラボニータ,1,1,3,6
all,スピルバーグ,1,1,3,8
all,ミッキーロケット,1,1,2,9
all,ヘンリーバローズ,1,1,1,4
all,No Nay Never,1,1,0,0
all,タイキシャトル,1,1,0,6
all,リアルインパクト,1,1,0,10
all,ロジャーバローズ,1,0,2,1
all,Gun Runner (米),1,0,1,1
all,ゴールドアリュール,1,0,1,3
all,ジャングルポケット,1,0,1,6
all,ディープスカイ,1,0,1,2
all,ディーマジェスティ,1,0,1,7
all,ドリームジャーニー,1,0,1,8
all,アイルハヴアナザー I'll Have Another(米),1,0,0,2
all,アドマイヤムーン,1,0,0,6
all,ウインブライト,1,0,0,3
all,ウォータービルド,1,0,0,1
all,クロフネ,1,0,0,9
all,グラスワンダー,1,0,0,1
all,ゴールドアクター,1,0,0,1
all,シスキン Siskin(米),1,0,0,0
all,スペシャルウィーク,1,0,0,1
all,ハットトリック,1,0,0,1
all,パレスマリス,1,0,0,0
all,ファインニードル,1,0,0,4
