クラス,血統,1着,2着,3着,着外
all,シニスターミニスター Sinister Minister(米),1,2,0,1
all,グランプリボス,1,0,0,0
all,ジャスタウェイ,1,0,0,2
all,スズカフェニックス,1,0,0,0
all,ダノンレジェンド,1,0,0,0
all,ベルシャザール,1,0,0,0
all,ホッコータルマエ,1,0,0,1
all,エイシンヒカリ,0,1,0,0
all,エンパイアメーカー Empire Maker(米),0,1,0,0
all,オルフェーヴル,0,1,0,2
all,ディープブリランテ,0,1,0,0
all,ヘニーヒューズ Henny Hughes(米),0,1,0,3
all,ロードカナロア,0,0,2,3
all,アイルハヴアナザー I'll Have Another(米),0,0,1,3
all,エイシンフラッシュ,0,0,1,0
all,エピファネイア,0,0,1,1
all,ダノンバラード,0,0,1,0
all,トーホウジャッカル,0,0,1,0
all,American Pharoah (米),0,0,0,1
all,Union Rags,0,0,0,1
all,カジノドライヴ,0,0,0,3
all,カレンブラックヒル,0,0,0,2
all,キズナ,0,0,0,3
all,キングカメハメハ,0,0,0,1
all,クリエイターII,0,0,0,2
all,クロフネ,0,0,0,2
all,ゴールドアリュール,0,0,0,1
all,シビルウォー,0,0,0,1
all,ジャングルポケット,0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,ストロングリターン,0,0,0,2
all,ストーミングホーム Storming Home(英),0,0,0,1
all,ゼンノロブロイ,0,0,0,1
all,ダイワメジャー,0,0,0,2
all,ダノンシャンティ,0,0,0,1
all,ダンカーク Dunkirk(米),0,0,0,1
all,ディスクリートキャット Discreet Cat(米),0,0,0,1
all,トーセンロレンス,0,0,0,1
all,ネオユニヴァース,0,0,0,1
all,ハーツクライ,0,0,0,1
all,ハービンジャー Harbinger(英),0,0,0,1
all,パイロ Pyro(米),0,0,0,3
all,ブラックタイド,0,0,0,1
all,マクフィ,0,0,0,2
all,マジェスティックウォリアー Majestic Warrior(米),0,0,0,3
all,マンハッタンカフェ,0,0,0,1
all,モンテロッソ Monterosso(英),0,0,0,1
all,ヨハネスブルグ Johannesburg(米),0,0,0,1
all,ルーラーシップ,0,0,0,3
