クラス,血統,1着,2着,3着,着外
all,シャンハイボビー Shanghai Bobby(米),1,1,0,3
all,リオンディーズ,1,0,1,2
all,エスポワールシチー,1,0,0,3
all,カレンブラックヒル,1,0,0,5
all,シニスターミニスター Sinister Minister(米),1,0,0,2
all,タリスマニック Talismanic(英),1,0,0,1
all,ハーツクライ,1,0,0,0
all,ベストウォーリア,1,0,0,0
all,ヘニーヒューズ Henny Hughes(米),0,1,1,3
all,アジアエクスプレス,0,1,0,6
all,ディーマジェスティ,0,1,0,1
all,トランセンド,0,1,0,1
all,ネロ,0,1,0,1
all,バゴ Bago(仏),0,1,0,0
all,マジェスティックウォリアー Majestic Warrior(米),0,1,0,0
all,バトルプラン Battle Plan(米),0,0,2,0
all,ロードカナロア,0,0,2,4
all,スズカコーズウェイ,0,0,1,1
all,モーリス,0,0,1,1
all,New Approach,0,0,0,2
all,イスラボニータ,0,0,0,2
all,ウインバリアシオン,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,エピファネイア,0,0,0,1
all,オルフェーヴル,0,0,0,1
all,キンシャサノキセキ,0,0,0,2
all,コパノリッキー,0,0,0,1
all,サウスヴィグラス,0,0,0,1
all,サトノアラジン,0,0,0,1
all,サンダースノー Thunder Snow(愛),0,0,0,1
all,ザファクター,0,0,0,1
all,シゲルカガ,0,0,0,2
all,ショウナンカンプ,0,0,0,1
all,シルバーステート,0,0,0,1
all,スタチューオブリバティ Statue of Liberty(米),0,0,0,1
all,スピルバーグ,0,0,0,1
all,スマートファルコン,0,0,0,1
all,ダイワメジャー,0,0,0,1
all,ダノンレジェンド,0,0,0,2
all,ダンカーク Dunkirk(米),0,0,0,2
all,テイエムジンソク,0,0,0,1
all,ディスクリートキャット Discreet Cat(米),0,0,0,2
all,デクラレーションオブウォー,0,0,0,2
all,トゥザグローリー,0,0,0,1
all,トーセンジョーダン,0,0,0,1
all,トーセンラー,0,0,0,1
all,ドレフォン Drefong(米),0,0,0,3
all,ネオユニヴァース,0,0,0,1
all,ノヴェリスト Novellist(愛),0,0,0,1
all,パイロ Pyro(米),0,0,0,2
all,パドトロワ,0,0,0,1
all,ビッグアーサー,0,0,0,3
all,ファインニードル,0,0,0,2
all,ホッコータルマエ,0,0,0,1
all,マインドユアビスケッツ Mind Your Biscuits(米),0,0,0,1
all,マツリダゴッホ,0,0,0,1
all,ミッキーアイル,0,0,0,3
all,メイショウボーラー,0,0,0,2
all,モンテロッソ Monterosso(英),0,0,0,1
all,モーニン,0,0,0,1
all,リアルスティール,0,0,0,1
all,レッドファルクス,0,0,0,2
all,ロードバリオス,0,0,0,1
all,ワールドエース,0,0,0,1
all,ヴァンセンヌ,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,カレンブラックヒル,1,0,0,1
1勝クラス,リオンディーズ,1,0,0,0
1勝クラス,アジアエクスプレス,0,1,0,2
1勝クラス,シャンハイボビー Shanghai Bobby(米),0,1,0,2
1勝クラス,スズカコーズウェイ,0,0,1,1
1勝クラス,モーリス,0,0,1,0
1勝クラス,エスポワールシチー,0,0,0,2
1勝クラス,キンシャサノキセキ,0,0,0,2
1勝クラス,コパノリッキー,0,0,0,1
1勝クラス,シニスターミニスター Sinister Minister(米),0,0,0,2
1勝クラス,タリスマニック Talismanic(英),0,0,0,1
1勝クラス,ダノンレジェンド,0,0,0,1
1勝クラス,ダンカーク Dunkirk(米),0,0,0,1
1勝クラス,トランセンド,0,0,0,1
1勝クラス,ファインニードル,0,0,0,1
1勝クラス,ヘニーヒューズ Henny Hughes(米),0,0,0,1
1勝クラス,マインドユアビスケッツ Mind Your Biscuits(米),0,0,0,1
1勝クラス,ミッキーアイル,0,0,0,1
1勝クラス,モンテロッソ Monterosso(英),0,0,0,1
1勝クラス,ロードカナロア,0,0,0,2
1勝クラス,ヴァンセンヌ,0,0,0,1
2勝クラス,ハーツクライ,1,0,0,0
2勝クラス,トランセンド,0,1,0,0
2勝クラス,バトルプラン Battle Plan(米),0,0,1,0
2勝クラス,アジアエクスプレス,0,0,0,1
2勝クラス,エイシンフラッシュ,0,0,0,1
2勝クラス,エスポワールシチー,0,0,0,1
2勝クラス,カレンブラックヒル,0,0,0,1
