クラス,血統,1着,2着,3着,着外
all,ヴァンゴッホ,1,0,0,1
all,アドマイヤムーン,0,1,0,0
all,イスラボニータ,0,0,1,2
all,アメリカンペイトリオット,0,0,0,1
all,シニスターミニスター,0,0,0,1
all,シルバーステート,0,0,0,1
all,ダノンプレミアム,0,0,0,1
all,ドレフォン,0,0,0,1
all,バンブーエール,0,0,0,1
all,ビッグアーサー,0,0,0,1
all,ファインニードル,0,0,0,1
all,フィレンツェファイア,0,0,0,1
all,マクフィ,0,0,0,1
未勝利,ヴァンゴッホ,1,0,0,1
未勝利,アドマイヤムーン,0,1,0,0
未勝利,イスラボニータ,0,0,1,2
未勝利,アメリカンペイトリオット,0,0,0,1
未勝利,シニスターミニスター,0,0,0,1
未勝利,シルバーステート,0,0,0,1
未勝利,ダノンプレミアム,0,0,0,1
未勝利,ドレフォン,0,0,0,1
未勝利,バンブーエール,0,0,0,1
未勝利,ビッグアーサー,0,0,0,1
未勝利,ファインニードル,0,0,0,1
未勝利,フィレンツェファイア,0,0,0,1
未勝利,マクフィ,0,0,0,1
