クラス,血統,1着,2着,3着,着外
all,エピファネイア,1,0,0,6
all,ジョーカプチーノ,1,0,0,0
all,スマートオーディン,1,0,0,0
all,イスラボニータ,0,2,0,1
all,ブリックスアンドモルタル,0,1,0,1
all,ウォータービルド,0,0,1,0
all,ダノンスマッシュ,0,0,1,0
all,ワールドエース,0,0,1,0
all,Saxon Warrior,0,0,0,1
all,アルアイン,0,0,0,1
all,オルフェーヴル,0,0,0,1
all,グレーターロンドン,0,0,0,1
all,コントレイル,0,0,0,2
all,サトノアラジン,0,0,0,1
all,サトノクラウン,0,0,0,1
all,サトノダイヤモンド,0,0,0,1
all,サンダースノー,0,0,0,1
all,サートゥルナーリア,0,0,0,4
all,ダノンプレミアム,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,ハーツクライ,0,0,0,2
all,バゴ,0,0,0,1
all,バトルプラン,0,0,0,1
all,ファインニードル,0,0,0,1
all,ポエティックフレア,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,ミッキーロケット,0,0,0,1
all,モズアスコット,0,0,0,2
all,リアルインパクト,0,0,0,1
all,リオンディーズ,0,0,0,1
all,ロードカナロア,0,0,0,1
1勝クラス,エピファネイア,1,0,0,4
1勝クラス,イスラボニータ,0,1,0,0
1勝クラス,ワールドエース,0,0,1,0
1勝クラス,Saxon Warrior,0,0,0,1
1勝クラス,サンダースノー,0,0,0,1
1勝クラス,サートゥルナーリア,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,1
1勝クラス,バゴ,0,0,0,1
1勝クラス,ファインニードル,0,0,0,1
1勝クラス,ブリックスアンドモルタル,0,0,0,1
1勝クラス,ミッキーロケット,0,0,0,1
1勝クラス,モズアスコット,0,0,0,2
1勝クラス,リアルインパクト,0,0,0,1
2勝クラス,スマートオーディン,1,0,0,0
2勝クラス,ブリックスアンドモルタル,0,1,0,0
2勝クラス,ウォータービルド,0,0,1,0
2勝クラス,アルアイン,0,0,0,1
2勝クラス,イスラボニータ,0,0,0,1
2勝クラス,エピファネイア,0,0,0,1
2勝クラス,サトノダイヤモンド,0,0,0,1
2勝クラス,ハーツクライ,0,0,0,1
2勝クラス,バトルプラン,0,0,0,1
2勝クラス,ミッキーアイル,0,0,0,1
未勝利,ジョーカプチーノ,1,0,0,0
未勝利,イスラボニータ,0,1,0,0
未勝利,ダノンスマッシュ,0,0,1,0
未勝利,エピファネイア,0,0,0,1
未勝利,オルフェーヴル,0,0,0,1
未勝利,グレーターロンドン,0,0,0,1
未勝利,コントレイル,0,0,0,2
未勝利,サトノアラジン,0,0,0,1
未勝利,サトノクラウン,0,0,0,1
未勝利,サートゥルナーリア,0,0,0,3
未勝利,ダノンプレミアム,0,0,0,1
未勝利,デクラレーションオブウォー,0,0,0,1
未勝利,ポエティックフレア,0,0,0,1
未勝利,リオンディーズ,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
