クラス,血統,1着,2着,3着,着外
all,キンシャサノキセキ,1,1,0,2
all,ジャスタウェイ,1,1,0,3
all,ホッコータルマエ,1,1,0,2
all,Arrogate (米),1,0,1,0
all,エピファネイア,1,0,1,5
all,ブラックタイド,1,0,1,1
all,ルーラーシップ,1,0,1,5
all,カレンブラックヒル,1,0,0,0
all,キズナ,1,0,0,4
all,スマートファルコン,1,0,0,4
all,ディープインパクト,1,0,0,7
all,ハービンジャー Harbinger(英),1,0,0,2
all,バトルプラン Battle Plan(米),1,0,0,1
all,レッドファルクス,1,0,0,1
all,エスケンデレヤ,0,1,1,2
all,メイショウサムソン,0,1,1,2
all,コパノリチャード,0,1,0,0
all,トーセンホマレボシ,0,1,0,1
all,ナムラタイタン,0,1,0,1
all,ハーツクライ,0,1,0,4
all,パイロ Pyro(米),0,1,0,0
all,ホワイトマズル White Muzzle(英),0,1,0,0
all,リアルスティール,0,1,0,0
all,ワールドエース,0,1,0,1
all,ヴィクトワールピサ,0,1,0,2
all,ウインバリアシオン,0,0,1,0
all,オルフェーヴル,0,0,1,3
all,キタサンブラック,0,0,1,0
all,ゴールドアリュール,0,0,1,2
all,ゼンノロブロイ,0,0,1,1
all,ディーマジェスティ,0,0,1,0
all,フリオーソ,0,0,1,1
all,ワークフォース Workforce(英),0,0,1,1
all,Frankel,0,0,0,2
all,Quality Road,0,0,0,1
all,Uncle Mo (米),0,0,0,0
all,Upstart,0,0,0,1
all,アイルハヴアナザー I'll Have Another(米),0,0,0,1
all,アジアエクスプレス,0,0,0,1
all,アドマイヤムーン,0,0,0,1
all,アポロキングダム,0,0,0,1
all,アメリカンペイトリオット,0,0,0,2
all,アルアイン,0,0,0,1
all,エスポワールシチー,0,0,0,1
all,エンパイアメーカー Empire Maker(米),0,0,0,2
all,キングカメハメハ,0,0,0,3
all,クリエイターII,0,0,0,1
all,クロフネ,0,0,0,3
all,ゴールドシップ,0,0,0,1
all,サトノクラウン,0,0,0,1
all,サトノダイヤモンド,0,0,0,2
all,サマーバード Summer Bird(米),0,0,0,1
all,シニスターミニスター Sinister Minister(米),0,0,0,1
all,スクリーンヒーロー,0,0,0,1
all,ステイゴールド,0,0,0,1
all,ストロングリターン,0,0,0,1
all,スピルバーグ,0,0,0,1
all,タリスマニック Talismanic(英),0,0,0,1
all,ダンカーク Dunkirk(米),0,0,0,4
all,トーセンブライト,0,0,0,1
all,ドレフォン Drefong(米),0,0,0,1
all,ネオユニヴァース,0,0,0,2
all,ハタノヴァンクール,0,0,0,1
all,バンブーエール,0,0,0,1
all,ファインニードル,0,0,0,1
all,ファスリエフ Fasliyev(米),0,0,0,0
all,フレンチデピュティ French Deputy(米),0,0,0,2
all,ヘニーヒューズ Henny Hughes(米),0,0,0,3
all,ベルシャザール,0,0,0,1
all,マクフィ,0,0,0,2
all,マジェスティックウォリアー Majestic Warrior(米),0,0,0,1
all,マンハッタンカフェ,0,0,0,1
all,ミッキーグローリー,0,0,0,1
all,モンテロッソ Monterosso(英),0,0,0,2
all,ヨハネスブルグ Johannesburg(米),0,0,0,1
all,ラニ,0,0,0,2
all,ラブリーデイ,0,0,0,1
all,ローエングリン,0,0,0,1
all,ロージズインメイ Roses in May(米),0,0,0,4
all,ロードカナロア,0,0,0,5
all,ワイルドラッシュ Wild Rush(米),0,0,0,1
all,ワンダーアキュート,0,0,0,1
未勝利,エピファネイア,1,0,0,5
未勝利,キズナ,1,0,0,1
未勝利,ハービンジャー Harbinger(英),1,0,0,1
未勝利,レッドファルクス,1,0,0,1
未勝利,ホッコータルマエ,0,1,0,0
未勝利,メイショウサムソン,0,1,0,0
未勝利,リアルスティール,0,1,0,0
未勝利,ヴィクトワールピサ,0,1,0,0
未勝利,エスケンデレヤ,0,0,1,0
未勝利,キタサンブラック,0,0,1,0
未勝利,ディーマジェスティ,0,0,1,0
未勝利,ルーラーシップ,0,0,1,2
未勝利,アイルハヴアナザー I'll Have Another(米),0,0,0,1
未勝利,アジアエクスプレス,0,0,0,1
未勝利,アルアイン,0,0,0,1
未勝利,クロフネ,0,0,0,1
未勝利,ゴールドシップ,0,0,0,1
未勝利,サトノダイヤモンド,0,0,0,1
未勝利,ジャスタウェイ,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,1
未勝利,スマートファルコン,0,0,0,1
未勝利,ゼンノロブロイ,0,0,0,1
未勝利,タリスマニック Talismanic(英),0,0,0,1
未勝利,ダンカーク Dunkirk(米),0,0,0,2
未勝利,ディープインパクト,0,0,0,2
未勝利,トーセンホマレボシ,0,0,0,1
未勝利,ドレフォン Drefong(米),0,0,0,1
未勝利,ハーツクライ,0,0,0,2
未勝利,ファインニードル,0,0,0,1
未勝利,ベルシャザール,0,0,0,1
未勝利,マジェスティックウォリアー Majestic Warrior(米),0,0,0,1
未勝利,ミッキーグローリー,0,0,0,1
未勝利,ラニ,0,0,0,1
未勝利,ロードカナロア,0,0,0,3
未勝利,ワークフォース Workforce(英),0,0,0,1
1勝クラス,ブラックタイド,1,0,1,0
1勝クラス,ジャスタウェイ,1,0,0,2
1勝クラス,ホッコータルマエ,1,0,0,0
1勝クラス,ルーラーシップ,1,0,0,1
1勝クラス,エスケンデレヤ,0,1,0,1
1勝クラス,コパノリチャード,0,1,0,0
1勝クラス,ナムラタイタン,0,1,0,1
1勝クラス,パイロ Pyro(米),0,1,0,0
1勝クラス,ウインバリアシオン,0,0,1,0
1勝クラス,フリオーソ,0,0,1,0
1勝クラス,メイショウサムソン,0,0,1,1
1勝クラス,Frankel,0,0,0,1
1勝クラス,アメリカンペイトリオット,0,0,0,1
1勝クラス,エピファネイア,0,0,0,0
1勝クラス,キズナ,0,0,0,2
1勝クラス,キングカメハメハ,0,0,0,1
1勝クラス,キンシャサノキセキ,0,0,0,1
1勝クラス,クリエイターII,0,0,0,1
1勝クラス,クロフネ,0,0,0,1
1勝クラス,サトノクラウン,0,0,0,1
1勝クラス,サトノダイヤモンド,0,0,0,1
1勝クラス,スマートファルコン,0,0,0,2
1勝クラス,ダンカーク Dunkirk(米),0,0,0,2
1勝クラス,ネオユニヴァース,0,0,0,1
1勝クラス,ハタノヴァンクール,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,2
1勝クラス,ハービンジャー Harbinger(英),0,0,0,1
1勝クラス,マクフィ,0,0,0,1
1勝クラス,モンテロッソ Monterosso(英),0,0,0,1
1勝クラス,ヨハネスブルグ Johannesburg(米),0,0,0,1
1勝クラス,ラニ,0,0,0,1
1勝クラス,ラブリーデイ,0,0,0,1
1勝クラス,ローエングリン,0,0,0,1
1勝クラス,ロージズインメイ Roses in May(米),0,0,0,2
1勝クラス,ロードカナロア,0,0,0,1
1勝クラス,ワンダーアキュート,0,0,0,1
2勝クラス,キンシャサノキセキ,1,1,0,1
2勝クラス,Arrogate (米),1,0,1,0
2勝クラス,カレンブラックヒル,1,0,0,0
2勝クラス,バトルプラン Battle Plan(米),1,0,0,0
2勝クラス,ジャスタウェイ,0,1,0,0
2勝クラス,トーセンホマレボシ,0,1,0,0
2勝クラス,ワールドエース,0,1,0,1
2勝クラス,エピファネイア,0,0,1,0
2勝クラス,オルフェーヴル,0,0,1,2
2勝クラス,ワークフォース Workforce(英),0,0,1,0
2勝クラス,Frankel,0,0,0,1
2勝クラス,Quality Road,0,0,0,1
2勝クラス,Upstart,0,0,0,1
2勝クラス,アポロキングダム,0,0,0,1
2勝クラス,アメリカンペイトリオット,0,0,0,1
2勝クラス,エスケンデレヤ,0,0,0,1
2勝クラス,エスポワールシチー,0,0,0,1
2勝クラス,キズナ,0,0,0,1
2勝クラス,キングカメハメハ,0,0,0,1
2勝クラス,ゴールドアリュール,0,0,0,1
2勝クラス,サマーバード Summer Bird(米),0,0,0,1
2勝クラス,シニスターミニスター Sinister Minister(米),0,0,0,1
2勝クラス,スピルバーグ,0,0,0,1
2勝クラス,ディープインパクト,0,0,0,3
2勝クラス,トーセンブライト,0,0,0,1
2勝クラス,ネオユニヴァース,0,0,0,1
2勝クラス,ファスリエフ Fasliyev(米),0,0,0,0
2勝クラス,フレンチデピュティ French Deputy(米),0,0,0,1
2勝クラス,ブラックタイド,0,0,0,0
2勝クラス,ヘニーヒューズ Henny Hughes(米),0,0,0,3
2勝クラス,ホッコータルマエ,0,0,0,2
2勝クラス,マクフィ,0,0,0,1
2勝クラス,メイショウサムソン,0,0,0,1
2勝クラス,モンテロッソ Monterosso(英),0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,ロージズインメイ Roses in May(米),0,0,0,2
2勝クラス,ワイルドラッシュ Wild Rush(米),0,0,0,1
3勝クラス,スマートファルコン,1,0,0,1
3勝クラス,ディープインパクト,1,0,0,2
3勝クラス,ハーツクライ,0,1,0,0
3勝クラス,ホワイトマズル White Muzzle(英),0,1,0,0
3勝クラス,ゴールドアリュール,0,0,1,1
3勝クラス,ゼンノロブロイ,0,0,1,0
3勝クラス,Uncle Mo (米),0,0,0,0
3勝クラス,アドマイヤムーン,0,0,0,1
3勝クラス,エンパイアメーカー Empire Maker(米),0,0,0,2
3勝クラス,オルフェーヴル,0,0,0,1
3勝クラス,キングカメハメハ,0,0,0,1
3勝クラス,クロフネ,0,0,0,1
3勝クラス,ステイゴールド,0,0,0,1
3勝クラス,ストロングリターン,0,0,0,1
3勝クラス,バトルプラン Battle Plan(米),0,0,0,1
3勝クラス,バンブーエール,0,0,0,1
3勝クラス,フリオーソ,0,0,0,1
3勝クラス,フレンチデピュティ French Deputy(米),0,0,0,1
3勝クラス,ブラックタイド,0,0,0,1
3勝クラス,マンハッタンカフェ,0,0,0,1
3勝クラス,ルーラーシップ,0,0,0,1
3勝クラス,ロードカナロア,0,0,0,1
3勝クラス,ヴィクトワールピサ,0,0,0,2
