クラス,血統,1着,2着,3着,着外
all,オルフェーヴル,1,1,0,3
all,キズナ,1,0,0,6
all,モーリス,1,0,0,0
all,ヴィクトワールピサ,1,0,0,3
all,Frankel,0,1,0,0
all,エイシンフラッシュ,0,1,0,1
all,スクリーンヒーロー,0,1,0,1
all,ドゥラメンテ,0,1,0,0
all,キタサンブラック,0,0,1,0
all,ジャスタウェイ,0,0,1,0
all,ハーツクライ,0,0,1,3
all,Galileo (愛),0,0,0,1
all,Mshawish (米),0,0,0,1
all,Violence,0,0,0,1
all,エスポワールシチー,0,0,0,1
all,エピファネイア,0,0,0,4
all,キングカメハメハ,0,0,0,6
all,ゴールドシップ,0,0,0,3
all,ゼンノロブロイ,0,0,0,1
all,ディープインパクト,0,0,0,4
all,トゥザワールド,0,0,0,1
all,ドリームジャーニー,0,0,0,1
all,ノヴェリスト Novellist(愛),0,0,0,1
all,ハービンジャー Harbinger(英),0,0,0,3
all,ヘニーヒューズ Henny Hughes(米),0,0,0,1
all,マンハッタンカフェ,0,0,0,1
all,ミッキーアイル,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,リオンディーズ,0,0,0,1
all,ルーラーシップ,0,0,0,2
all,ロードカナロア,0,0,0,1
all,ワールドエース,0,0,0,1
all,ヴァンセンヌ,0,0,0,1
未勝利,キズナ,1,0,0,3
未勝利,ヴィクトワールピサ,1,0,0,3
未勝利,Frankel,0,1,0,0
未勝利,エイシンフラッシュ,0,1,0,1
未勝利,ジャスタウェイ,0,0,1,0
未勝利,ハーツクライ,0,0,1,3
未勝利,Mshawish (米),0,0,0,1
未勝利,Violence,0,0,0,1
未勝利,エピファネイア,0,0,0,2
未勝利,オルフェーヴル,0,0,0,2
未勝利,キングカメハメハ,0,0,0,2
未勝利,ゴールドシップ,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,1
未勝利,ゼンノロブロイ,0,0,0,1
未勝利,ディープインパクト,0,0,0,2
未勝利,トゥザワールド,0,0,0,1
未勝利,ノヴェリスト Novellist(愛),0,0,0,1
未勝利,ハービンジャー Harbinger(英),0,0,0,1
未勝利,ラブリーデイ,0,0,0,1
未勝利,ワールドエース,0,0,0,1
未勝利,ヴァンセンヌ,0,0,0,1
2勝クラス,オルフェーヴル,1,0,0,0
2勝クラス,ドゥラメンテ,0,1,0,0
2勝クラス,キタサンブラック,0,0,1,0
2勝クラス,エスポワールシチー,0,0,0,1
2勝クラス,キズナ,0,0,0,2
2勝クラス,キングカメハメハ,0,0,0,1
2勝クラス,ディープインパクト,0,0,0,1
2勝クラス,ドリームジャーニー,0,0,0,1
2勝クラス,ハービンジャー Harbinger(英),0,0,0,1
2勝クラス,ヘニーヒューズ Henny Hughes(米),0,0,0,1
2勝クラス,リオンディーズ,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,2
オープン,モーリス,1,0,0,0
オープン,オルフェーヴル,0,1,0,1
オープン,スクリーンヒーロー,0,1,0,0
オープン,Galileo (愛),0,0,0,1
オープン,エピファネイア,0,0,0,2
オープン,キズナ,0,0,0,1
オープン,キングカメハメハ,0,0,0,3
オープン,ゴールドシップ,0,0,0,2
オープン,ディープインパクト,0,0,0,1
オープン,ハービンジャー Harbinger(英),0,0,0,1
オープン,マンハッタンカフェ,0,0,0,1
オープン,ミッキーアイル,0,0,0,1
オープン,ロードカナロア,0,0,0,1
