index,着順,race_type,course_len,ground_state,class,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
201910010101,1,ダート,1000,稍重,未勝利,Into Mischief,Joke,Harlan's Holiday,Leslie's Lady,Phone Trick,Tour,Harlan,Christmas in Aiken,Tricky Creek,Crystal Lady,Clever Trick,Over the Phone,フォーティナイナー Forty Niner(米),Fun Flight,Storm Cat,Country Romance,Affirmed,Dowager,Clever Trick,Battle Creek Girl,Stop the Music,One Last Bird,Icecapade,Kankakee Miss,Finnegan,Prattle,Mr. Prospector,File,Full Pocket,Fun and Tears,Storm Bird,Terlingua,Halo,Sweet Romance,Exclusive Native,Won't Tell You,Honest Pleasure,Princessnesian,Icecapade,Kankakee Miss,His Majesty,Far Beyond,Hail to Reason,Bebopper,One for All,Last Bird,Nearctic,Shenanigans,Better Bee,Golden Beach,Royal Charger,Last Wave,Mr. Busher,Tsumani,Raise a Native,Gold Digger,Tom Rolfe,Continue,Olden Times,Dearest Mommy,Hempen,Palisades Girl
201910010101,2,ダート,1000,稍重,未勝利,メイショウボーラー,シニスタークイーン,タイキシャトル,ナイスレイズ Nice Raise(米),シニスターミニスター Sinister Minister(米),フォーリアクイーン,Devil's Bag,ウェルシュマフィン Welsh Muffin(愛),Storm Cat (米),Nice Tradition,Old Trieste,Sweet Minister,サンデーサイレンス Sunday Silence(米),フォーリア Folia(英),Halo,Ballade,Caerleon,Muffitys,Storm Bird,Terlingua,Search Tradition,Nice Dancing,A.P. Indy,Lovlier Linda,The Prime Minister,Sweet Blue,Halo,Wishing Well,Sadler's Wells,Dunoof,Hail to Reason,Cosmah,Herbager,Miss Swapsco,Nijinsky,Foreseer,Thatch,Contrail,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Nashua,Searching,Kazan,Nice,Seattle Slew,Weekend Surprise,Vigors,Linda Summers,Deputy Minister,Stick to Beauty,Hurry Up Blue,Sugar Gold,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Fairy Bridge,Shirley Heights,Sunbittern
201910010101,3,ダート,1000,稍重,未勝利,キングズベスト King's Best(米),ウェイヴランナー Waverunner(英),Kingmambo (米),Allegretta,Raven's Pass,Danuta,Mr. Prospector,Miesque,Lombard,Anatevka,Elusive Quality,Ascutney,サンデーサイレンス Sunday Silence(米),ポリッシュスタイル Polish Style(米),Raise a Native,Gold Digger,Nureyev,Pasadoble,Agio,Promised Lady,Espresso,Almyra,Gone West,Touch of Greatness,Lord at War,Right Word,Halo,Wishing Well,Danzig,Family Style,Native Dancer,Raise You,Nashua,Sequence,Northern Dancer,Special,Prove Out,Santa Quilla,Tantieme,Aralia,Prince Chevalier,Belle Sauvage,Acropolis,Babylon,Birkhahn,Alameda,Mr. Prospector,Secrettame,Hero's Honor,Ivory Wand,General,Luna de Miel,Verbatim,Oratorio,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Pas de Nom,State Dinner,Sharp Kitty
201910010101,4,ダート,1000,稍重,未勝利,グランプリボス,バーレーヘッズ,サクラバクシンオー,ロージーミスト,スペシャルウィーク,ヴェスタ Vesta(米),サクラユタカオー,サクラハゴロモ,サンデーサイレンス Sunday Silence(米),ビューティフルベーシック Beautiful Basic(米),サンデーサイレンス Sunday Silence(米),キャンペンガール,Fortunate Prospect,Amavalidhope,テスコボーイ,アンジェリカ,ノーザンテースト,クリアアンバー,Halo,Wishing Well,Secretariat,Nervous Pillow,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Northern Prospect,Fortunate Bid,Valid Appeal,Amalie,Princely Gift,Suncourt,ネヴァービート,スターハイネス,Northern Dancer,Lady Victoria,Ambiopoise,One Clear Call,Hail to Reason,Cosmah,Understanding,Mountain Flower,Bold Ruler,Somethingroyal,Nervous Energy,Fathers Pillow,Hail to Reason,Cosmah,Understanding,Mountain Flower,Nijinsky,シル,セントクレスピン,ミスアシヤガワ,Mr. Prospector,Sleek Dancer,Lucky Debonair,Biddy Big,In Reality,Desert Trial,Bold and Brave,Gentility
201910010101,5,ダート,1000,稍重,未勝利,ゴールドアリュール,スイートジュエリー,サンデーサイレンス Sunday Silence(米),ニキーヤ Nikiya(米),キングカメハメハ,スイートテイスト Sweet Taste(米),Halo,Wishing Well,Nureyev,Reluctant Guest,Kingmambo (米),マンファス Manfath(愛),Salt Lake,Say What You Mean,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Special,Hostage,Vaguely Royal,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Deputy Minister,Take Lady Anne,ジャッジャー,Call the Queen,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Nearctic,Natalma,Forli,Thong,Nijinsky,Entente,Vaguely Noble,Shoshanna,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Vice Regent,Mint Copy,Queen City Lad,Lovita H.,Damascus,Face the Facts,Hail to Reason,Queen Empress
201910010101,6,ダート,1000,稍重,未勝利,Oasis Dream (英),Alsace Lorraine,Green Desert,Hope,Giant's Causeway (米),Mer de Corail,Danzig,Foreign Courier,ダンシングブレーヴ Dancing Brave(米),Bahamian,Storm Cat (米),Mariah's Storm,Sadler's Wells (米),Miss Tahiti (愛),Northern Dancer,Pas de Nom,Sir Ivor,Courtly Dee,Lyphard,Navajo Princess,Mill Reef,Sorbus,Storm Bird,Terlingua,Rahy,イメンス,Northern Dancer,Fairy Bridge,Tirol,Mini Luthe,Nearctic,Natalma,Admiral's Voyage,Petitioner,Sir Gaylord,Attica,Never Bend,Tulle,Northern Dancer,Goofed,Drone,Olmec,Never Bend,Milan Mill,Busted,Censorship,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Blushing Groom,Glorious Song,Roberto,Imsodear,Nearctic,Natalma,Bold Reason,Special,Thatching,Alpine Niece,Luthier,Minifer
201910010101,7,ダート,1000,稍重,未勝利,パイロ Pyro(米),ラッキーピンキー,Pulpit,Wild Vision,グランドオペラ Grand Opera(米),ウメノピンキー,A.P. Indy,Preach,Wild Again,Carol's Wonder,Nijinsky,Glorious Song,クリスタルパレス Crystal Palace(仏),ダーリングタイム,Seattle Slew,Weekend Surprise,Mr. Prospector,Narrate,Icecapade,Bushel-n-Peck,Pass the Tab,Carols Christmas,Northern Dancer,Flaming Page,Halo,Ballade,Caro,Hermieres,レイバーン,ダーリングヒメ,Bold Reasoning,My Charmer,Secretariat,Lassie Dear,Raise a Native,Gold Digger,Honest Pleasure,State,Nearctic,Shenanigans,Khaled,Dama,Al Hattab,Dantina,Whitesburg,Light Verse,Nearctic,Natalma,Bull Page,Flaring Top,Hail to Reason,Cosmah,Herbager,Miss Swapsco,フォルティノ,Chambord,Sicambre,Vieille Pierre,Botticelli,Romanella,ニンバス,ダーリングクイン
201910010101,8,ダート,1000,稍重,未勝利,ケープブランコ Cape Blanco(英),ラブアンドピース,Galileo (愛),Laurel Delight,キングカメハメハ,ピースオブワールド,Sadler's Wells (米),Urban Sea (米),Presidium,Foudroyer,Kingmambo (米),マンファス Manfath(愛),サンデーサイレンス Sunday Silence(米),ビバムール,Northern Dancer,Fairy Bridge,Miswaki,Allegretta,General Assembly,Doubly Sure,アーテイアス,Foudre,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Halo,Wishing Well,Caerleon,Muffitys,Nearctic,Natalma,Bold Reason,Special,Mr. Prospector,Hopespringseternal,Lombard,Anatevka,Secretariat,Exclusive Dancer,Reliance,Soft Angels,Round Table,Stylish Pattern,Petingo,Lighted Lamp,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Hail to Reason,Cosmah,Understanding,Mountain Flower,Nijinsky,Foreseer,Thatch,Contrail
201910010101,9,ダート,1000,稍重,未勝利,シンボリクリスエス,プレシャスキャット Precious Cat(米),Kris S.,Tee Kay,Storm Cat (米),Nurse Lulu,Roberto,Sharp Queen,Gold Meridian,Tri Argo,Storm Bird,Terlingua,Jacinto,Henmedic,Hail to Reason,Bramalea,Princequillo,Bridgework,Seattle Slew,Queen Louie,Tri Jet,Hail Proudly,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Bold Ruler,Cascade,Dr. Fager,Dimashq,Turn-to,Nothirdchance,Nashua,Rarelea,Prince Rose,Cosquilla,Occupy,Feale Bridge,Bold Reasoning,My Charmer,Crimson Satan,Reagent,Jester,Haze,Francis S.,Spanglet,Nearctic,Natalma,New Providence,Shining Sun,Bold Ruler,Somethingroyal,Crimson Satan,Bolero Rose,Nasrullah,Miss Disco,Precipitation,Marita,Rough'n Tumble,Aspidistra,Damascus,Romanita
201910010101,10,ダート,1000,稍重,未勝利,キンシャサノキセキ,ヴィアレッタ,フジキセキ,ケルトシャーン Keltshaan(米),Pivotal,ヴァレッタ Valletta(英),サンデーサイレンス Sunday Silence(米),ミルレーサー Millracer(米),Pleasant Colony,Featherhill,Polar Falcon,Fearless Revival,Cape Cross,Vituisa,Halo,Wishing Well,Le Fabuleux,Marston's Mill,His Majesty,Sun Colony,Lyphard,Lady Berry,Nureyev,Marie d'Argonne,Cozzene,Stufida,Green Desert,Park Appeal,Bering,La Confederation,Hail to Reason,Cosmah,Understanding,Mountain Flower,Wild Risk,Anguar,In Reality,Millicent,Ribot,Flower Bowl,Sunrise Flight,Colonia,Northern Dancer,Goofed,Violon d'Ingres,Moss Rose,Northern Dancer,Special,Jefferson,Mohair,Caro,Ride the Trails,Bustino,Zerbinetta,Danzig,Foreign Courier,Ahonoora,Balidaress,Arctic Tern,Beaune,Nureyev,Unite
