,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,,,アイファーサックス,牝2,53.0,△長浜,根本,,美浦,2023100656,01214,ビーチパトロール  Beach Patrol(米),エアリーチューン,ステイゴールド
1,,,アオハルブルース,牡2,56.0,佐々木,栗田,,美浦,2023102313,01197,ゴールドドリーム,ニジノムコウ,Flatter
2,,,ウルヴァリン,牡2,53.0,▲遠藤,伊藤伸,,美浦,2023106170,01218,ベストウォーリア,リクエストアワー,ネオユニヴァース
3,,,ヴンダーバール,牝2,55.0,横山武,斎藤誠,,美浦,2023107280,01170,ナダル Nadal(米),モンオール,オルフェーヴル
4,,,エコロガノン,牡2,56.0,菅原明,矢野,,美浦,2023100858,01179,マジェスティックウォリアー  Majestic Warrior(米),アルゴロオジエ,ハーツクライ
5,,,オンマイビート,牡2,56.0,原,松山,,美浦,2023100344,01184,ジャスタウェイ,グラマラススカイ,カネヒキリ
6,,,キタイノホシ,牡2,56.0,柴田大,蛯名利,,美浦,2023100204,01009,ワールドエース,コイクレナイ,タイキシャトル
7,,,ショウナンサイオウ,牡2,56.0,池添,奥村武,,美浦,2023106803,01032,ドレフォン  Drefong(米),ショウナンパンドラ,ディープインパクト
8,,,パワポケウォーズ,牡2,53.0,▲上里,大和田,,美浦,2023107440,01217,リアルスティール,レッドアクトレス,スクリーンヒーロー
9,,,ホールドザデイ,牝2,55.0,木幡巧,田中勝,,美浦,2023105783,01162,ダノンスマッシュ,デイオブジョイ,オルフェーヴル
10,,,マイネルオランチア,牡2,56.0,プーシャン,小手川,,美浦,2023106406,05678,スクリーンヒーロー,マイネオレンジ,ロージズインメイ  Roses in May(米)
11,,,マリブ,牡2,53.0,▲石神道,和田郎,,美浦,2023104168,01209,サトノジェネシス,ワールドツアラー,ウインクリューガー
12,,,マーゴットリック,牡2,56.0,丹内,加藤士,,美浦,2023105406,01091,ゴールドドリーム,ミモザゴール,ルーラーシップ
13,,,ムーングレイル,牡2,56.0,三浦,森一,,美浦,2023102843,01122,ミッキーアイル,グレースグランド,アドマイヤムーン
14,,,ライフイズ,牝2,55.0,石橋脩,鈴木慎,,美浦,2023105448,01077,ガルボ,キンシャチゴールド,サウスヴィグラス
15,,,ワールドブレイヴ,牡2,56.0,マーカンド,宮田,,美浦,2023105578,05626,ワールドプレミア,リブエターナル,クロフネ
