,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202603010210,1,4,8,イマージョン,牡4,58.0,丸山,0:1:08.7,,1,5.3,,,栗東 高野,512(0)
202603010210,2,7,14,セントールビースト,牡4,58.0,永島,0:1:08.8,1,12,21.6,,,栗東 羽月,434(-4)
202603010210,3,3,6,モリノセピア,牡5,58.0,小林美,0:1:08.9,3/4,9,15.0,,,美浦 鈴木伸,492(-4)
202603010210,4,8,16,アイアムイチバン,牡4,58.0,柴田善,0:1:09.0,アタマ,4,8.1,,,美浦 奥平,516(-6)
202603010210,5,4,7,サードウインド,牝4,56.0,中井,0:1:09.0,クビ,15,85.8,,,美浦 西田,452(-8)
202603010210,6,6,11,イノキ,牡4,58.0,舟山,0:1:09.2,1.1/4,6,10.6,,,美浦 岩戸,500(-2)
202603010210,7,2,3,パールフロント,牝4,56.0,丹内,0:1:09.3,3/4,2,5.4,,,栗東 寺島,534(+2)
202603010210,8,3,5,リクエイ,牝4,56.0,長岡,0:1:09.4,クビ,11,20.2,,,美浦 竹内,426(-4)
202603010210,9,1,1,ジーベック,牡5,58.0,古川奈,0:1:09.6,1,10,18.1,,,栗東 矢作,458(-2)
202603010210,10,7,13,ミニョンマルーン,牝4,56.0,黛,0:1:09.6,アタマ,3,7.1,,,美浦 伊藤圭,478(+4)
202603010210,11,5,9,アメリカンチケット,セ5,58.0,西塚,0:1:09.8,1.1/4,5,9.8,,,栗東 藤原,486(-22)
202603010210,12,2,4,ヒルノピレネー,牡6,58.0,亀田,0:1:10.3,3,7,13.5,,,栗東 北出,450(-2)
202603010210,13,1,2,ディーエスショウマ,牡4,58.0,小沢,0:1:10.7,2.1/2,8,14.4,,,栗東 橋口,458(0)
202603010210,14,6,12,サンディブロンド,牝5,56.0,武藤,0:1:10.8,クビ,16,127.8,,,美浦 鈴木慎,484(-2)
202603010210,15,8,15,サベージラヴ,牝5,56.0,菊沢,0:1:11.1,2,13,36.2,,,美浦 伊藤圭,458(-8)
202603010210,16,5,10,フレッシュラン,牝4,56.0,石川,0:1:11.8,4,14,72.4,,,美浦 尾形,466(-12)
