,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202604010212,1,2,3,タケルハーロック,牡4,58.0,亀田,0:1:11.7,,2,2.7,36.6,5-5,栗東 高柳大,498(0)
202604010212,2,6,10,リッキースタイル,牡4,56.0,△舟山,0:1:11.9,1.1/4,3,5.9,36.9,5-5,美浦 水野,490(0)
202604010212,3,3,4,バルジール,牡4,58.0,吉田隼,0:1:12.1,1.1/4,5,17.9,37.7,1-1,美浦 久保田,488(-2)
202604010212,4,6,11,スーパーバイザー,牡5,58.0,菊沢,0:1:12.1,ハナ,6,18.1,36.8,8-8,美浦 菊沢,482(+2)
202604010212,5,5,9,ワンウェイトゥヘル,牡4,58.0,長岡,0:1:12.2,クビ,4,10.0,37.5,2-2,栗東 中村,468(-2)
202604010212,6,3,5,フルドド,牝4,56.0,ゴンサ,0:1:12.2,クビ,1,2.6,37.4,3-3,栗東 茶木,454(-8)
202604010212,7,4,6,ダディーズアイル,牡5,56.0,△鷲頭,0:1:12.4,1,9,50.6,36.6,13-13,栗東 千田,482(-6)
202604010212,8,5,8,シュネーグロッケン,牡4,58.0,小沢,0:1:12.4,クビ,7,33.3,36.8,10-10,栗東 清水久,496(-4)
202604010212,9,7,12,クインズメレンゲ,牝4,54.0,△田山,0:1:12.7,1.1/2,8,36.7,37.8,3-3,栗東 吉岡,464(-2)
202604010212,10,7,13,アイファーファイト,牡7,58.0,的場,0:1:12.8,1/2,14,259.2,36.6,15-15,美浦 的場,436(-2)
202604010212,11,4,7,クリノミニスター,牡7,58.0,丹内,0:1:12.8,クビ,10,52.5,37.2,10-10,栗東 荒川,460(-12)
202604010212,12,8,15,サイコウダネ,牡5,54.0,★河原田,0:1:13.3,2.1/2,12,159.2,38.2,5-5,美浦 天間,452(-2)
202604010212,13,1,1,サイモンプレジール,牡5,55.0,▲森田,0:1:13.6,2,13,235.4,37.8,13-14,美浦 加藤和,476(-6)
202604010212,14,8,14,ダイチラポール,牡4,56.0,◇永島,0:1:14.0,2.1/2,11,66.0,38.6,9-9,美浦 蛯名利,480(-12)
202604010212,15,2,2,ジャーニーメモリー,牡6,55.0,▲上里,0:1:15.0,6,15,268.7,39.4,10-10,美浦 粕谷,468(-4)
