,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202605020509,1,6,7,アンパドゥ,牡5,58.0,ルメー,0:1:32.2,,1,1.8,32.7,8-8,美浦 木村,496(-2)
202605020509,2,6,8,アウフヘーベン,牝6,56.0,レーン,0:1:32.2,クビ,2,5.2,33.1,4-3,栗東 高橋亮,462(0)
202605020509,3,3,3,マテンロウブラボー,牡5,58.0,戸崎圭,0:1:32.5,1.3/4,3,6.4,32.8,9-9,栗東 野中,500(0)
202605020509,4,7,10,コスモサガルマータ,セ6,58.0,横山和,0:1:32.8,2,8,66.7,32.8,11-11,美浦 嘉藤,496(-14)
202605020509,5,8,12,コルレオニス,牡5,58.0,ディー,0:1:32.9,アタマ,5,13.5,33.6,5-5,栗東 友道,470(+4)
202605020509,6,4,4,ホウオウムサシ,牡6,58.0,菅原明,0:1:33.0,1/2,11,120.2,33.6,6-6,美浦 蛯名正,452(0)
202605020509,7,7,9,グラニット,牡6,58.0,江田照,0:1:33.0,クビ,9,86.1,34.1,2-2,美浦 大和田,484(0)
202605020509,8,5,5,パワーホール,セ5,58.0,田辺,0:1:33.1,クビ,6,14.2,34.3,1-1,栗東 昆,490(-6)
202605020509,9,2,2,チャンネルトンネル,牡5,58.0,岩田康,0:1:33.1,クビ,4,7.8,33.7,6-6,栗東 福永,472(-2)
202605020509,10,1,1,ミカッテヨンデイイ,牝6,56.0,小林脩,0:1:33.2,1/2,10,109.6,33.5,9-9,美浦 室井,432(+8)
202605020509,11,8,11,ガルダイア,セ4,58.0,杉原,0:1:33.4,1.1/2,7,25.4,33.2,12-12,美浦 浅利,484(+6)
202605020509,12,5,6,ショーモン,セ6,58.0,松岡,0:1:33.6,3/4,12,374.8,34.5,3-3,栗東 東田,502(-8)
