,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202606010505,1,8,15,スローモーション,牝3,55.0,長岡,0:1:13.9,,8,27.4,37.6,,美浦 深山,388(0)
202606010505,2,6,12,ヴォンドゥ,牝3,52.0,▲遠藤,0:1:13.9,クビ,3,6.0,37.7,,栗東 小栗,424(0)
202606010505,3,7,13,スカット,牝3,52.0,▲上里,0:1:14.4,3,6,11.8,37.6,,美浦 堀内,446(0)
202606010505,4,8,16,カンノンミッキー,牡3,57.0,木幡巧,0:1:14.6,1.1/2,12,54.8,38.0,,美浦 小西,484(0)
202606010505,5,5,10,リゾートライン,牡3,57.0,荻野極,0:1:14.8,3/4,7,13.5,38.5,,美浦 伊坂,502(0)
202606010505,6,2,3,エリンフレーム,牝3,55.0,菊沢,0:1:15.0,1.1/2,4,8.1,38.2,,美浦 清水英,444(0)
202606010505,7,1,2,フレキシブル,牝3,55.0,戸崎圭,0:1:15.2,3/4,1,2.7,37.3,,美浦 斎藤誠,438(0)
202606010505,8,4,7,マイトリックスター,牝3,52.0,▲石神道,0:1:15.3,1,5,9.0,38.0,,美浦 和田勇,444(0)
202606010505,9,1,1,ボンヴィアッジョ,牝3,55.0,的場,0:1:15.4,クビ,10,43.7,38.5,,美浦 西田,500(0)
202606010505,10,4,8,ホウオウライラック,牝3,55.0,丸田,0:1:15.4,アタマ,11,54.5,38.9,,美浦 高柳瑞,430(0)
202606010505,11,7,14,アイファーセラピー,牝3,55.0,野中,0:1:15.5,1/2,13,106.4,39.1,,美浦 蛯名利,400(0)
202606010505,12,6,11,ヨドノヒロイン,牝3,53.0,△長浜,0:1:16.1,4,2,5.7,38.4,,美浦 武市,482(0)
202606010505,13,2,4,アルナブ,牝3,52.0,▲佐藤,0:1:17.4,8,15,175.9,39.5,,美浦 奥平,410(0)
202606010505,14,5,9,タッチザスカイ,牝3,55.0,菅原明,0:1:17.6,1.1/4,9,28.1,41.1,,美浦 高木,442(0)
202606010505,15,3,6,ブラックゲイル,牡3,54.0,▲水沼,0:1:17.7,1/2,14,113.8,40.0,,美浦 加藤和,478(0)
202606010505,中止,3,5,カツノサーティーン,牡3,57.0,岩部,,,16,203.7,,,美浦 伊藤伸,500(0)
