,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202607010301,1,8,13,コルヴァス,牡3,57.0,川田,0:1:55.7,,1,1.1,38.3,,栗東 矢作,480(-10)
202607010301,2,6,9,ナウオアネヴァー,牡3,57.0,川又,0:1:55.8,クビ,3,14.7,38.3,,栗東 寺島,516(+10)
202607010301,3,2,2,レジェルテ,牡3,54.0,▲和田陽,0:1:56.5,4,5,28.9,38.2,,栗東 柴田,456(-2)
202607010301,4,6,8,サウンドラッシュ,牡3,55.0,◇古川奈,0:1:56.5,ハナ,10,169.8,38.6,,栗東 安達,430(0)
202607010301,5,7,10,サンライズジャッジ,牡3,54.0,▲田山,0:1:57.1,3.1/2,4,21.2,38.9,,栗東 小椋,500(0)
202607010301,6,4,5,ハイロード,牡3,57.0,斎藤,0:1:57.4,2,2,13.0,40.2,,栗東 浜田,464(-4)
202607010301,7,3,3,ダイメイミラクル,牡3,53.0,★河原田,0:1:57.7,1.1/2,8,131.0,40.6,,栗東 本田,518(0)
202607010301,8,4,4,オセアビシャイン,牡3,57.0,嶋田,0:1:57.9,1.1/4,11,210.2,39.1,,美浦 菊川,462(0)
202607010301,9,7,11,コンテナヒーロー,牡3,57.0,団野,0:1:58.2,2,6,51.7,40.5,,栗東 茶木,494(-2)
202607010301,10,8,12,バンブラボー,牡3,57.0,富田,0:1:58.9,4,9,164.7,40.6,,栗東 飯田,518(-10)
202607010301,11,5,7,ロードエルドラド,牡3,57.0,中井,0:1:59.1,1,12,339.1,41.6,,栗東 坂口,502(-8)
202607010301,12,5,6,クランドゥルス,牡3,57.0,小沢,0:1:59.7,3.1/2,13,459.8,41.6,,栗東 羽月,496(-4)
202607010301,13,1,1,ビーストウォーズ,牡3,57.0,国分恭,0:2:00.1,2.1/2,7,109.1,42.4,,美浦 松山,454(-4)
