,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202609010312,1,3,6,ブルクトーア,牡4,58.0,西村淳,0:1:21.5,,1,2.8,34.3,,栗東 長谷川,498(-2)
202609010312,2,2,4,ヨウシタンレイ,牝6,56.0,岩田望,0:1:21.5,クビ,4,10.4,34.0,,栗東 藤野,468(+2)
202609010312,3,5,9,リアライズ,牡6,58.0,坂井,0:1:21.7,1,6,13.0,34.7,,栗東 石橋,506(-6)
202609010312,4,6,11,タイキヴァンクール,牡5,58.0,団野,0:1:21.7,ハナ,3,8.2,34.7,,栗東 中尾,522(0)
202609010312,5,3,5,キャッスルレイク,牝4,56.0,田口,0:1:21.8,クビ,8,31.0,34.5,,栗東 松下,484(+16)
202609010312,6,8,16,スイミーユニバンス,牝6,56.0,池添,0:1:21.9,3/4,9,42.0,34.0,,栗東 平田,424(0)
202609010312,7,8,17,ダノンキラウェア,牡5,58.0,藤岡佑,0:1:21.9,クビ,2,2.8,34.2,,栗東 中内田,472(-4)
202609010312,8,2,3,スカプラリオ,牝6,53.0,▲大久保,0:1:22.0,クビ,18,504.6,34.3,,栗東 佐々木,478(-2)
202609010312,9,1,1,サダメ,牝5,54.0,◇永島,0:1:22.0,クビ,10,47.7,34.1,,栗東 畑端,462(+4)
202609010312,10,4,8,ゴルトリッチ,牡6,55.0,▲田山,0:1:22.1,1,13,90.6,34.2,,栗東 牧浦,510(+2)
202609010312,11,7,13,プチプラージュ,牝4,56.0,国分優,0:1:22.2,クビ,17,402.2,34.1,,栗東 大根田,432(-20)
202609010312,12,6,12,エクストラバック,牡5,58.0,幸,0:1:22.2,クビ,5,12.6,34.3,,栗東 西園正,504(-6)
202609010312,13,1,2,イスラコラソン,牝4,56.0,中井,0:1:22.4,3/4,15,225.7,34.8,,美浦 大和田,442(-2)
202609010312,14,7,15,スマートルシーダ,牡8,58.0,吉村,0:1:22.4,クビ,12,81.4,35.0,,栗東 東田,474(-2)
202609010312,15,5,10,ユキノエミリオ,牡4,58.0,長岡,0:1:22.5,クビ,16,323.9,34.3,,美浦 竹内,444(+4)
202609010312,16,8,18,ウィップスティッチ,牝5,56.0,高杉,0:1:22.6,1/2,11,66.4,34.7,,栗東 庄野,496(0)
202609010312,17,7,14,ビップジーニー,牡5,58.0,荻野極,0:1:22.6,アタマ,7,19.5,35.1,,栗東 松下,504(+8)
202609010312,18,4,7,レディメローラ,牝6,56.0,浜中,0:1:22.6,ハナ,14,199.5,34.9,,栗東 北出,422(0)
