,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重
202610010507,1,8,17,ニホンピロホリデー,牝5,53.0,▲和田陽,0:2:01.3,,14,51.4,35.1,,栗東 緒方,412(+2)
202610010507,2,3,6,アリスメティーク,牝4,55.0,丹内,0:2:01.3,ハナ,1,4.2,36.1,,美浦 大竹,440(+4)
202610010507,3,6,11,マドモアゼルアスク,牝4,55.0,松本,0:2:01.5,1.1/4,11,27.5,36.6,,栗東 藤原,444(-8)
202610010507,4,2,3,アルディスティーノ,牝4,55.0,横山琉,0:2:01.7,3/4,4,6.4,36.3,,栗東 安田,480(0)
202610010507,5,1,1,トーセンリバーブ,牝4,55.0,吉田隼,0:2:01.7,ハナ,6,15.1,36.5,,美浦 菊沢,460(-2)
202610010507,6,4,7,ニシノコマチムスメ,牝5,56.0,菊沢,0:2:01.7,クビ,12,38.6,36.0,,美浦 松山,448(+2)
202610010507,7,5,10,エレガンシア,牝4,53.0,△鷲頭,0:2:01.9,1.1/4,3,6.4,36.4,,栗東 高柳大,446(+4)
202610010507,8,1,2,ワイドリューレント,牝4,55.0,丸山,0:2:02.2,1.3/4,7,17.9,36.8,,栗東 奥村豊,430(-2)
202610010507,9,6,12,メイショウピリカ,牝4,55.0,古川吉,0:2:02.2,ハナ,10,24.7,36.4,,栗東 本田,478(-10)
202610010507,10,3,5,ランフォースマイル,牝4,52.0,▲田山,0:2:02.3,クビ,15,60.7,36.5,,栗東 渡辺,456(+6)
202610010507,11,5,9,ビスケットマリー,牝4,52.0,▲石神道,0:2:02.4,1/2,18,168.8,36.4,,美浦 和田雄,424(-10)
202610010507,12,8,18,ドーギッド,牝4,52.0,▲古川奈,0:2:02.4,1/2,9,24.2,37.5,,栗東 矢作,460(-14)
202610010507,13,2,4,フィオレストラーダ,牝4,55.0,泉谷,0:2:02.6,1.1/4,2,6.0,36.8,,栗東 杉山晴,462(+4)
202610010507,14,7,13,パーフェクトパール,牝4,55.0,小沢,0:2:02.8,1.1/4,5,7.5,37.9,,栗東 中内田,484(-2)
202610010507,15,7,14,ベストレーサー,牝4,55.0,小崎,0:2:02.9,1/2,17,92.7,37.7,,栗東 小崎,462(-4)
202610010507,16,7,15,ルージュスティーズ,牝4,52.0,▲森田,0:2:03.0,クビ,8,20.1,37.3,,栗東 斉藤崇,490(-6)
202610010507,17,4,8,サイレントグルーヴ,牝5,56.0,角田和,0:2:03.1,3/4,13,38.6,37.3,,栗東 角田,490(-4)
202610010507,18,8,16,ジョセフィーナ,牝5,56.0,松若,0:2:03.5,2,16,77.8,38.1,,栗東 今野,406(0)
